metric,value
records_captured,1100
distinct_active_source_names,1008
target_rows,4700
target_met,false
query_failures,22
minimum_source_derived_text_length,139
median_source_derived_text_length,641
year_2026_count,0
year_2026_rate,0.00
period:1930_1970,532
period:pre_1930,387
period:1970_2000,114
period:2000_2026,67
macro_region:Latin America,388
macro_region:Global,357
macro_region:Oceania,96
macro_region:Eastern Europe,67
macro_region:Southeast Asia,60
macro_region:Middle East and North Africa,45
macro_region:East Asia,45
macro_region:South Asia,23
macro_region:Africa,18
macro_region:Central Asia,1
object_family:advertisement,532
object_family:stamp,375
object_family:label,55
object_family:poster,55
object_family:magazine cover,29
object_family:advertising poster,20
object_family:trade card,16
object_family:film poster,10
object_family:type specimen,8
country:Global / controlled expansion,357
country:Latin America / Caribbean / Peru,260
country:Oceania / Pacific / Aotearoa New Zealand,49
country:Oceania / Pacific / Australia / Indigenous,46
country:Latin America / Caribbean / Argentina,41
country:Southeast Asia / Vietnam,30
country:Latin America / Caribbean / Mexico,25
country:Eastern Europe / Caucasus / Poland,25
country:East Asia / Korea,24
country:Middle East and North Africa / Iran,21
country:Eastern Europe / Caucasus / Romania,21
country:South Asia / India,19
country:Latin America / Caribbean / Dominican Republic,17
country:Middle East and North Africa / Syria,17
country:Southeast Asia / Indonesia,14
country:Latin America / Caribbean / Chile,12
country:East Asia / China,12
country:Latin America / Caribbean / Brazil,11
country:Eastern Europe / Caucasus / Croatia,9
country:Southeast Asia / Philippines,8
country:Africa / Egypt,8
country:Latin America / Caribbean / Cuba,6
country:Latin America / Caribbean / Puerto Rico,5
country:Latin America / Caribbean / Colombia,5
country:East Asia / Hong Kong,5
country:East Asia / Taiwan,4
country:Eastern Europe / Caucasus / Serbia,4
country:Eastern Europe / Caucasus / Georgia,3
country:Africa / South Africa,3
country:Middle East and North Africa / Palestine,3
country:Southeast Asia / Singapore,3
country:South Asia / Bangladesh,3
country:Southeast Asia / Thailand,3
country:Africa / Morocco,2
country:Eastern Europe / Caucasus / Bulgaria,2
country:Africa / Ghana,2
country:Latin America / Caribbean / Venezuela,2
country:Africa / Angola,2
country:Middle East and North Africa / Jordan,2
country:Latin America / Caribbean / Bolivia,2
country:Eastern Europe / Caucasus / Armenia,1
country:Latin America / Caribbean / Uruguay,1
country:Southeast Asia / Laos,1
country:South Asia / Nepal,1
country:Latin America / Caribbean / Paraguay,1
country:Africa / Ethiopia,1
country:Oceania / Pacific / Papua New Guinea,1
country:Eastern Europe / Caucasus / Azerbaijan,1
country:Eastern Europe / Caucasus / Ukraine,1
country:Middle East and North Africa / Lebanon,1
reject:country_cap,169
reject:duplicate,51
reject:base_filter,29
