assessment_id	dimension	delta	baseline_value	perturbed_value	baseline_strength	perturbed_strength	baseline_confidence	perturbed_confidence	baseline_status	perturbed_status	direct_decision_changed	skip_one_decision_changed
R14-ASSOC-001	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D3	-1	1	0	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D3	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D4	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D4	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D5	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D5	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D6	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D6	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D7	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-001	D7	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D1	-1	2	1	STRONG	MODERATE	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D1	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D2	-1	2	1	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D2	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D3	-1	1	0	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D3	1	1	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D4	-1	2	1	STRONG	STRONG	HIGH	MODERATE	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
R14-ASSOC-002	D4	1	2	2	STRONG	STRONG	HIGH	HIGH	EXTERNALLY_SUPPORTED	EXTERNALLY_SUPPORTED	false	false
