assessment_id	node_a	node_b	threshold_configuration	association_strength	evidence_confidence	evidence_status	expected_pass	actual_pass	decision_match	evidence_refs	reason	qualification
R14-ASSOC-001	professionalization	institutionalization	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-001-01;R14-EVID-001-02	Two independent domain-aligned studies explicitly discuss the concepts together through named institutions.	Association is non-directional and scope-bounded; no universal professional sequence is claimed.
R14-ASSOC-002	production	mediation	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-002-01;R14-EVID-002-02;R14-EVID-002-03	Independent design-history sources explicitly place mediating channels or devices in production contexts.	Mediation is contextual, not a causal arrow from production.
R14-ASSOC-003	mediation	consumption	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-003-01;R14-EVID-003-02;R14-EVID-003-03	Independent sources explicitly locate designed mediation within consumption and reception.	The association does not make consumers passive endpoints.
R14-ASSOC-004	production	consumption	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-004-01;R14-EVID-004-02;R14-EVID-004-03	The sources explicitly frame designed channels and devices between production and consumption.	Spatial association does not assert a single linear market mechanism.
R14-ASSOC-005	exhibition	design diplomacy	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-005-01;R14-EVID-005-02;R14-EVID-005-03	Three independent histories directly analyze exhibitions as sites of design diplomacy.	Diplomatic intention does not guarantee audience reception or political effect.
R14-ASSOC-006	design diplomacy	propaganda	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-006-01;R14-EVID-006-02;R14-EVID-006-03	The exhibition studies explicitly compare or combine diplomatic and propagandistic functions.	The sources distinguish diplomacy from propaganda rather than equating them.
R14-ASSOC-007	propaganda	trade	ADJ-03	STRONG	MODERATE	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-007-01	One domain-aligned historical study explicitly treats propaganda and trade within the same designed display program.	One bounded exposition case; no general identity between propaganda and trade.
R14-ASSOC-008	exhibition	propaganda	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-008-01;R14-EVID-008-02	Independent exposition histories directly discuss propagandistic functions of designed exhibitions.	The assessment remains case-bounded and does not classify every exhibition as propaganda.
R14-ASSOC-009	design diplomacy	trade	ADJ-03	STRONG	MODERATE	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-009-01	A design-history exposition case directly joins diplomatic representation and trade.	Single-case source support; diplomatic outcome is not asserted.
R14-ASSOC-010	material displacement	supply chain	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-010-01;R14-EVID-010-02	Two design-history sources explicitly treat material movement through sites and chains.	The association does not reduce all material movement to one supply-chain model.
R14-ASSOC-011	supply chain	production site	ADJ-03	STRONG	MODERATE	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-011-01	The study explicitly describes production sites as part of the material chain.	One bounded study and source family; confidence is moderate.
R14-ASSOC-012	material displacement	production site	ADJ-03	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-012-01	The bounded source-level account supplies a contextual bridge between displacement and production site.	Association is inferred within the source's explicit chain, not elevated to a universal relation.
R14-ASSOC-013	cultural negotiation	adaptation	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-013-01;R14-EVID-013-02	Two studies explicitly place adaptation within negotiated contact and resistance.	Adaptation is situated agency, not passive transfer.
R14-ASSOC-014	adaptation	rejection	ADJ-03	STRONG	MODERATE	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-014-01	A domain-aligned study explicitly presents adaptation and rejection as situated responses.	Alternatives within one contact-zone model, not successive stages.
R14-ASSOC-015	cultural negotiation	rejection	ADJ-03	MODERATE	MODERATE	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-015-01	The source explicitly situates rejection within a negotiated contact-zone repertoire.	One conceptual source; no claim that rejection always constitutes negotiation.
R14-ASSOC-016	gendering	commodification	ADJ-03	STRONG	MODERATE	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-016-01;R14-EVID-016-02	A design-history article explicitly treats both processes in one exposition; the second source broadens but does not universalize the association.	The generic association is case-bounded; it does not assert that either process causes the other.
R14-ASSOC-017	imitation	piracy	ADJ-03	STRONG	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-017-01;R14-EVID-017-02;R14-EVID-017-03	Three independent sources explicitly analyze the concepts together while preserving their distinction.	Authorization and rights regimes condition the classification; imitation is not automatically piracy.
R14-ASSOC-018	photography	typography	ADJ-03	STRONG	MODERATE	SOURCE_SUPPORTED	true	true	true	R14-EVID-018-01	The museum exhibition record explicitly describes a synthesis of photography and typography.	Supported by archive/source evidence. Independent scholarly validation pending.
R14-ASSOC-019	advertising	consumer culture	ADJ-03	STRONG	MODERATE	SOURCE_SUPPORTED	true	true	true	R14-EVID-019-01;R14-EVID-019-02	The designer's own published accounts explicitly connect advertising priorities with consumer selling and social context.	Supported by archive/source evidence. Independent scholarly validation pending.
R14-ASSOC-020	craft	education	ADJ-03	STRONG	MODERATE	SOURCE_SUPPORTED	true	true	true	R14-EVID-020-01	The institutional archive presents the primary program's explicit educational and workshop context.	Supported by archive/source evidence. Independent scholarly validation pending.
R14-ASSOC-021	design education	institutionalization	ADJ-03	MODERATE	HIGH	EXTERNALLY_SUPPORTED	true	true	true	R14-EVID-021-01;R14-EVID-021-02	Independent studies repeatedly place formal education and universities within institutionalization contexts.	The association is institutional and contextual, not a universal path to professional status.
R14-ASSOC-022	cultural transfer	cultural negotiation	ADJ-03	MODERATE	MODERATE	QUALIFIED	false	false	true	R14-EVID-022-01;R14-EVID-022-02;R14-EVID-022-03	Evidence exists for both concepts and receiving agency, but the V1 proximity gate excludes this qualified bridge.	The bridge is cross-source and conceptually plausible, but direct historical contextual support remains incomplete.
R14-ASSOC-023	cultural transformation	piracy	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-023-01;R14-EVID-023-02	No source-level contextual bridge supports meaningful proximity.	Separate source families attest each concept only.
R14-ASSOC-024	design education	commodification	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-024-01;R14-EVID-024-02	The sources support separate histories, not this association.	Corpus co-membership is not contextual evidence.
R14-ASSOC-025	gendering	mobile object	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-025-01;R14-EVID-025-02	The evidence rows attest different concepts in unrelated cases.	A future case-specific study could change the result; none is present here.
R14-ASSOC-026	professionalization	material displacement	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-026-01;R14-EVID-026-02	This hard negative tests broad disciplinary similarity without contextual support.	Domain alignment alone cannot activate proximity.
R14-ASSOC-027	photography	institutionalization	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-027-01;R14-EVID-027-02	Separate records do not justify close placement.	Prominence in design history is not association evidence.
R14-ASSOC-028	craft	design diplomacy	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-028-01;R14-EVID-028-02	The evidence does not contextualize the concepts together.	A specific diplomatic craft exhibition could support a future assessment; none is bound here.
R14-ASSOC-029	Bauhaus	desktop publishing	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-029-01;R14-EVID-029-02	This obvious negative verifies that corpus fame does not substitute for evidence.	Chronological difference alone is not proof of disassociation, but the supplied evidence cannot justify proximity.
R14-ASSOC-030	Arts and Crafts	digital interface	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-030-01;R14-EVID-030-02	Temporal contrast and broad design classification do not establish association.	A documented reception history could change the assessment.
R14-ASSOC-031	Swiss typography	Brazilian exposition	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-031-01;R14-EVID-031-02	The evidence provides no contextual bridge.	Shared graphic-design historiography is insufficient.
R14-ASSOC-032	photomontage	professionalization	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-032-01;R14-EVID-032-02	The sources independently attest practice and professionalization without a shared context.	Plausible coexistence is not evidence-grounded association.
R14-ASSOC-033	gendering	design education	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-033-01;R14-EVID-033-02	Separate evidence units cannot justify skip-one proximity.	Potential general relevance is not case-level support.
R14-ASSOC-034	commodification	institutionalization	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-034-01;R14-EVID-034-02	No contextual evidence binds the concepts in the assessed scope.	Co-membership in design-history scholarship is insufficient.
R14-ASSOC-035	imitation	cultural transformation	ADJ-03	WEAK	LOW	INSUFFICIENT	false	false	true	R14-EVID-035-01;R14-EVID-035-02	The skip-one control has no evidence-grounded contextual bridge.	Separate studies attest the terms only.
