rule_id	source_pattern	source_type	input_cardinality	target	transform_version	null_policy	missing_policy	array_order_policy	duplicate_policy	delimiter_policy	vocabulary_mapping	unknown_invalid_disposition	public_internal_exposure	provenance_target	round_trip_query	raw_snapshot_only
surface-identity	/surfaceId	string	exactly_one_per_surface	raw.legacy_surface_ledger.surface_id;core.archive_object	uuidv5-surface-v1	reject	reject	not_applicable	reject_duplicate_exact_id	preserve_no_automatic_split	exact_lexical_identity	preflight_reject	internal_identity	raw.source_record.raw_value	raw.legacy_surface_ledger.surface_id	False
source-record-identity	/sourceRecordId	string	exactly_one_per_surface	raw.source_record.legacy_source_record_id;core.legacy_identity	uuidv5-ordinal-v1	reject	reject	not_applicable	reject_duplicate_exact_id	preserve_no_automatic_split	exact_lexical_identity	preflight_reject	internal_identity	raw.source_record.raw_value	raw.source_record.legacy_source_record_id	False
trace-root-crosswalk	/trace/objectNodeId	string	exactly_one_per_surface	research.trace_node;research.object_trace_node;core.legacy_identity	uuidv5-trace-root-v1	reject	reject	not_applicable	reject_duplicate_exact_id	preserve_no_automatic_split	legacy_root_only	preflight_reject	internal	raw.source_record.raw_value	research.object_trace_node	False
strict-tier-disposition	/trace/tier	string_or_missing	zero_or_one_per_surface	research.corpus_membership;raw.fail_closed_delta	strict-tier-v1	preflight_reject_present_non_string_tier	held_missing_explicit_evidence_tier	not_applicable	not_applicable	preserve_no_automatic_split	source_verified=>eligible;metadata_supported=>held;missing=>held	preflight_reject	internal	raw.source_record.raw_value	research.corpus_membership;raw.fail_closed_delta	False
conservative-object-label	/title	string	exactly_one_per_surface	core.archive_object.preferred_label	exact-string-copy-v1	store_raw_only	store_raw_only	not_applicable	preserve_occurrence	preserve_no_automatic_split	none	raw_snapshot_only	safe_candidate	raw.source_record.raw_value	core.archive_object.preferred_label	False
visual-reference-occurrence	/image	object	exactly_one_bundle_per_surface	rights.external_visual_reference;rights.object_visual_reference;rights.legacy_visual_surface_disposition	uuidv5-visual-occurrence-v1	no_visual_reference	no_visual_reference	preserve_original_order	preserve_occurrence	preserve_no_automatic_split	reference_bearing=>rights_unknown+policy_unknown+unmapped_provider	held_unclassified_preflight_reject	held	raw.source_record.raw_value	rights.external_visual_reference;rights.legacy_visual_surface_disposition	False
visual-locator-occurrence	/image/{url,viewerUrl,evidenceImageUrl,sourceViewerUrl}	string_or_null	zero_or_more_per_surface	rights.visual_locator	exact-url-occurrence-v1	preserve_raw_not_locator	preserve_raw_not_locator	preserve_original_order	preserve_occurrence	preserve_no_automatic_split	url=>direct_image;viewerUrl/sourceViewerUrl=>source_viewer;evidenceImageUrl=>direct_image	preflight_reject	held_or_internal	raw.source_record.raw_value	rights.visual_locator	False
rights-raw-fail-closed-observation	/rights/**	object_or_scalar	one_raw_rights_bundle_per_surface	rights.rights_observation;rights.rights_assessment;rights.provider_policy_evaluation;rights.delivery_assessment	unknown-rights-citation-only-v1	retain_raw_and_unknown	retain_raw_and_unknown	preserve_original_order	preserve_occurrence	preserve_no_automatic_split	all_candidate_wording=>unknown;unmapped_provider=>unknown_policy;RD-030=>citation_only	fail_closed_citation_only	held	raw.source_record.raw_value#/rights	rights.rights_observation;rights.delivery_assessment	False
folder-membership-assignment	/folders/*	array_of_structured_folder_reference	three_to_five_per_surface_in_baseline	research.folder;provenance.canonical_assignment;provenance.assignment_folder_membership	candidate-dual-side-pair-set-v1	preflight_reject	preflight_reject	preserve_original_order_no_identity_zip	reject_duplicate_pair	preserve_no_automatic_split	candidate_pair=>proposed_curated_member_assignment	preflight_reject	internal	raw.source_record.raw_value	research.folder;provenance.assignment_folder_membership	False
trace-arrays-held-no-zip	/trace/{edgeIds,edgeLabels,branchIds}	array	array_occurrence	raw.source_record.raw_value;temporary_field_occurrence_ledger	array-ordinal-preserve-v1	preserve_raw	preserve_missing_presence	preserve_each_array_independently	preserve_occurrence	preserve_no_automatic_split	legacy_projection_only	held_unsafe_pairing	held	raw.source_record.raw_value	temporary trace delta ledger	True
recursive-raw-snapshot-only	/**	any_json	all_other_observed_occurrences	raw.source_record.raw_value;temporary_field_occurrence_ledger	gda-json-c14n-v1	preserve_exact_presence	record_missing_in_presence_matrix	preserve_original_order	preserve_occurrence	preserve_no_automatic_split	none	raw_snapshot_only	internal_or_held	raw.source_record.raw_value	raw.source_record.parsed_projection	True
top-level-reconciliation-raw	/{meta,folderTypes,folders}/**	any_json	all_top_level_occurrences	temporary_root_reconciliation_ledger_only	gda-json-c14n-v1	preserve_exact_presence	record_missing_presence	preserve_original_order	preserve_occurrence	preserve_no_automatic_split	traceMetadataSupportedCount=>stale_reconciliation_scalar_only;folders=>dual-side-proposed-folder-membership-assignment	raw_snapshot_only	internal	raw.source_asset.raw_bytes	temporary root reconciliation ledger	True
