source_ordinal	surface_id	trace_root_legacy_id	edge_id_count	edge_label_count	branch_id_count	declared_edge_count	pairability	hold_reason
0	SURF-CSPTRACE2026R0093	TRN-OBJ-17EE4D429852EB	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
1	SURF-CSPTRACE2026R0094	TRN-OBJ-31C25291A90CDA	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
2	SURF-VAM20K-00002	TRN-OBJ-97734D8F81229C	11	4	4	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
3	SURF-LOCYEAR2026V1R0001	TRN-OBJ-14FA246B03C150	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
4	SURF-GALYEAR2026V1R0001	TRN-OBJ-5D6E61C2D52FAE	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
5	SURF-VAM20K-00006	TRN-OBJ-99E0F2BE0F45F6	11	4	4	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
6	SURF-GALYEAR1817V1R0001	TRN-OBJ-F637470488FD29	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
7	SURF-GALYEAR1817V1R0002	TRN-OBJ-7E29A8CACD0577	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
8	SURF-GALYEAR1817V1R0003	TRN-OBJ-A8FF9AE50B8C87	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
9	SURF-DCBPLTRACE2026V1R0001	TRN-OBJ-067326CA9D51BB	5	5	5	5	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
10	SURF-DCBPLTRACE2026V1R0002	TRN-OBJ-B2D5DA2E308792	5	5	5	5	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
11	SURF-YRGAP-YEAR-0046	TRN-OBJ-3EFAB779016FCE	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
12	SURF-CSPTRACE2026R0102	TRN-OBJ-ECA5D1D6409599	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
13	SURF-VAM20K-00007	TRN-OBJ-87092A89E91A4C	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
14	SURF-YRGAP-YEAR-0057	TRN-OBJ-BD0A6F67539A4A	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
15	SURF-YRGAP-YEAR-0058	TRN-OBJ-7740E825B77ED3	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
16	SURF-CSPTRACE2026R0111	TRN-OBJ-8E1D50CC7C4FDA	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
17	SURF-VAM20K-00003	TRN-OBJ-295960F6DB261B	11	4	4	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
18	SURF-VAM20K-00004	TRN-OBJ-B4F2E1382A0B62	11	5	5	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
19	SURF-YRGAP-YEAR-0069	TRN-OBJ-036A143D7AE4E5	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
20	SURF-YRGAP-YEAR-0074	TRN-OBJ-552F4E2B2B1150	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
21	SURF-YRGAP-YEAR-0077	TRN-OBJ-055345506E0BCA	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
22	SURF-YRGAP-YEAR-0078	TRN-OBJ-8E7F69FBBD844F	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
23	SURF-YRGAP-YEAR-0079	TRN-OBJ-ED7FA3A22CB992	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
24	SURF-YRGAP-YEAR-0080	TRN-OBJ-3B4AEA8A38E320	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
25	SURF-YRGAP-YEAR-0081	TRN-OBJ-EA7D15A053F69D	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
26	SURF-YRGAP-YEAR-0082	TRN-OBJ-4B8708FA59FAA5	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
27	SURF-LOCYEAR2026V1R0002	TRN-OBJ-CD7F76DE3A6CD5	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
28	SURF-LOCYEAR2026V1R0003	TRN-OBJ-A79D640D8BC2E9	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
29	SURF-CSPTRACE2026R0115	TRN-OBJ-B7FB4AC8009BFB	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
30	SURF-YRGAP-YEAR-0094	TRN-OBJ-D261AF64811080	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
31	SURF-VAM20K-00005	TRN-OBJ-EEEE2310A23572	11	4	4	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
32	SURF-YRGAP-YEAR-0098	TRN-OBJ-758A833F4F40AA	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
33	SURF-YRGAP-YEAR-0099	TRN-OBJ-CD48267544EFF8	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
34	SURF-YRGAP-YEAR-0103	TRN-OBJ-F990428E680673	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
35	SURF-GALYEAR1817V1R0004	TRN-OBJ-17BBBC5407FE02	4	4	5	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
36	SURF-GALYEAR1817V1R0005	TRN-OBJ-3DFB465A0E8E44	5	5	5	5	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
37	SURF-YRGAP-YEAR-0111	TRN-OBJ-AF03C6E2DF08E8	8	8	8	8	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
38	SURF-CSPTRACE2026R0076	TRN-OBJ-1CDE43F5D78368	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
39	SURF-VAM20K-00001	TRN-OBJ-961E5923CE5C12	10	4	4	10	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
40	SURF-VAM20K-00010	TRN-OBJ-2D1B261C86F986	12	4	4	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
41	SURF-VAM20K-00011	TRN-OBJ-B5FE18EB7C3C95	12	4	4	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
42	SURF-CSPTRACE2026R0058	TRN-OBJ-B724451B83693D	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
43	SURF-VAM20K-00012	TRN-OBJ-DAE7C4CAD51B47	12	5	5	12	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
44	SURF-VAM20K-00027	TRN-OBJ-2A1B8638C68AC0	11	4	4	11	unsafe_pairing_held	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
45	SURF-YRGAP-YEAR-0134	TRN-OBJ-11F1FA80C5DB49	7	7	7	7	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
46	SURF-CSPTRACE2026R0119	TRN-OBJ-6812BCB8C1104E	4	4	4	4	labels_vocabulary_only	LEGACY_PROJECTION_ONLY_NO_POSITIONAL_ZIP
