folder_id	surface_id	surface_ordinal
FOL-REGION-AUSTRALIA	SURF-CSPTRACE2026R0093	0
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0093	0
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0093	0
FOL-REGION-UNITED-KINGDOM	SURF-CSPTRACE2026R0094	1
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0094	1
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0094	1
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00002	2
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00002	2
FOL-MEDIUM-POSTER	SURF-VAM20K-00002	2
FOL-REGION-NEW-YORK-UNITED-STATES	SURF-LOCYEAR2026V1R0001	3
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-LOCYEAR2026V1R0001	3
FOL-MEDIUM-CATALOGUE	SURF-LOCYEAR2026V1R0001	3
FOL-REGION-ANGERS-FRANCE	SURF-GALYEAR2026V1R0001	4
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GALYEAR2026V1R0001	4
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-GALYEAR2026V1R0001	4
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00006	5
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00006	5
FOL-MEDIUM-POSTER	SURF-VAM20K-00006	5
FOL-REGION-PARIS-FRANCE	SURF-GALYEAR1817V1R0001	6
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GALYEAR1817V1R0001	6
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-GALYEAR1817V1R0001	6
FOL-REGION-PARIS-FRANCE	SURF-GALYEAR1817V1R0002	7
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GALYEAR1817V1R0002	7
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-GALYEAR1817V1R0002	7
FOL-REGION-PARIS-FRANCE	SURF-GALYEAR1817V1R0003	8
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-GALYEAR1817V1R0003	8
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-GALYEAR1817V1R0003	8
FOL-REGION-UNITED-KINGDOM	SURF-DCBPLTRACE2026V1R0001	9
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-DCBPLTRACE2026V1R0001	9
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-DCBPLTRACE2026V1R0001	9
FOL-REGION-UNITED-KINGDOM	SURF-DCBPLTRACE2026V1R0002	10
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-DCBPLTRACE2026V1R0002	10
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-DCBPLTRACE2026V1R0002	10
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0046	11
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0046	11
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0046	11
FOL-REGION-UNITED-STATES	SURF-CSPTRACE2026R0102	12
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0102	12
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-CSPTRACE2026R0102	12
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00007	13
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00007	13
FOL-MEDIUM-POSTER	SURF-VAM20K-00007	13
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0057	14
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0057	14
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0057	14
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0058	15
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0058	15
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0058	15
FOL-REGION-SPAIN	SURF-CSPTRACE2026R0111	16
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-CSPTRACE2026R0111	16
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-CSPTRACE2026R0111	16
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00003	17
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00003	17
FOL-MEDIUM-POSTER	SURF-VAM20K-00003	17
FOL-REGION-UNITED-KINGDOM	SURF-VAM20K-00004	18
FOL-THEME-MODERN-TYPOGRAPHY-AND-LAYOUT	SURF-VAM20K-00004	18
FOL-MEDIUM-POSTER	SURF-VAM20K-00004	18
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0069	19
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0069	19
FOL-REGION-GERMANY	SURF-YRGAP-YEAR-0069	19
FOL-REGION-FRANCE	SURF-YRGAP-YEAR-0074	20
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-YRGAP-YEAR-0074	20
FOL-MEDIUM-GRAPHIC-DESIGN-OBJECT-RECORD	SURF-YRGAP-YEAR-0074	20
FOL-REGION-UNITED-STATES	SURF-YRGAP-YEAR-0077	21
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0077	21
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-YRGAP-YEAR-0077	21
FOL-REGION-UNITED-STATES	SURF-YRGAP-YEAR-0078	22
FOL-THEME-WORLD-WAR-AND-PUBLIC-INFORMATION-GRAPHICS	SURF-YRGAP-YEAR-0078	22
FOL-MEDIUM-PUBLICATION-DESIGN	SURF-YRGAP-YEAR-0078	22
FOL-REGION-UNITED-STATES	SURF-YRGAP-YEAR-0079	23
FOL-THEME-MIDCENTURY-MODERN-GRAPHIC-COMMUNICATION	SURF-YRGAP-YEAR-0079	23
