source_ordinal	json_pointer	surface_id_exact	source_record_id_exact	record_semantic_sha256	archive_object_uuid	raw_record_uuid	trace_root_legacy_id	tier_presence	tier_exact_value	research_disposition	workflow_reason	import_disposition	parse_error	quarantine_id
0	/surfaces/0	SURF-CSPTRACE2026R0093	CSPTRACE2026R0093	79360234b4aa16feba52f4d201bd5240447a156bf5d3f6be117eb1d75f99bf47	f6cd2d9b-5225-541e-93e1-2e24debdd11b	35cee30f-f7e8-589f-9ec9-610c2bceeb5d	TRN-OBJ-17EE4D429852EB	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
1	/surfaces/1	SURF-CSPTRACE2026R0094	CSPTRACE2026R0094	10524d4a6a3e3e2d0eb5a5099df1d3badbca09e27989fb2aeefcd3e0f5370109	df896bd4-c4c4-5849-94ca-08145174ca4b	0ca0b177-d100-5c00-a1df-d49059a89329	TRN-OBJ-31C25291A90CDA	MISSING		held	MISSING_EXPLICIT_EVIDENCE_TIER	held		NONE
2	/surfaces/2	SURF-VAM20K-00002	VAM20K-00002	22bacdbee032a96a142c3fd952abe919f870ec242fa83f11cb40e448c45b2f03	344bfdb1-5d10-5cf1-a62f-67ae632a19b9	b22a52ad-fc17-5a53-9c4e-70bacc296513	TRN-OBJ-97734D8F81229C	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
3	/surfaces/3	SURF-LOCYEAR2026V1R0001	LOCYEAR2026V1R0001	c4364a1729bb76bdce3d6893fd0319d8be09a82bb7241fde1ee87ad426031f69	29f157ac-f59d-5002-98de-8518acc27bd1	1c21dc26-7ecd-5510-b405-0403aaacac35	TRN-OBJ-14FA246B03C150	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
4	/surfaces/4	SURF-GALYEAR2026V1R0001	GALYEAR2026V1R0001	cb5f9630a5db879aba68d17d8eca34639b52afafe0e556cc85fc3c6339533ef7	7ac213a3-7a96-5196-8834-a1715f5bf212	553f50fe-3c0d-5e13-84c9-07bfccd45a46	TRN-OBJ-5D6E61C2D52FAE	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
5	/surfaces/5	SURF-VAM20K-00006	VAM20K-00006	75c941b2edd81c48c9693c56a8b1e35331d73d24c24dce50cd9a9ff97458d67f	3877bb6b-4017-5380-a8a4-ea2b087a9e28	46c6ae42-d2c7-5f20-aca0-9fbbea1afc37	TRN-OBJ-99E0F2BE0F45F6	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
6	/surfaces/6	SURF-GALYEAR1817V1R0001	GALYEAR1817V1R0001	459257e2688d37511f236400324c1169eda30cb62b928ecfd168c439de044de7	4d25c4a4-5d96-56c4-b451-637d2be261cc	d2784414-05a5-5006-b8cf-731fe8f85c62	TRN-OBJ-F637470488FD29	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
7	/surfaces/7	SURF-GALYEAR1817V1R0002	GALYEAR1817V1R0002	753167a248b4eda6e02de7248ee23dbf500acabcac929f37d55b36d780a61abb	8c2d8986-0da5-5b4c-a001-b0e1cdd05f68	68e805cd-f601-5a52-9904-0cf3c8d9fb0a	TRN-OBJ-7E29A8CACD0577	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
8	/surfaces/8	SURF-GALYEAR1817V1R0003	GALYEAR1817V1R0003	7d886bae582638d257c81e3db93e41c276a1397fe3d7b25953a8399dea7497ae	97858cf2-ee59-5c7d-83ff-323af303912b	d1e92c24-d2a1-5ebd-b643-64b4aa54c3e0	TRN-OBJ-A8FF9AE50B8C87	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
9	/surfaces/9	SURF-DCBPLTRACE2026V1R0001	DCBPLTRACE2026V1R0001	85d9ee950fb8afde0713e66fc298b05b6f975bcaeb7240f4ac70e8e1b3a9c1db	11f43774-5f48-5d87-a81a-2060bfece475	a9056f9e-e215-5fb5-8cb9-8c81330d2536	TRN-OBJ-067326CA9D51BB	PRESENT	source_verified	eligible	EXPLICIT_SOURCE_VERIFIED_TIER	accounted		NONE
