source_ordinal	surface_id	reference_bearing	visual_reference_count	locator_occurrence_count	overall_disposition	rights_axis	policy_axis	provider_axis
0	SURF-CSPTRACE2026R0093	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
1	SURF-CSPTRACE2026R0094	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
2	SURF-VAM20K-00002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
3	SURF-LOCYEAR2026V1R0001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
4	SURF-GALYEAR2026V1R0001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
5	SURF-VAM20K-00006	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
6	SURF-GALYEAR1817V1R0001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
7	SURF-GALYEAR1817V1R0002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
8	SURF-GALYEAR1817V1R0003	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
9	SURF-DCBPLTRACE2026V1R0001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
10	SURF-DCBPLTRACE2026V1R0002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
11	SURF-YRGAP-YEAR-0046	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
12	SURF-CSPTRACE2026R0102	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
13	SURF-VAM20K-00007	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
14	SURF-YRGAP-YEAR-0057	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
15	SURF-YRGAP-YEAR-0058	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
16	SURF-CSPTRACE2026R0111	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
17	SURF-VAM20K-00003	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
18	SURF-VAM20K-00004	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
19	SURF-YRGAP-YEAR-0069	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
20	SURF-YRGAP-YEAR-0074	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
21	SURF-YRGAP-YEAR-0077	false	0	0	no_visual_reference	not_applicable	not_applicable	not_applicable
22	SURF-YRGAP-YEAR-0078	false	0	0	no_visual_reference	not_applicable	not_applicable	not_applicable
23	SURF-YRGAP-YEAR-0079	false	0	0	no_visual_reference	not_applicable	not_applicable	not_applicable
24	SURF-YRGAP-YEAR-0080	false	0	0	no_visual_reference	not_applicable	not_applicable	not_applicable
25	SURF-YRGAP-YEAR-0081	false	0	0	no_visual_reference	not_applicable	not_applicable	not_applicable
26	SURF-YRGAP-YEAR-0082	false	0	0	no_visual_reference	not_applicable	not_applicable	not_applicable
27	SURF-LOCYEAR2026V1R0002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
28	SURF-LOCYEAR2026V1R0003	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
29	SURF-CSPTRACE2026R0115	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
30	SURF-YRGAP-YEAR-0094	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
31	SURF-VAM20K-00005	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
32	SURF-YRGAP-YEAR-0098	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
33	SURF-YRGAP-YEAR-0099	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
34	SURF-YRGAP-YEAR-0103	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
35	SURF-GALYEAR1817V1R0004	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
36	SURF-GALYEAR1817V1R0005	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
37	SURF-YRGAP-YEAR-0111	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
38	SURF-CSPTRACE2026R0076	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
39	SURF-VAM20K-00001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
40	SURF-VAM20K-00010	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
41	SURF-VAM20K-00011	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
42	SURF-CSPTRACE2026R0058	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
43	SURF-VAM20K-00012	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
44	SURF-VAM20K-00027	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
45	SURF-YRGAP-YEAR-0134	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
46	SURF-CSPTRACE2026R0119	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
47	SURF-YRGAP-YEAR-0139	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
48	SURF-GALYEAR2026V1R0002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
49	SURF-GALYEAR2026V1R0003	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
50	SURF-YRGAP-YEAR-0156	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
51	SURF-VAM20K-00037	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
52	SURF-VAM20K-00038	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
53	SURF-YRGAP-YEAR-0159	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
54	SURF-YRGAP-YEAR-0161	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
55	SURF-VAM20K-00013	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
56	SURF-VAM20K-00014	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
57	SURF-YRGAP-YEAR-0165	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
58	SURF-CAW2026R00088	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
59	SURF-CHW2026R001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
60	SURF-ER1830R001-GROUP	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
61	SURF-GAX1970R001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
62	SURF-SI1970R001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
63	SURF-VAM20K-00082	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
64	SURF-CAW2026R00104	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
65	SURF-VAM20K-00133	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
66	SURF-VAM20K-00134	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
67	SURF-VAM20K-00135	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
68	SURF-VAM20K-00136	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
69	SURF-CCE2026R00001	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
70	SURF-CCT2026R00615	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
71	SURF-GAX1970R002	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
72	SURF-VAM20K-00028	true	1	1	rights_unknown	rights_unknown	policy_unknown	unmapped_provider
