model_id	corpus_sha256	aspect_a	aspect_b	k	joint_query_count	mean_top_k_overlap	mean_common_rank_correlation	source_neighbor_rate_a	source_neighbor_rate_b	language_neighbor_rate_a	language_neighbor_rate_b	affinity_fused	aspect_fusion_selected	historical_relation	semantic_relation	probability	status	limitation
NLP-D3	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SOURCE_NARRATIVE	NLP_SUBJECT	20	7277	0.130891851037515	0.45211150699702	0.987357427511337	0.994036003847739			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-D3	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SOURCE_NARRATIVE	NLP_TITLE	20	7277	0.260526315789474	0.413738036548346	0.987357427511337	0.825924144565068			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-D3	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SUBJECT	NLP_TITLE	20	7277	0.107118317988182	0.235349094154304	0.994036003847739	0.825924144565068			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-L0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SOURCE_NARRATIVE	NLP_SUBJECT	20	7277	0.539927167788924	0.791914299559672	0.98413494571939	0.992345746873712			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-L0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SOURCE_NARRATIVE	NLP_TITLE	20	7277	0.0412120379277175	0.366555961754251	0.98413494571939	0.353861481379689			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-L0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SUBJECT	NLP_TITLE	20	7277	0.0714236635976364	0.269563582975161	0.992345746873712	0.353861481379689			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-L1	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SOURCE_NARRATIVE	NLP_SUBJECT	20	7277	0.141665521506115	0.469231175540931	0.988511749347258	0.991198296001099			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-L1	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SOURCE_NARRATIVE	NLP_TITLE	20	7277	0.21237460491961	0.481531849628367	0.988511749347258	0.739480555173835			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-L1	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SUBJECT	NLP_TITLE	20	7277	0.079359626219596	0.288890723947378	0.991198296001099	0.739480555173835			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
NLP-L2	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	NLP_SOURCE_NARRATIVE	NLP_SUBJECT	20	7277	0.534107461866154	0.811302548567031	0.986952040676103	0.989995877422015			false	false	false	false	false	NOT_RUN	Aspect overlap and source diagnostics were computed, but reliable language-neighborhood rates were not run; no aspect fusion was selected.
