model_id	method_family	implementation_version	input_variant	aspect_id	aspect_purpose	corpus_sha256	corpus_policy_sha256	field_registry_sha256	normalization_version	parameters_sha256	object_count	candidate_object_count	aspect_available_query_count	aspect_unavailable_query_count	query_count	top_k	full_public_cohort	full_aspect_cohort	index_sha256	index_bytes	index_build_ms	exact_query_p50_ms	exact_query_p95_ms	ranking_ids_sha256	score_observation_sha256	known_item_positive_pair_count	known_item_recall_at_1	known_item_recall_at_5	known_item_recall_at_10	known_item_recall_at_20	known_item_mrr	negative_control_pair_count	negative_control_at_10_rate	same_source_neighbor_rate_at_20	same_language_neighbor_rate_at_20	metadata_proxy_summary_sha256	ranking_deterministic	pair_matrix_materialized	full_rankings_saved	historical_relation	semantic_relation	probability	status	limitation
NLP-L0-BM25F-EQUAL-SOURCE_NARRATIVE	BM25F	trace-nlp-lexical-bm25f-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_SOURCE_NARRATIVE	SOURCE_NARRATIVE_DIAGNOSTIC_ONLY	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	4ea2e23233024ebc688df1876af4ce29a974decba0978f7e8384c70cb3548033	7995	7995	7431	564	7431	50	false	true	cb475426af9140fa41c1fbf67f6c29201551ab99b4d77d75bde65291e72cd5c9	1099060	132.793374999892	0.660707999486476	1.03614598629065	36609ff0c9e46d89917ef19de1c525c70298d997c1d8c5ce7f862fbeb5b2c2bd	5bfe0e7d158dd00fee03bb4ed3cf111e60187f5bbdd13a73bf891bf974d48c99	3	0.25	0.5	0.5	0.5	0.333333333333333	309	0.182170542635659	0.981772305207913		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L0-BM25F-EQUAL-SUBJECT	BM25F	trace-nlp-lexical-bm25f-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_SUBJECT	LEAKAGE_GATED_SUBJECT_DIAGNOSTIC	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	8e1a37eb930e3c00e6f1f8a21050f22613a121493d07e27d9e387c1976424ffc	7995	7995	7838	157	7838	50	false	true	62dc217828feedbd36b6622fd2b40f3136b31448ced1ba930e6112cb7986416f	865735	104.455249966122	0.531249999767169	0.79854377254378	22664d8e164522a770c09985088c65e25ac4fa58d09bcfc679cc43cbb134ef8d	08dc8a52bf27b61dad8dcfe050bbe2dd18f25470de71ffd69a2914509eef1309	3	0	0	0	0	0	309	0.352640545144804	0.992829803521306		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L0-BM25F-EQUAL-TITLE	BM25F	trace-nlp-lexical-bm25f-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_TITLE	OBJECT_SEMANTIC	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	03a2ad0331e3b1b3db471021ea843de66f3c7b43ebb6f92ee4bcdd29c1b6d634	7995	7995	7995	0	7995	50	true	true	40986599197397829a1791af0daed9ba09e9e33a7c5d7083b36796f40c8cfcec	671956	134.785667003598	0.354874995537102	0.99484568927437	48ced11846287c0aeb6f626cd97ad060c3201fd59031bf516a8dd8541568894b	097572d36ca8c18f083fa3b88c0324b4f0ac8386caf6666fb4196d635ef1da61	3	1	1	1	1	1	309	0.546925566343042	0.34776110068793		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L1-CHAR-3-5-SOURCE_NARRATIVE	CHAR_NGRAM	trace-nlp-lexical-char-ngram-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_SOURCE_NARRATIVE	SOURCE_NARRATIVE_DIAGNOSTIC_ONLY	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	fec81bd3b2b908db0bad03e8a024affaaf683810b4aacdf92b4c8699eab8fbc9	7995	7995	7431	564	7431	50	false	true	c4a3eaa142fb1e3b88e546e119e3154dbbb5e182b99365217383b54d70effdc5	19563761	1136.38245797483	4.50929102953523	4.60685399593785	6ab5d6ad40e645414ceae56d00693c274d90ad9a6bc093ca1a31dbf9ef3d8878	a5af83d6ce10cb8fd55098ded0afcea60349a27d5be221ff1673f5688ac5a34b	3	0.25	0.5	0.5	0.5	0.333333333333333	309	0.265503875968992	0.98621988965146		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L1-CHAR-3-5-SUBJECT	CHAR_NGRAM	trace-nlp-lexical-char-ngram-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_SUBJECT	LEAKAGE_GATED_SUBJECT_DIAGNOSTIC	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	4cbbdffc43220d4533d14d8ce6e3e8def74b730941769861663ed956ee66db72	7995	7995	7838	157	7838	50	false	true	71b1ed26825472bd78f0042c35fa780b8ae8a483915c1b4fac58ee0421f7bd0a	18903510	1078.12654203735	4.41570801194757	4.6351561875781	34b00935e58ae14dd0ea582780b8107395891d0dd9457fb9e4429edf1875ea26	5a5749c3662eaa08815e5cf53df519c62344af03ea27652c76aef622b78b8c24	3	0	0	0	0	0	309	0.354344122657581	0.991624138810921		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L1-CHAR-3-5-TITLE	CHAR_NGRAM	trace-nlp-lexical-char-ngram-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_TITLE	OBJECT_SEMANTIC	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	8d059741ad39976a17435554456ffcbab36aefb5a717ba689f63efba54d30ab3	7995	7995	7995	0	7995	50	true	true	251512a1856577b62a396ffffbd53668f9451a98df820cf2eb6d9e36f3c0e9e2	11059944	908.263792051002	2.88645800901577	9.29314629756845	80bd4a9351d3ffaa6d89bb888bb3c72e66952d9ae709e1f7f157b04f289fe52c	82751d7b99f5e3fa1f75400886618f81d846c7fc42e426dbe395008e02d83d4b	3	1	1	1	1	1	309	0.553398058252427	0.697123202001251		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L2-WORD-1-2-SOURCE_NARRATIVE	WORD_NGRAM	trace-nlp-lexical-word-ngram-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_SOURCE_NARRATIVE	SOURCE_NARRATIVE_DIAGNOSTIC_ONLY	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	a0cbec1b96d36802ce087446cdc2604a26c8251e0776a0482bec0ebfbbf44d73	7995	7995	7431	564	7431	50	false	true	d1afc1e3e2a7cb3d5faa5f36e404a175f6474370c6a3474c1c2ea564e47d661d	2686598	285.33745900495	0.699583033565432	0.734083499992266	4af9236b7280c56b5160742fee238780910c7678bd5f3f187516c049ebdc795a	d8268532f9baf071019ecff8e12297fb5da01de1f95192266c02a756f518308d	3	0.25	0.5	0.5	0.5	0.375	309	0.182170542635659	0.984107118826537		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L2-WORD-1-2-SUBJECT	WORD_NGRAM	trace-nlp-lexical-word-ngram-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_SUBJECT	LEAKAGE_GATED_SUBJECT_DIAGNOSTIC	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	a879e553cb45d4b7074a60c2609b963ba81b7271b51e00d0292ca91a327807a9	7995	7995	7838	157	7838	50	false	true	879768af2ab7a8082f92d0f343ac44f4616ef3dbcdb5f3efaf8f4aed2d976ae3	1802574	247.387791983783	0.606978981522843	0.64229812414851	69b3e6cbb4eb1f7bb4a11c5b97411e8bba588627718551388093f8247a36a877	9bdb64f3a3409fc523b1965212d061d505caa742644858fffcf3c069751a253b	3	0	0	0	0	0	309	0.350936967632027	0.990648124521562		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L2-WORD-1-2-TITLE	WORD_NGRAM	trace-nlp-lexical-word-ngram-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_TITLE	OBJECT_SEMANTIC	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	30a20f0bc8b1a48eeb16ed8fa0c02ca9482b50f42ff15553107f38b4dafc34ad	7995	7995	7995	0	7995	50	true	true	1934e02dfce402df55ce43404f1cbd60d6cda821802502d850e3183fe60fadef	1723965	239.589374978095	0.577875005546957	1.76065003033727	c2dc3e4509395035c09d1ff7ccd87996d92a703956c81be980adfff302e17063	4b0eb40483f840a5d4756cfa1811ff9e84924f23d761501c3bbbf5bfe4074dc1	3	1	1	1	1	1	309	0.550161812297735	0.345434646654159		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L3-RRF-L0-L1-K60-SOURCE_NARRATIVE	LEXICAL_HYBRID	trace-nlp-lexical-evaluation-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_SOURCE_NARRATIVE	SOURCE_NARRATIVE_DIAGNOSTIC_ONLY	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	c495dfaf12c99cbbb7ac1bff0da027d1bcf3bbe33dfff1d092e006223e38e502	7995	7995	7431	564	7431	50	false	true	7b3229ad032d491693c5280ef39a6c878ac6de6d802fb6af97144162298e179f	20662821	1269.17583297472	0.709916988853365	0.799583474872634	99ae7699ea245f12cdae96ff4c1b80059377e22b7f5ee9e5ddb3f367b062a386	5e3af09453e75ac164003d38df984e66650031ce802c36107ab228c2a9774ed5	3	0.25	0.5	0.5	0.5	0.333333333333333	309	0.238372093023256	0.984389718745795		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L3-RRF-L0-L1-K60-SUBJECT	LEXICAL_HYBRID	trace-nlp-lexical-evaluation-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_SUBJECT	LEAKAGE_GATED_SUBJECT_DIAGNOSTIC	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	ff75e0ff215be4ced6d386207ea7cc88b7c3ae8f9250b91b3ba4c8b12770c407	7995	7995	7838	157	7838	50	false	true	f72fc4fad508d816eadabb41e1bd1c7beb9020cfc326f74dc508b668e3ae9dff	19769245	1182.58179200348	0.568208022741601	0.662422290770337	a630575735026130a049d5c8ceba434bc68ea2c1c0fb3c3b26fe7c17b0079a49	c934a0227f4d7f23fba6b5727967ecb1edcaf2f5acc86f13ee208b0a6f47b990	3	0	0	0	0	0	309	0.356047700170358	0.993097729012503		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
NLP-L3-RRF-L0-L1-K60-TITLE	LEXICAL_HYBRID	trace-nlp-lexical-evaluation-2026-08-24	ORIGINAL_APPROVED_TEXT	NLP_TITLE	OBJECT_SEMANTIC	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c	e20d6de00345fce6f925b4ee1ba5c89be7ee4b859e8bda0432bcd6c964a03f16	b70c98f8a52de2ae5bbaf5d2d69db85381bfa59a0d07722df0823018d2aec3b6	trace-nlp-normalization-v1	0e363faf5160ee67bcd22e19a3586e09825d4fea218de36a256316874310e942	7995	7995	7995	0	7995	50	true	true	fae0ef7516d5ae90e4af8e98324debdb1a843e7ca7408b75459b66b59297ac38	11731900	1043.0494590546	0.598915969021618	1.42988379811868	8c349e39f42448d7c92f830d9a0d8d2ae53c726328069af88e47765dba2cde9f	a946a11551ec86a9c22b4b4fea5017ba4cb5de0fc5099da3aa4a6cdb966553c2	3	1	1	1	1	1	309	0.553398058252427	0.512676672920575		37517e5f3dc66819f61f5a7bb8ace1921282415f10551d2defa5c3eb0985b570	true	false	false	false	false	false	PASS	Similarity observations are not historical or semantic relations.
