model_id	model_revision	input_variant	aspect_id	diagnostic_type	k	object_count	query_count	embedding_dimension	mean_k_occurrence	variance_k_occurrence	skewness	gini	top_1_percent_occurrence_share	maximum_occurrence	zero_occurrence_object_count	total_occurrence_count	expected_occurrence_count	mean_sampled_cosine	cosine_variance	pair_observation_count	first_pc_variance_share	norm_p50	norm_p95	pre_normalization_norm_p50	pre_normalization_norm_p95	nearest_neighbor_cosine_distance_p50	nearest_neighbor_cosine_distance_p95	exact_mean_off_diagonal_cosine	overall_diagnostic_status	missing_required_diagnostics	association_inputs_sha256	association_dimension	association_type	association_value	association_group_count	association_eta_squared	association_pearson_correlation	association_observation_sha256	correction_id	correction_tested	correction_selected	receipt_sha256	status	limitation
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	ANISOTROPY	0	7995	7995	1024										0.428484066629701	0.0339462430418664	20000	0.163695265242437	0.999999999564659	1.00000011216874			0.15118420124054	0.480716150999069	0.445487456437001	NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea								NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	NOT_RUN	Normalized-space anisotropy metrics were computed, but the encoding checkpoint did not retain pre-normalization norms.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS	10	7995	7995	1024	10	112.828767979987	3.21690093909218	0.489632076958668	0.0705565978736711	149	590	79950	79950					1	1						NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea								NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Occurrence diagnostics are analysis-only and do not select a correction.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS	20	7995	7995	1024	20	467.376860537836	3.51142842404407	0.493219749210048	0.070838023764853	320	310	159900	159900					1	1						NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea								NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Occurrence diagnostics are analysis-only and do not select a correction.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS	50	7995	7995	1024	50	3053.95322076298	3.73267531727564	0.497349523251907	0.0743114446529081	835	88	399750	399750					1	1						NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea								NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Occurrence diagnostics are analysis-only and do not select a correction.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_BOILERPLATE	10	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	BOILERPLATE	CATEGORICAL_ETA_SQUARED	0	1	0		20bef90ef04217f79f6df5532e197e16ca0c0581f74773fe2d36d46ffdbd2b1e	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_BOILERPLATE	20	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	BOILERPLATE	CATEGORICAL_ETA_SQUARED	0	1	0		19deeca160dd78156bb17b547b88e9957448dc6f1ddc7e674221d976f4051844	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_BOILERPLATE	50	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	BOILERPLATE	CATEGORICAL_ETA_SQUARED	0	1	0		231aded810b499580643b85a7a174a6a725b5006d219fa978f243b2e7aa6b8ef	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_GENERIC_TITLE	10	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	GENERIC_TITLE	CATEGORICAL_ETA_SQUARED	0.0244164815133443	2	0.0244164815133443		a02eb471b2fb5b5bf5baca0f85f005298e908803485b2aaa68e9356b9d16a0b8	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_GENERIC_TITLE	20	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	GENERIC_TITLE	CATEGORICAL_ETA_SQUARED	0.0289533494340434	2	0.0289533494340434		7b5a0be7edfa1b6ef67ec9c1d8d7a4fbaa2cb3eed93cb93f3894bd6ae545bac8	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
NLP-D1	97b0c614be4d77ee51c0cef4e5f07c00f9eb65b3	PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	NLP_TITLE	HUBNESS_ASSOCIATION_GENERIC_TITLE	50	7995	7995	1024																					NOT_RUN	"[""LANGUAGE"",""PRE_NORMALIZATION_NORMS""]"	fc9313186cb88d070461b1440b5fd62cf7fa7a01fa0adc7428c5b708bba854ea	GENERIC_TITLE	CATEGORICAL_ETA_SQUARED	0.036548790526287	2	0.036548790526287		9ce2575bcd61664928f1259c6b779ffac1dd720b66a16d389315b3bee0da3a80	NONE	false	false	7f69ce4a5bc6c247d4d26d966cbf381961c1b131ed0dbd7afd809d0e6f0b0ef8	PASS	Association is diagnostic and does not establish causation or relation.
