row_type	structured_model_id	structured_variant_id	nlp_method_id	anchor_public_object_id	candidate_public_object_id	classification	anchor_count	candidate_index_sha256	structured_rank	nlp_rank	mean_top_20_jaccard	both_high_case_count	high_structured_low_nlp_case_count	low_structured_high_nlp_case_count	both_low_case_count	context_match	temporal_match	geography_match	descriptive_match	text_aspect	anchor_language_script_state	candidate_language_script_state	same_source_diagnostic	structured_nlp_fusion_selected	structured_nlp_fusion_weights_selected	historical_relation	semantic_relation	probability	status	limitation
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0002	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	7							0.5	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0003	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	8							0.5	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0005	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	9							0.5	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0006	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	2							1	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0008	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	10							0.5	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0010	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	11							0.5	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0011	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	3							1	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0012	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	12							0.5	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0013	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	13							0.5	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
DETAIL	M2	M2-SMOOTHED_IDF	NLP-D1-TITLE-PLAIN_DOCUMENT_SYMMETRIC_DIAGNOSTIC	SURF-CHWCONTEMP2026V1R0014	SURF-CHWCONTEMP2026V1R0015	HIGH_STRUCTURED_LOW_NLP	24	abba30fcdded21b8f1ba6f7ec87a47b6bbd83c0d1e40d90670143fb88b83873f	14							0.5	1	1	0.5	NLP_TITLE	Latin	Latin	true	false	false	false	false	false	PARTIAL	Disagreement classification is diagnostic, not an error or relation; script state was not interpreted as language.
