aspect_id	field_role	source_identity	script_state	text_length_bucket	object_count	document_count	character_count	object_share	language_label	language_label_state	language_id_model_id	language_id_model_revision	language_id_model_committed	generated_translation_count	corpus_sha256
NLP_OBJECT_SEMANTIC_COMPOSITE	OBJECT_SEMANTIC_COMPOSITE_TITLE_ONLY	ALL_GOVERNED_PUBLIC_SOURCES	Latin	ALL_LENGTHS	7986	7986	285918	0.998874296435272	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_OBJECT_SEMANTIC_COMPOSITE	OBJECT_SEMANTIC_COMPOSITE_TITLE_ONLY	ALL_GOVERNED_PUBLIC_SOURCES	mixed	ALL_LENGTHS	4	4	257	0.000500312695434647	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_OBJECT_SEMANTIC_COMPOSITE	OBJECT_SEMANTIC_COMPOSITE_TITLE_ONLY	ALL_GOVERNED_PUBLIC_SOURCES	undetermined	ALL_LENGTHS	5	5	30	0.000625390869293308	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_SOURCE_NARRATIVE	SOURCE_NARRATIVE_DIAGNOSTIC_ONLY	ALL_GOVERNED_PUBLIC_SOURCES	Latin	ALL_LENGTHS	7429	7429	554095	0.999730857219755	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_SOURCE_NARRATIVE	SOURCE_NARRATIVE_DIAGNOSTIC_ONLY	ALL_GOVERNED_PUBLIC_SOURCES	mixed	ALL_LENGTHS	2	2	370	0.00026914278024492	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_SUBJECT	SUBJECT_LABELS_LEAKAGE_GATED	ALL_GOVERNED_PUBLIC_SOURCES	Latin	ALL_LENGTHS	7807	7807	570542	0.996044909415667	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_SUBJECT	SUBJECT_LABELS_LEAKAGE_GATED	ALL_GOVERNED_PUBLIC_SOURCES	mixed	ALL_LENGTHS	31	31	4396	0.00395509058433274	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_TITLE	OBJECT_TITLE	ALL_GOVERNED_PUBLIC_SOURCES	Latin	ALL_LENGTHS	7986	7986	285918	0.998874296435272	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_TITLE	OBJECT_TITLE	ALL_GOVERNED_PUBLIC_SOURCES	mixed	ALL_LENGTHS	4	4	257	0.000500312695434647	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
NLP_TITLE	OBJECT_TITLE	ALL_GOVERNED_PUBLIC_SOURCES	undetermined	ALL_LENGTHS	5	5	30	0.000625390869293308	NOT_ASSIGNED	NOT_RUN_NO_SELECTED_LID	NOT_SELECTED	N/A	false	0	7cde5cfdcf0a0bfd4762f9e23c3b50287a0b9071cbf0bd21102bca4ae2ee024c
