rule_id	source	field_role	phrase_or_hash	support	denominator	decision	reason	removal_scope	version	rule_type	token_count
NLP-BP-0046A493F641850ADC47	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:51e8e9175eb60a4711a759bcf5c969c901015809814cf4be57a61d9062b32805	95	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	8
NLP-BP-02C51E98A3B9AA6FFBBC	Victoria and Albert Museum Collections API	SOURCE_NARRATIVE	sha256:2f3571b989d925d9e94c9bde71d7befd8605bd2dd8ed01548ce32b9693b2ebc0	79	82	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	8
NLP-BP-03044B3651084E8246C9	Nasjonalmuseet Design collection / DigitaltMuseum	SOURCE_NARRATIVE	sha256:94c2e03157783f33a3b80e61ded924bbe7a6886e2de7265fa9d55940f743b835	8	95	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-03370668C9D2B2247B3E	Library of Congress loc.gov API	SOURCE_IDENTITY	sha256:2897e01159010ee4a458553a094389eca13e8a4bf307f3348acb19917be58555	41	41	MASK_SOURCE_IDENTITY	Explicit source identity is masked in the source-leakage robustness variant.	SOURCE_NAME_AND_URL_VARIANT_ONLY	trace-nlp-boilerplate-v1	SOURCE_LITERAL	6
NLP-BP-03953ECAA737B774FAF0	Gallica / BnF APIs	OBJECT_SUBJECT_TERMS	sha256:381d103e83259c49bb5df020cf5be68ebfb347e1fdc56cfbce956ef73318c5c1	8	8	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-041C68ACBF4C742D8D22	Nasjonalmuseet Design collection / DigitaltMuseum	SOURCE_NARRATIVE	sha256:b2db85ede64c64b9013999a97cd341fd5945ed78aec91290d648115a5c28b0ac	6	95	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-0790BC054118E028F47B	National Library of Norway Catalogue API	OBJECT_SUBJECT_TERMS	sha256:9a1f973606a696f05a7452139abec786b7098b989710210202f278a31a2e0ff7	522	522	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-0A6BF321DFA8E1CA33B4	Biblioteca Nacional Digital de Chile	OBJECT_SUBJECT_TERMS	sha256:6238561503e987e273845c7151d66310fe0e8f16ac2ad8633194d7e4bfeab143	67	67	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-0C0E9370129C1B91D8BA	Pacific Community Digital Library	OBJECT_SUBJECT_TERMS	sha256:1bb4cf045d06f25a883c8b56df4d7b4e6a1587741fbf2ed5816e78050a195301	37	165	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	PREFIX	5
NLP-BP-0E4381783B0E9D320AB0	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:802e1ccc43a009f082c27af408ae2feaf8efcfc2b1557fdfec2a14919cbf350c	135	438	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-116F6CD94D72DDA459CE	National Library of Norway Catalogue API	OBJECT_SUBJECT_TERMS	sha256:bcae20b1635555828083fbf1ce0621b5c3ed792b5c1fb8ccadaed6c09ca722ab	522	522	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	5
NLP-BP-11E81FCF462182FA2A9D	Yale University Art Gallery Linked Art	OBJECT_SUBJECT_TERMS	sha256:3b7cc81542c9400ad39d64e90eed631046c447bbc3e2456757d1478f7a1962aa	83	438	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-19AD5B35155CA211BFAB	National Library of Norway Catalogue API	OBJECT_SUBJECT_TERMS	sha256:9a6b3e973bd65175ddfecb49cd03b390e4b8a0fe9f055d239cdd4511e9913c52	522	522	HOLD	High-support source-conditioned phrase is registered for review; frequency alone does not authorize removal.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	SUFFIX	8
NLP-BP-1A6F59472354451FFAC0	Cooper Hewitt Collection GraphQL API	OBJECT_SUBJECT_TERMS	sha256:30c04e16459b45d755913440f766123d8311e60d69053bbe38360a5a32d7e422	8	13	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-1D591197CF661B02D8C5	Nasjonalmuseet Design collection / DigitaltMuseum	SOURCE_NARRATIVE	sha256:187f36ecec78174bc7ed9a3feed5e32af1ce1618d8b85ffed74953a1b5275d7e	6	95	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
NLP-BP-1DFC6124F4950747A3C2	National Library of Norway Catalogue API	SOURCE_NARRATIVE	sha256:88a4060193468285e69ddf82f876fae061e7780436db444a33f74311ceb1c0a6	518	522	HOLD	Exact source-conditioned repetition is a boilerplate candidate requiring explicit review.	SOURCE_AND_ROLE_ONLY	trace-nlp-boilerplate-v1	EXACT_TEMPLATE	0
