run_id,records_csv,records_count,active_source_count,image_state_counts,summary_csv,summary_exists,report_md,report_exists,raw_dir,raw_dir_exists,raw_commit_policy,included_in_public_rebuild,stage,notes
001,data/capture_batch_001_records.csv,50,4,IMG00:12;IMG01:4;IMG02:8;IMG03:13;IMG04:13,data/capture_batch_001_source_summary.csv,true,docs/capture/CAPTURE_BATCH_001_REPORT_v0.md,true,data/capture_batch_001_raw,true,do_not_commit_without_redaction_review,false,capture_records_unclassified,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_authority_weighted_expansion_2026_v1,data/capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,5049,5015,IMG03:5049,data/capture_batch_commons_open_authority_weighted_expansion_2026_v1_source_summary.csv,true,docs/capture/COMMONS_OPEN_AUTHORITY_WEIGHTED_EXPANSION_2026_v1.md,true,,false,not_present,false,capture_records_unclassified,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_category_tree_image_2026_v1,data/capture_batch_commons_open_category_tree_image_2026_v1_records.csv,4537,4537,IMG03:4537,data/capture_batch_commons_open_category_tree_image_2026_v1_source_summary.csv,true,docs/capture/COMMONS_OPEN_CATEGORY_TREE_IMAGE_CAPTURE_2026_v1.md,true,,false,not_present,false,capture_records_unclassified,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_contemporary_region_research_2026,data/capture_batch_commons_open_contemporary_region_research_2026_records.csv,120,120,IMG03:120,data/capture_batch_commons_open_contemporary_region_research_2026_source_summary.csv,true,docs/capture/COMMONS_OPEN_CONTEMPORARY_REGION_RESEARCH_CAPTURE_2026_v1.md,true,,false,not_present,true,public_surface_rebuild_input,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_controlled_expansion_2026_v1,data/capture_batch_commons_open_controlled_expansion_2026_v1_records.csv,929,929,IMG03:929,data/capture_batch_commons_open_controlled_expansion_2026_v1_source_summary.csv,true,docs/capture/COMMONS_OPEN_CONTROLLED_EXPANSION_2026_v1.md,true,,false,not_present,false,capture_records_unclassified,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_global_south_image_2026,data/capture_batch_commons_open_global_south_image_2026_records.csv,1380,1376,IMG03:1380,data/capture_batch_commons_open_global_south_image_2026_source_summary.csv,true,docs/capture/COMMONS_OPEN_GLOBAL_SOUTH_IMAGE_CAPTURE_2026_v1.md,true,,false,not_present,true,public_surface_rebuild_input,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_period_balance_image_2026,data/capture_batch_commons_open_period_balance_image_2026_records.csv,90,90,IMG03:90,data/capture_batch_commons_open_period_balance_image_2026_source_summary.csv,true,docs/capture/COMMONS_OPEN_PERIOD_BALANCE_IMAGE_CAPTURE_2026_v1.md,true,,false,not_present,true,public_surface_rebuild_input,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_publication_category_tree_2026_v1,data/capture_batch_commons_open_publication_category_tree_2026_v1_records.csv,27,27,IMG03:27,data/capture_batch_commons_open_publication_category_tree_2026_v1_source_summary.csv,true,docs/capture/COMMONS_OPEN_PUBLICATION_CATEGORY_TREE_2026_v1.md,true,,false,not_present,false,capture_records_unclassified,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_region_balance_image_2026_v2,data/capture_batch_commons_open_region_balance_image_2026_v2_records.csv,800,799,IMG03:800,data/capture_batch_commons_open_region_balance_image_2026_v2_source_summary.csv,true,docs/capture/COMMONS_OPEN_REGION_BALANCE_IMAGE_CAPTURE_2026_v2.md,true,,false,not_present,false,capture_records_unclassified,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_region_balance_image_2026_v3,data/capture_batch_commons_open_region_balance_image_2026_v3_records.csv,497,497,IMG03:497,data/capture_batch_commons_open_region_balance_image_2026_v3_source_summary.csv,true,docs/capture/COMMONS_OPEN_REGION_BALANCE_IMAGE_CAPTURE_2026_v2.md,true,,false,not_present,false,capture_records_unclassified,Manifest row only; archive success still requires public payload inclusion and release audit.
commons_open_release_gate_expansion_2026,data/capture_batch_commons_open_release_gate_expansion_2026_records.csv,4100,4100,IMG03:4100,data/capture_batch_commons_open_release_gate_expansion_2026_source_summary.csv,true,docs/capture/COMMONS_OPEN_RELEASE_GATE_EXPANSION_2026_v1.md,true,,false,not_present,true,public_surface_rebuild_input,Manifest row only; archive success still requires public payload inclusion and release audit.
cooperhewitt_graphql_image_ready_1830_2026,data/capture_batch_cooperhewitt_graphql_image_ready_1830_2026_records.csv,148,1,IMG02:148,data/capture_batch_cooperhewitt_graphql_image_ready_1830_2026_source_summary.csv,true,,false,data/capture_batch_cooperhewitt_graphql_image_ready_1830_2026_raw,true,do_not_commit_without_redaction_review,true,item_image_capture,Manifest row only; archive success still requires public payload inclusion and release audit.
digitalnz_image_ready_1830_1970,data/capture_batch_digitalnz_image_ready_1830_1970_records.csv,80,1,IMG03:80,data/capture_batch_digitalnz_image_ready_1830_1970_source_summary.csv,true,,false,data/capture_batch_digitalnz_image_ready_1830_1970_raw,true,do_not_commit_without_redaction_review,true,item_image_capture,Manifest row only; archive success still requires public payload inclusion and release audit.
digitalnz_postwar_image_ready_1945_2026,data/capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,117,1,IMG02:64;IMG03:53,data/capture_batch_digitalnz_postwar_image_ready_1945_2026_source_summary.csv,true,,false,data/capture_batch_digitalnz_postwar_image_ready_1945_2026_raw,true,do_not_commit_without_redaction_review,true,item_image_capture,Manifest row only; archive success still requires public payload inclusion and release audit.
early_region_1830_1880,data/capture_batch_early_region_1830_1880_records.csv,23,3,IMG01:4;IMG02:4;IMG03:5;IMG04:10,data/capture_batch_early_region_1830_1880_source_summary.csv,true,,false,data/capture_batch_early_region_1830_1880_raw,true,do_not_commit_without_redaction_review,false,capture_records_unclassified,Manifest row only; archive success still requires public payload inclusion and release audit.
