control_id	control	location	semantic_action	pointer_interaction	keyboard_interaction	disabled_condition	loading_state	error_state	mobile_narrow_behavior
CC-CTL-001	Template selector	Toolbar	Replace composition with the selected deterministic template version	Open selector and choose an option	Native select focus; Arrow keys choose; Enter/Space commits	INITIALIZING, EXPORTING, or no registered templates	Shows current template but is unavailable during initialization	Retains prior valid composition and announces failure	Remains directly available in the compact toolbar
CC-CTL-002	Entity palette	Left panel	Expose eligible dataset entities not visible in the composition	Scroll, select an entity, or begin palette drag	Tab through named Drag and Add controls; Enter/Space on either adds without requiring drag	INITIALIZING	Uses a labeled busy state until dataset initialization completes	Shows a non-destructive status and retryable empty state	Collapsible panel/region; add buttons remain available
CC-CTL-003	Palette entity Add	Palette row	Reveal one existing dataset entity at a deterministic add position	Click/tap Add; drag row and drop on canvas	Focus row Add button and press Enter/Space	Entity ineligible, no longer in dataset, or interaction blocked by EXPORTING	No per-row loading; disabled during initialization	Stale ID is rejected; composition is unchanged and status announced	Always present because drag is not required on touch
CC-CTL-004	Palette entity drag	Palette row and canvas	Reveal one existing dataset entity at the drop world coordinate	Primary-pointer drag; drop on canvas; Escape/pointer cancel aborts	Not the sole add path; keyboard users use Palette entity Add	Entity ineligible, already visible, or another interaction active	No asynchronous loading	Invalid drop cancels without mutation and announces status	Touch Pointer Events supported; Add remains the preferred fallback
CC-CTL-005	Palette search/filter (optional)	Palette	Filter only the displayed available-entity list; never filter the dataset/canvas	Focus field; type or clear query	Native text editing; Escape clears query	Control omitted when search is not implemented; otherwise INITIALIZING	No loading; filtering is synchronous	Invalid input is treated as no matches without changing composition	If implemented, stays inside collapsible palette with visible Clear action
CC-CTL-006	Undo	Toolbar	Restore the previous committed composition snapshot	Click/tap button	Focus and press Enter/Space; optional platform undo shortcut may mirror it	Past history empty, INITIALIZING, or EXPORTING	No loading; synchronous	Failure retains present snapshot and announces status	Remains in compact toolbar with accessible name
CC-CTL-007	Redo	Toolbar	Restore the next committed composition snapshot	Click/tap button	Focus and press Enter/Space; optional platform redo shortcut may mirror it	Future history empty, INITIALIZING, or EXPORTING	No loading; synchronous	Failure retains present snapshot and announces status	Remains in compact toolbar with accessible name
CC-CTL-008	Auto Arrange	Toolbar	Replace visible node positions with deterministic typed-lane layout	Click/tap button	Focus and press Enter/Space	No visible nodes, INITIALIZING, NODE_DRAGGING, PANNING, or EXPORTING	No loading; synchronous	Invalid layout result is rejected and prior positions retained	Remains available from compact toolbar/overflow without pointer precision
CC-CTL-009	Fit	Toolbar	Fit all visible node bounds in the viewport with padding	Click/tap button	Focus and press Enter/Space	No visible nodes or INITIALIZING	No loading; synchronous	Invalid dimensions fall back to last finite viewport and announce status	Remains available in compact toolbar/overflow
CC-CTL-010	Zoom In	Toolbar	Increase viewport zoom around its predictable center	Click/tap button	Focus and press Enter/Space	At maximum zoom 2.5 or INITIALIZING	No loading	Invalid viewport is normalized to a safe finite value	Remains visible or in accessible overflow; touch target preserved
