stage,baseline_32_ms,baseline_1000_ms,baseline_2000_ms,after_32_ms,after_1000_ms,after_2000_ms,baseline_ratio_1k_2k,baseline_exponent_1k_2k,baseline_percent_2k,after_ratio_1k_2k,after_exponent_1k_2k,after_percent_2k
fixture_input_preparation,117.854,1547.328,3047.279,106.128,1543.318,3077.163,1.969381411,0.977742546,63.549336,1.993861926,0.995565507,78.65267
canonical_assignment_load,0.036,0.797,1.437,0.0,0.775,1.304,1.803011292,0.850408432,0.029968,1.682580645,0.750675654,0.03333
assignment_supersession_current_leaf,1.837,37.322,72.405,1.939,36.629,74.748,1.940008574,0.956063029,1.509967,2.040678151,1.029048663,1.910568
reverse_index_construction,2.021,43.874,86.088,1.781,43.532,85.162,1.96216438,0.972445908,1.795318,1.956308003,0.968133528,2.176751
release_projection_build,34.11,127.276,256.509,7.546,128.026,264.034,2.015376033,1.011049045,5.349355,2.062346711,1.044286891,6.748742
chunk_digest_calculation,3.947,83.876,160.397,2.969,78.954,162.914,1.912311031,0.935317192,3.344992,2.063404007,1.045026324,4.164102
final_digest_reduction,4.003,10.388,18.084,1.928,9.61,17.801,1.740854832,0.799795904,0.377132,1.852341311,0.889349953,0.454996
validation_reconciliation,3.103,243.863,969.992,0.0,7.605,9.962,3.97761038,1.991901966,20.228652,1.309927679,0.389487163,0.25463
index_creation_or_maintenance_and_plpgsql_overhead,49.469,72.451,129.404,24.974,78.301,126.352,1.786089909,0.836804705,2.69865,1.613670323,0.690345863,3.229573
analyze,15.849,20.525,25.146,16.121,19.779,23.964,1.225140073,0.292946705,0.524406,1.211588048,0.276899251,0.612523
sealing_finalization,0.748,0.0,0.975,0.0,0.0,0.0,,,0.020333,,,0.0
transaction_commit,1.918,2.341,3.936,1.671,3.86,48.165,1.681332764,0.749605286,0.082083,12.477979275,3.641312413,1.231103
