dependency_id	dependency_path	dependency_kind	required_by	declared_role	current_head_state	current_bytes	historical_recovery_ref	clean_checkpoint_effect	v49_authority	disposition	acceptance_boundary
PARENT-001	generated/public_surfaces_prefreeze_candidate_v47.json	direct legacy parent	scripts/build_prefreeze_candidate_v48_loc_geo_repair.py; scripts/repair_prefreeze_candidate_v48_loc_geography.py; scripts/audit_prefreeze_candidate_v48_freeze.py	v47 derived intermediate	ABSENT	190062921	31f8481ba960087a3ba740d62a40639bbf48258a and 1d919fb0e6c5ed5bba9bf728cf7aa27fb7ce821b LFS oid bc9d83892c91beabc7a1ec593f4d4315d7f377f3d9d98df6e2f20b082142ff7f	Direct v48 JSON build and old freeze auditor cannot start from HEAD	NONE; provenance recovery reference only	ARCHIVE_REFERENCE_HOLD	Do not recover for v49 migration; exact legacy replay remains unverified
PARENT-002	data/prefreeze_candidate_v47.sqlite	direct legacy parent	scripts/build_prefreeze_candidate_v48_search_sqlite.py	v47 reconciliation intermediate	ABSENT	421670912	31f8481ba960087a3ba740d62a40639bbf48258a and 1d919fb0e6c5ed5bba9bf728cf7aa27fb7ce821b LFS oid e3b597f365960007562aa8715fcbc713220239c6a011b3040fd926ae4e47cd7c	Direct v48 SQLite build cannot start from HEAD	NONE; provenance recovery reference only	ARCHIVE_REFERENCE_HOLD	Do not recover for v49 migration; exact legacy replay remains unverified
PARENT-003	generated/public_surfaces_prefreeze_candidate_v46.json	indirect legacy replay parent	scripts/build_prefreeze_candidate_v47_aic_balance.py	v46 historical candidate	PRESENT_TRACKED	190039480	current HEAD and Git LFS tracking	Makes the v46 to v47 JSON stage statically input-available	NONE; historical intermediate only	ARCHIVE_READ_ONLY	Never substitute for the v48 candidate JSON
PARENT-004	data/prefreeze_candidate_v46.sqlite	indirect legacy replay parent	scripts/build_prefreeze_candidate_v47_search_sqlite.py	v46 reconciliation baseline	PRESENT_TRACKED	419688448	current HEAD and Git LFS tracking	Makes the v46 to v47 SQLite stage statically input-available	NONE; historical reconciliation only	ARCHIVE_READ_ONLY	Never substitute for the v48 candidate JSON or v48 SQLite
PARENT-005	data/capture_batch_trace_first_aic_geographic_balance_v47_records.csv	legacy transformation input	scripts/build_prefreeze_candidate_v47_aic_balance.py	two active AIC source rows	PRESENT_TRACKED	5431	current HEAD; selected transfer evidence	Static v47 JSON dependency present	PROVENANCE_CANDIDATE after explicit governed ingest only	ARCHIVE_READ_ONLY	Cannot directly create v49 canonical rows
PARENT-006	data/capture_batch_trace_first_aic_geographic_balance_v47_trace_nodes.csv	legacy graph input	scripts/build_prefreeze_candidate_v47_aic_balance.py; scripts/build_prefreeze_candidate_v47_search_sqlite.py	v47 TRACE projection nodes	PRESENT_TRACKED	1420	current HEAD; selected transfer evidence	Static v47 graph dependency present	LEGACY_PROJECTION_ONLY pending graph classification	ARCHIVE_READ_ONLY	No graph fact migrates without authoritative classification
PARENT-007	data/capture_batch_trace_first_aic_geographic_balance_v47_trace_edges.csv	legacy graph input	scripts/build_prefreeze_candidate_v47_aic_balance.py; scripts/build_prefreeze_candidate_v47_search_sqlite.py	v47 TRACE projection edges	PRESENT_TRACKED	1579	current HEAD; selected transfer evidence	Static v47 graph dependency present	LEGACY_PROJECTION_ONLY pending graph classification	ARCHIVE_READ_ONLY	No graph fact migrates without authoritative classification
PARENT-008	data/capture_batch_trace_first_aic_geographic_balance_v47_trace_adjunct_records.csv	legacy auxiliary input	scripts/build_prefreeze_candidate_v47_aic_balance.py	11 non-count-eligible adjunct records	PRESENT_TRACKED	26889	current HEAD; selected transfer evidence	Static adjunct dependency present	PROVENANCE_CANDIDATE after explicit governed ingest only	ARCHIVE_READ_ONLY	Never counts as an archive object by derivation
PARENT-009	data/capture_batch_trace_first_aic_geographic_balance_v47_trace_adjunct_nodes.csv	legacy auxiliary graph input	scripts/build_prefreeze_candidate_v47_aic_balance.py	auxiliary TRACE nodes	PRESENT_TRACKED	5698	current HEAD; selected transfer evidence	Static adjunct graph dependency present	LEGACY_PROJECTION_ONLY pending graph classification	ARCHIVE_READ_ONLY	No auxiliary node becomes canonical automatically
PARENT-010	data/capture_batch_trace_first_aic_geographic_balance_v47_trace_adjunct_edges.csv	legacy auxiliary graph input	scripts/build_prefreeze_candidate_v47_aic_balance.py	auxiliary TRACE edges	PRESENT_TRACKED	8214	current HEAD; selected transfer evidence	Static adjunct graph dependency present	LEGACY_PROJECTION_ONLY pending graph classification	ARCHIVE_READ_ONLY	No auxiliary edge becomes a claim or semantic relation automatically
