policy_version	missingness_version	surface_id	source_record_id	source_ordinal	json_pointer	browse_baseline_disposition	research_disposition	research_reason_code	trace_disposition	trace_reason_code	search_projection_present	candidate_trace_tier	candidate_trace_state	candidate_trace_review_state	candidate_trace_influence_state	candidate_trace_tree_id	candidate_trace_object_node_id	candidate_trace_edge_count
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-CSPTRACE2026R0093	CSPTRACE2026R0093	1	/surfaces/0	ACCOUNTED	HELD	MISSING_EXPLICIT_EVIDENCE_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false		accepted	accepted	not_inferred	TRTREE018	TRN-OBJ-17EE4D429852EB	4
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-CSPTRACE2026R0094	CSPTRACE2026R0094	2	/surfaces/1	ACCOUNTED	HELD	MISSING_EXPLICIT_EVIDENCE_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false		accepted	accepted	not_inferred	TRTREE018	TRN-OBJ-31C25291A90CDA	4
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-VAM20K-00002	VAM20K-00002	3	/surfaces/2	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted	not_inferred	TRTREE014	TRN-OBJ-97734D8F81229C	11
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-LOCYEAR2026V1R0001	LOCYEAR2026V1R0001	4	/surfaces/3	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted	not_inferred	TRTREE041	TRN-OBJ-14FA246B03C150	4
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-GALYEAR2026V1R0001	GALYEAR2026V1R0001	5	/surfaces/4	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted	not_inferred	TRTREE042	TRN-OBJ-5D6E61C2D52FAE	4
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-VAM20K-00006	VAM20K-00006	6	/surfaces/5	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted	not_inferred	TRTREE014	TRN-OBJ-99E0F2BE0F45F6	11
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-GALYEAR1817V1R0001	GALYEAR1817V1R0001	7	/surfaces/6	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted_direct_institutional_record	not_inferred	TRTREE043	TRN-OBJ-F637470488FD29	4
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-GALYEAR1817V1R0002	GALYEAR1817V1R0002	8	/surfaces/7	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted_direct_institutional_record	not_inferred	TRTREE043	TRN-OBJ-7E29A8CACD0577	4
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-GALYEAR1817V1R0003	GALYEAR1817V1R0003	9	/surfaces/8	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted_direct_institutional_record	not_inferred	TRTREE043	TRN-OBJ-A8FF9AE50B8C87	4
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-DCBPLTRACE2026V1R0001	DCBPLTRACE2026V1R0001	10	/surfaces/9	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted	not_inferred	TRTREE039	TRN-OBJ-067326CA9D51BB	5
v49-research-corpus-policy-1.0.0	v49-missingness-baseline-1.0.0	SURF-DCBPLTRACE2026V1R0002	DCBPLTRACE2026V1R0002	11	/surfaces/10	ACCOUNTED	RESEARCH_ELIGIBLE	EXPLICIT_SOURCE_VERIFIED_TIER	HELD	NO_ELIGIBLE_ACCEPTED_SEMANTIC_RELATION_OR_CLAIM	false	source_verified	accepted	accepted	not_inferred	TRTREE039	TRN-OBJ-B2D5DA2E308792	5
