sample_ordinal	public_stable_id	public_title	selection_reason	context_associations	controlled_assignments	curated_memberships	medium_count	theme_count	movement_count	region_count	title_codepoints	max_context_label_codepoints	non_ascii_title_codepoints	cjk_han_title_codepoints	diacritic_title	punctuation_or_symbol_count
1	SURF-LOCTRACE2026R00867	Solidarity with the people of Southern Africa	MAX_CONTEXT_ASSOCIATIONS	9	4	5	1	1	2	1	45	52	0	0	false	0
2	SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES	Arundel Society chromolithograph copy series	MAX_FOLDER_MEMBERSHIPS;MULTIPLE_THEME;MULTIPLE_REGION	8	3	5	1	2	0	2	44	41	0	0	false	0
3	SURF-LOCTRACE2026R00895	Solidaridad con el pueblo de Africa del Sur = Solidarity with the people of South Africa	MAX_CONTROLLED_ASSIGNMENTS	9	4	5	1	1	2	1	88	52	0	0	false	1
4	SURF-LOCTRACE2026R01600	Dia de solidaridad mundial con la lucha del pueblo de Africa de Sur (26 de Junio)	MULTIPLE_MOVEMENT	9	4	5	1	1	2	1	81	52	0	0	false	2
5	SURF-LOCTRACE2026R02055	Dia de solidaridad mundial con la lucha del pueblo de Africa del Sur	MOVEMENT_PRESENT	9	4	5	1	1	2	1	68	52	0	0	false	0
6	SURF-AICTRACEV47R0001	Portfolio Cover for Mexican People	NO_MOVEMENT	5	2	3	1	1	0	1	34	39	0	0	false	0
7	SURF-AICTRACEV47R0002	Image Design for a Poster, Wagenaar's Cantata 'The Shipwreck'	MINIMAL_CONTEXT	5	2	3	1	1	0	1	61	39	0	0	false	4
8	SURF-CHWCONTEMP2026V1R0006	AIDS Crisis	P99_CONTEXT	7	3	4	1	1	1	1	11	41	0	0	false	0
9	SURF-LOCTRACE2026R02427	Join the week of solidarity with the African workers in South Africa, 13 to 21 March : 1978 International Year Against Apartheid	MIXED_CONNECTION_TYPES	9	4	5	1	1	2	1	128	52	0	0	false	2
10	SURF-NBPOSTERTRACE2026V1R0044	Alle bør spille med i Statens nye premieobligasjonslotteri. Med en premieobligasjon på 50 kroner kan De vinne 100.000 kroner i statens nye premieobligasjonslån av 1943. Hver obligasjon deltar i alle trekninger selv om de er kommet ut med gevist. Dessuten blir obligasjonenes pålydende beløp tilbakebetalt ved lånets innfrielse. Trekning 2 ganger årlig, nemlig hver l. mars og 1. september, første strekning 1. september 1943.... Gevinstene er fritatt for innteksskatt til Stat og Kommune. Obligasjonene selges hos Norges Bank, de fleste aksje- og sparebanker samt aut. fonds- og skipsmeglere til pari kurs netto = kr. 50.- pr. obl. Salget til denne kurs begynner 15. juni førstk. og fortsetter så lenge beholdningen rekker, dog ikke etter 30. juni. Prospekt med alle opplysninger er utlagt på salgsstedene.	MAX_TITLE_LENGTH	5	2	3	1	1	0	1	806	39	11	0	true	31
