mapping_id	source_artifact	source_table_or_section	source_fields	public_held_filter	normalization	canvas_category	state	validation_identifier_derivation	shown_as_node	shown_as_connection	inspector_or_accessibility	deferred_or_prohibited	notes
MAP-001	docs/audits/v49-phase2b-migration/18_SURFACE_ROW_LEDGER.tsv	surface row ledger	surface_id_exact;research_disposition	research_disposition=eligible is the sole allow-list	trim;validate SURF stable-ID grammar	eligibility boundary	n/a	no derived ID	false	false	selected public stable ID only	false	held and unknown lookups both return RECORD_NOT_AVAILABLE
MAP-002	database/FREEZE_V49.json	freeze receipt	total;public;held;assignment counts	reconcile only;never selects a record	integer equality checks	source integrity	n/a	no derived ID	false	false	validation status	true	count authority and integrity gate only
MAP-003	data/prefreeze_candidate_v48.sqlite	objects	surface_id	inner join to eligible ledger ID set;never count_eligible or trace_tier	trim;stable-ID grammar	root object	n/a	existing public stable ID	true	connection source	inspector;accessible selected-record row	false	internal canonical UUID is not queried
MAP-004	data/prefreeze_candidate_v48.sqlite	objects	title	only for an eligible selected surface_id	preserve source text;display-only whitespace/control normalization;Unicode-safe visual fit	root object label	n/a	root uses public stable ID	true	false	full original title in inspector;accessibility;SVG title	false	title is never identity
MAP-005	data/prefreeze_candidate_v48.sqlite	object_folder_refs	surface_id;folder_id;folder_type;title	only rows whose surface_id is in eligible ledger set;folder_type=medium	trim identifiers;preserve source label;sort by type then folder identity	controlled assignment candidate	proposed	ctxv49:medium:SHA256(mappingVersion;medium;folder_id) and ctxv49:assignment:SHA256(mappingVersion;assignment;surface_id;medium;folder_id)	true	true	full source label and proposed state	false	same row is also mapped as proposed curated membership under MAP-008
MAP-006	data/prefreeze_candidate_v48.sqlite	object_folder_refs	surface_id;folder_id;folder_type;title	only rows whose surface_id is in eligible ledger set;folder_type=theme	trim identifiers;preserve source label;sort by type then folder identity	controlled assignment candidate	proposed	ctxv49:theme:SHA256(mappingVersion;theme;folder_id) and ctxv49:assignment:SHA256(mappingVersion;assignment;surface_id;theme;folder_id)	true	true	full source label and proposed state	false	no label-based deduplication
MAP-007	data/prefreeze_candidate_v48.sqlite	object_folder_refs	surface_id;folder_id;folder_type;title	only rows whose surface_id is in eligible ledger set;folder_type=movement	trim identifiers;preserve source label;sort by type then folder identity	controlled assignment candidate	proposed	ctxv49:movement:SHA256(mappingVersion;movement;folder_id) and ctxv49:assignment:SHA256(mappingVersion;assignment;surface_id;movement;folder_id)	true	true	full source label and proposed state	false	optional;no fake missing-movement node
MAP-008	data/prefreeze_candidate_v48.sqlite	object_folder_refs	surface_id;folder_id;folder_type;title	only rows whose surface_id is in eligible ledger set;folder_type in medium,theme,movement,region	trim identifiers;preserve source label;sort by type then folder identity	curated membership	proposed	ctxv49:folder:SHA256(mappingVersion;folder;folder_type;folder_id) and ctxv49:membership:SHA256(mappingVersion;membership;surface_id;folder_type;folder_id)	true	true	full source label;folder type;proposed state	false	distinct curated identity even where the source row also yields a controlled candidate
MAP-009	data/prefreeze_candidate_v48.sqlite	objects	medium	eligible rows only if inspected	no Canvas normalization	deferred descriptive diagnostic	n/a	none	false	false	optional server-side aggregate diagnostic	true	not added because typed folder rows already provide the verified medium mapping
MAP-010	data/prefreeze_candidate_v48.sqlite	objects	creator	eligible rows only if inspected	no Canvas normalization	deferred source-adjacent field	n/a	none	false	false	none	true	no established semantically correct Context connection type
MAP-011	data/prefreeze_candidate_v48.sqlite	objects	object_type	eligible rows only if inspected	no Canvas normalization	deferred descriptive field	n/a	none	false	false	none	true	not coerced into controlled assignment or membership
MAP-012	data/prefreeze_candidate_v48.sqlite	objects	collection/source-adjacent fields	eligible rows only if inspected	no Canvas normalization	deferred source context	n/a	none	false	false	none	true	not coerced into a relation
MAP-013	data/prefreeze_candidate_v48.sqlite	objects and related source tables	internal UUID fields	never selected or projected	none	prohibited identity	n/a	none	false	false	none	prohibited	public stable ID or ctxv49 hash only
MAP-014	data/prefreeze_candidate_v48.sqlite	source metadata	raw URL fields	never selected or projected	none	prohibited source payload	n/a	none	false	false	none	prohibited	no unsafe or private URL in client, export, report, or sample register
MAP-015	docs/statistics/v49-release-data-profile.json	release profile	semantic relation count	public release count must remain zero	integer equality check	semantic edge	n/a	no real edge ID	false	false	accessible semantic-edge collection remains empty	true	shared medium/theme/movement/source is not a semantic relation
MAP-016	frontend/generated/search-v49/documents.json	protected Search index	stable ID;public title	read-only parity check against eligible ledger;never runtime eligibility	exact stable-ID set and title equality	cross-check only	n/a	no derived ID	false	false	none	true	Search remains frozen and is not imported by Context runtime
MAP-017	frontend/src/features/trace-v49/context/realdata/project.server.ts;frontend/src/app/trace/context-canvas/page.tsx	validation envelope and Canvas metadata	dataMode;releaseId;manifestSha256;mappingVersion;candidateState;publicObjectCohortCount;publication flags	selected public record only	SHA-256 verify each frozen input;sort path:sha256 entries;hash mapping-version line plus entries	validation metadata	not_published	manifestSha256=SHA256(newline-joined mapping:version plus sorted frozen-input path:sha256 entries)	false	false	route status;inspector metadata	false	governedPublicRelease=false;historicalEvidence=false;publicReleaseData=false;publicObjectCohortCount=7995
MAP-018	data/prefreeze_candidate_v48.sqlite	selected TraceContextValidationRecordCandidate	folders.length	candidate exists only for an eligible ledger stable ID	count deduplicated typed folder source identities for the selected record	dataset denominator and counts	n/a	no derived ID	false	false	missingness/count diagnostics	false	this denominator is selected-record source-folder count; cohort count is separately 7995 in Canvas metadata
