path	bytes	sha256	role
00_EXECUTIVE_RECEIPT.md	2750	e4dd806fd812bb1a95bee0b93c0e079c8205efbf14951ecdd6158963a0d1c589	executive pre-commit receipt
01_SPACETIME_RUNTIME_VALIDATION.md	3023	c167d55554ebeb577ce5b47a76f6a33c609b40978d101cb8b52311464ecb3961	Spacetime runtime and browser validation
02_CURATORIAL_VALIDATION.md	2302	fee5aa6b77aa90ca2aac6160e4574be2c874affe9c15bd51cc299c9dc31e6d18	curatorial structure and overlap validation
03_MISSINGNESS_VALIDATION.md	1817	04498622a51eac795a69120b9e27805b6bbcd67da035e47cb93a64007b544667	missingness and uncertainty validation
04_CROSS_DIMENSIONAL_VALIDATION.md	2196	744c390d366fc908901af2a6cc4b4564728c7c77aa8ee6d8d868c86d1ad12250	cross-dimensional and TSV validation
05_SIGNAL_REGISTRY_VALIDATION.md	2027	238de567213dee133f363459fbae1cf7d1e7d299c53a848e7ea98a828f81ab3b	signal-registry and invariant validation
06_PERFORMANCE.md	2406	63ab24f39c48286eb086df0d447601f2090864f2f730b0787c3f0d525afab6d1	Spacetime and Exploration performance validation
07_SECURITY_BOUNDARY.md	2135	d3b31af3c9074335dbbb97dcdb204b7b999ce82eb7c71152966b276e51df154d	security and epistemic boundary
08_CHANGED_FILES.md	6111	855544bb9f7a97713b293bd50ab9a8fb56b6f444d9d47096e3f59c5db8d9e479	pre-commit changed-file inventory
raw/exploration-benchmark-summary.json	14767	750b9d3746e8393eb1fa33a4072aeec9d22ec15873ec80e454555fb154b462ae	authoritative three-iteration Exploration benchmark
raw/exploration-cross-dimensional-summary.json	81489	c1d4016ff83b043e21f589422d435ae61a31ba4acccc85db4fc9bcabe2701571	sanitized cross-dimensional aggregate receipt
raw/exploration-curatorial-summary.json	36407	fbba6a7040023292745399db2ac9411d1a8f23996af56dc6147ee2d38edf2dff	sanitized curatorial census and pair-explosion receipt
raw/exploration-curatorial-support-summary.json	13621	407125b4ccd520ca7b4d05498955db1418923cf100053c4dbc5cdb390ef86ad5	sanitized per-object curatorial-support aggregate receipt
raw/exploration-generation-summary.json	4259	33988738ccc789770b2caf5cb162f86b957854b15a870cef5260822f986c7aff	two-pass deterministic generation receipt
raw/exploration-missingness-summary.json	12084	e31b43b813bd37a89a847ded1bca7f24a9db01177efbf0d3821298795fc115c3	sanitized missingness aggregate receipt
raw/exploration-pathological-samples-summary.json	620	3332965992ad0ebacd13ce94b3d2a92c936b5bb67119476e204f41dac5e94490	sanitized pathological-sample summary
raw/exploration-signal-registry-summary.json	1222	e0336ed402d680d915ced36a0fb21ef68d9415151a11da5f61eedb8ead9a955f	sanitized signal-registry receipt
raw/exploration-source-curatorial-structure-registry.json	34494	85b7f9a315ea89c63157e3831c6c0a2118a203d2b9f865f4dbc60e4446748a7b	sanitized 20-structure semantic census
raw/exploration-source-inventory-summary.json	2563	df48fdae6a998142b852acff47e8086bf0f460e6c83a84560ffc00537c1d2d1c	sanitized source inventory receipt
raw/exploration-verification-summary.json	9230	615333bab63a83a7f91bbe4a5929779958a99cc82dfb6b2320f430dfffd6eeb9	final 18-invariant scoped verification receipt
