path	bytes	sha256	role
00_EXECUTIVE_RECEIPT.md	4706	90587fdc7b1ba8ec69a87114d55e9f4913fc6f6858c79423e3b40bd64a8b45b8	executive closure receipt
01_GOVERNANCE_VALIDATION.md	3866	3a39fbf0ead7765aed7bac9a0caa2c7970ea87abc84320a3a0e9b5519646893b	governance and explainability validation
02_PUBLIC_PROJECTION_VALIDATION.md	3615	a584f63d7665c175304a8821f1a298d72f76baea896a1629d8c47224e7ccc278	public projection integrity and runtime validation
03_API_VALIDATION.md	2445	82ab888c640512d5befbcb356c15aa5bb8c21c6144d5adb852f3b6d5faead9a1	Context public API validation
04_FULL_COHORT_VALIDATION.md	2313	b01fd57a330caa8537fa7006a3021c2bfb44c94a732e398f2014d21df71c1018	full governed cohort validation
05_SECURITY_BOUNDARY.md	2812	1f0776f8789ede043c98aac69b7fe1cdee3f9ca85aa1b887313fe306d7b6d55c	security and protected-boundary validation
06_CHANGED_FILES.md	6523	f45d8cc3e18a4a9104ac20daf8e88e2ad848bb60f9e07883700e98534013f87c	changed-file inventory
raw/CONTEXT_ASSIGNMENT_GOVERNANCE_SUMMARY.tsv	3763	e474a9b788f325312f9fe08113386cf224450751559ab039ca808410d01a3a42	aggregate assignment governance registry
raw/CONTEXT_TERM_REGISTRY.tsv	3906	9ecf88b57ec5a6224d074f341bb586ca70e5480150ab4bc48ccb9ed812c2af1f	governed public term registry
raw/SPACETIME_REGION_HANDOFF.tsv	9763	874a8159c8bf03eb87b3e1082be82bc16942a529367539774e1a108699ae8ae5	sanitized aggregate Spacetime handoff
raw/context-governance-bundle-guard.json	337	0269f2a607685f943e3d0311e41fecf83b5fa740536bfc09275eb66cf838f427	client-source and production-static bundle guard
raw/context-governance-census.tsv	677	abad96695503faff0e5b5a55f700b10a9d12846e3b0a189fd436307e3f87df9e	governed census
raw/context-governance-explanation-examples.json	1304	a2dcdb571d44cb8599a6eff193682893a880efd960fa2960cea6a56ef462bcd5	machine-tested explanation examples
raw/context-governance-failures.tsv	38	6d1985982aaff9d76f0f3755f752ef81b984d699f008252e9cce7e04cdd08697	sanitized failure register
raw/context-governance-full-cohort-summary.json	2638	0a74f38c1f06a907f6d1f396dab65356ac92e487d5d245914f10241e3cdd2f2d	full governed cohort summary
raw/context-governance-gate-summary.txt	409	50f2668df02a6ca5a34db0c8ff92d81a42bd8b634e1e5c3d022188b96f0941ba	governance gate summary
raw/context-governance-invariants.tsv	2610	599b995fd99d59a5832a516c0e4450e559524805409a860305456a18e8181733	22-invariant result ledger
raw/context-governance-performance.json	919	37e4651f2133f662f86b8a8a032d8f4eedf15f99323485d69b9535f5884dcd85	governed runtime and operation performance
raw/context-governance-workload.tsv	300	fc459f095f38910c5b6d6f6e81ae5a53ef06bc099fa13b6cb2565aebdceddb7f	governed Canvas workload distribution
