source_id	citation	discipline	method_or_claim	relevance_to_TRACE	visual_risk	composition_implication	usable_for_policy	limitations	confidence
R15-VIS-001	Herman, Melançon & Marshall (2000), Graph Visualization and Navigation in Information Visualization: A Survey, IEEE TVCG 6(1), https://doi.org/10.1109/2945.841119	graph visualization	Surveys graph drawing and navigation techniques and their task trade-offs.	Supports separating graph structure from navigation and display.	A layout algorithm can look semantically authoritative.	Topology and layout require separate contracts.	true	General survey; not humanities-specific.	HIGH
R15-VIS-002	Purchase (1997), Which Aesthetic Has the Greatest Effect on Human Understanding?, Graph Drawing, https://doi.org/10.1007/3-540-63938-1_67	graph drawing	Empirically compares common graph aesthetics for comprehension.	Supports testing legibility rather than assuming it.	Readability optimization can be mistaken for evidentiary optimization.	Keep visual aesthetics presentation-only.	true	Small experimental graph tasks.	HIGH
R15-VIS-003	Ware, Purchase, Colpoys & McGill (2002), Cognitive Measurements of Graph Aesthetics, Information Visualization 1(2), https://doi.org/10.1057/palgrave.ivs.9500013	perception and graph drawing	Measures cognitive effects of graph aesthetics on path tasks.	Shows that geometry changes what viewers can infer.	Shortest-looking paths may acquire unintended salience.	Audit path, crossing, and distance implications.	true	Task findings do not establish historical meaning.	HIGH
R15-VIS-004	Ghoniem, Fekete & Castagliola (2005), On the Readability of Graphs Using Node-Link and Matrix-Based Representations, Information Visualization 4, https://doi.org/10.1057/palgrave.ivs.9500092	graph visualization	Controlled comparison of node-link and matrix readability at different densities.	Supports strict density bounds and alternate representations later.	Dense node-link views obscure structure and invite gestalt over-reading.	Bound degree and decompose large inputs.	true	Artificial tasks and graphs.	HIGH
R15-VIS-005	Holten (2006), Hierarchical Edge Bundles, IEEE TVCG 12(5), https://doi.org/10.1109/TVCG.2006.147	graph drawing	Bundles edges using a hierarchy to reduce clutter.	Demonstrates that clutter reduction embeds structural assumptions.	Bundling can imply group membership and hierarchy.	Do not bundle Round 15 associations.	true	Technique paper, not an epistemic study.	MODERATE
R15-VIS-006	Beck, Burch, Diehl & Weiskopf (2017), A Taxonomy and Survey of Dynamic Graph Visualization, Computer Graphics Forum 36(1), https://doi.org/10.1111/cgf.12791	dynamic graph visualization	Taxonomizes time representation and mental-map trade-offs.	Supports treating temporal/dynamic layout as a separate future concern.	Animation may imply historical succession.	No temporal animation or arrow semantics in V1.	true	Dynamic graphs are outside the current static contract.	HIGH
R15-VIS-007	Furnas & Bederson (1995), Space-Scale Diagrams: Understanding Multiscale Interfaces, CHI, https://doi.org/10.1145/223904.223934	semantic zoom and interaction	Formalizes multiscale interface behavior and zoom navigation.	Supports future presentation-only semantic zoom.	Zoom levels can appear to encode importance.	Zoom may alter detail, never association eligibility.	true	Does not address historical epistemology.	HIGH
R15-VIS-008	Heer & Shneiderman (2012), Interactive Dynamics for Visual Analysis, Communications of the ACM 55(4), https://doi.org/10.1145/2133806.2133821	visual analytics interaction	Organizes interactive operations for exploration and analysis.	Supports filtering, selection, history, and annotation as explicit operations.	Hidden interaction state can make outputs irreproducible.	Persist filters and keep semantic output independent of view state.	true	Broad design taxonomy.	HIGH
R15-VIS-009	Brehmer & Munzner (2013), A Multi-Level Typology of Abstract Visualization Tasks, IEEE TVCG 19(12), https://doi.org/10.1109/TVCG.2013.124	visualization methodology	Separates why, how, and what in visualization tasks.	Supports separating inquiry intent, data, and encoding.	One overloaded field can conflate task and evidence.	Keep semantic, composition, topology, and presentation roles separate.	true	Abstract task framework.	HIGH
R15-VIS-010	Munzner (2009), A Nested Model for Visualization Design and Validation, IEEE TVCG 15(6), https://doi.org/10.1109/TVCG.2009.111	visualization methodology	Separates domain problem, abstraction, encoding/interaction, and algorithm validation.	Directly supports layered validation and distinct failure modes.	An encoding fix can accidentally mutate domain semantics.	Validate semantic and presentation layers independently.	true	Requires domain review that Round 15 has not completed.	HIGH
R15-VIS-011	MacEachren et al. (2005), Visualizing Geospatial Information Uncertainty: What We Know and What We Need to Know, Cartography and Geographic Information Science 32(3), https://doi.org/10.1559/1523040054738936	uncertainty visualization	Synthesizes uncertainty sources, representations, and research gaps.	Supports explicit uncertainty provenance and task-aware encoding.	Uncertainty marks may be misread as low value or error.	Represent gap/status with text and provenance, not rank.	true	Geospatial emphasis.	HIGH
R15-VIS-012	Kinkeldey, MacEachren & Schiewe (2014), How to Assess Visual Communication of Uncertainty?, The Cartographic Journal 51(4), https://doi.org/10.1179/1743277414Y.0000000099	uncertainty evaluation	Systematic review emphasizes task-centered evaluation.	Supports fixture-specific leakage questions.	A generic uncertainty glyph may fail the actual review task.	Audit causality, hierarchy, importance, split, prune, and gap readings separately.	true	Geospatial user studies dominate the sample.	HIGH
R15-VIS-013	Kinkeldey, MacEachren, Riveiro & Schiewe (2017), Evaluating the Effect of Visually Represented Geodata Uncertainty on Decision-Making, Cartography and Geographic Information Science 44(1), https://doi.org/10.1080/15230406.2015.1089792	uncertainty and decision making	Reviews effects of uncertainty displays on reasoning and decisions.	Supports cautious, review-oriented rather than decorative uncertainty encoding.	Visibility can change trust without improving understanding.	Record interpretation risk for every tested encoding.	true	Decision tasks differ from archival exploration.	HIGH
