grammar_attestation_id	source_id	candidate_term_id	candidate_sense_id	candidate_label	exact_attested_noun	bounded_context	page_section_locator	source_language	published_translation	observed_subject_role	observed_target_role	observed_additional_parties	observed_directionality	observed_state_transition	observed_qualifier	observed_negation	observed_contestation	co_occurring_relation_term_ids	evidence_sha256	metadata_verified
GRAM-ATT-001	GRAM-SRC-001	REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	mediation	production, consumption, and mediation	Introduction; PCM re-evaluation	English		producer or mediating actor	consumer, interface, or received digital performance	algorithms; platforms; prosumers	MIXED_USAGE_DEFER	no bounded before-to-after transition attested	digital ontology and third-party dynamics	none	historically situated or contested		a1a7afde8003fe56918e6ee2975660fd33ea0add40d682694aabc2f6a973c7f9	true
GRAM-ATT-002	GRAM-SRC-002	REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	mediations	a dynamic system, a set of practices and mediations	Abstract, final paragraph	Polish	Publisher-supplied English abstract	design-community institutions and transmitters	relations between production and consumption	exhibitions; advisers; mediators	MULTIPARTY	no bounded before-to-after transition attested	Polish design-historical field	none	historically situated or contested		9c4396df2c5b0e8e5a7f18385a6d0d932803699936a4c273cfac1903f6bbb848	true
GRAM-ATT-003	GRAM-SRC-003	REL-CAND-0004	REL-CAND-0004#SENSE-A	canonization	canonization	visual historiography and canonization in Swiss graphic design history	chapter title and pp. 249-276	English		selected actors, works, and narratives	a mainstream graphic-design historical canon	historians; publications	DIRECTED	uneven historical status -> canonical positioning or exclusion	historiographic selection and exclusion	none	historically situated or contested		7d2daa9a4981737feae0252b6236d996c1ea5922a4003d1573f0b99eff4fbb2f	true
GRAM-ATT-004	GRAM-SRC-004	REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	professionalization	the relationship between self-image, representation and professionalization in the formative years of the design profession in Britain	Abstract	English		the Society of Industrial Artists and Council of Industrial Design	the British design profession and its represented professional standing	publications; memoranda; practitioners; audiences	DIRECTED	emerging design occupation -> represented professional standing	formative period, class, and gender	none	historically situated or contested		6447eb94d4b0251865d388c116d1b044ed9f3a12efb3be92c7cc569b67fc93b8	true
GRAM-ATT-005	GRAM-SRC-005	REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	professionalization	professionalization and institutionalization are closely interwoven	Introduction, paragraphs 6-13	English		graphic designers and their professional project	a recognized professional field and logic	universities; associations; consultants	MIXED_USAGE_DEFER	no bounded before-to-after transition attested	professional logic and legitimate agents	none	historically situated or contested	REL-CAND-0006	3817ed26568e16fb07460fbccf10db73cf604edc7feb858c0ef99b535e37eb4d	true
GRAM-ATT-006	GRAM-SRC-005	REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	institutionalization	institutionalization of their professional logic	Abstract; Introduction; Discussion	English		professional logic carried by graphic designers	universities and organizational visual-identity fields	creators; carriers; appliers	DIRECTED	professional logic -> institutionalized organizational field	agent legitimacy and reproduction	none	historically situated or contested		ea06473ad2ad7d65dfa8bb556835d9605bf7d55f727ac188a7c11851b6d605e8	true
GRAM-ATT-007	GRAM-SRC-006	REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	institutional trajectories	institutional trajectories of five design disciplines	Abstract and theoretical framework	English		design disciplines and educational programs	durable institutional presence in higher education	universities; students; adjacent disciplines	DIRECTED	no bounded before-to-after transition attested	field presence is not identical to growth	none	historically situated or contested		0eb3f0b84e879920818ee9039cd82f077257bb24c2f1215c68055213ce8831d9	true
GRAM-ATT-008	GRAM-SRC-007	REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	professionalization	recent histories of the professionalization of interior design: from gatekeeping to inclusion	article title and abstract	English		interior-design field and practitioners	professional status and governed field	educators; regulators; associations	DIRECTED	no bounded before-to-after transition attested	inclusion and exclusion must remain visible	none	historically situated or contested		ed112ed900ad3c943da353de9ef3e18a32eb8dbe4d0972490e74f244ac7f92be	true
GRAM-ATT-009	GRAM-SRC-008	REL-CAND-0007	REL-CAND-0007#SENSE-A	transnational interactions	transnational interactions	between transnational interactions and national narratives	chapter title and abstract	English		British and Italian architectural actors and cultures	multi-national exchanges and national narratives	institutions; architects; publications	MULTIPARTY	no bounded before-to-after transition attested	reciprocity and national self-identity	none	historically situated or contested		006046ae9ca1c04b65119bbf39b5c77531128f286f963b9a2c7ecf41e6e869d6	true
GRAM-ATT-010	GRAM-SRC-009	REL-CAND-0009	REL-CAND-0009#SENSE-A	design exchanges	design exchanges	design exchanges between Brussels and Moscow	title and abstract	English		design institutions and professional networks	counterpart design scenes across the Iron Curtain	ICSID; governments; exhibitions	MULTIPARTY	no bounded before-to-after transition attested	diplomacy, commerce, and network agency	none	historically situated or contested		ec9465d2d643317f3eff73a2328d0906a188a4f1500a3a04c8e872c33170a5d7	true
GRAM-ATT-011	GRAM-SRC-010	REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	cultural translation	cultural translation: an introduction to the problem	title and forum introduction	English		cultural actors, texts, or forms	receiving or negotiated cultural setting	translators; institutions; audiences	MIXED_USAGE_DEFER	no bounded before-to-after transition attested	the term is contested and used incompatibly	none	historically situated or contested		9bd312a0296b97c8fcb7a7e444651f2d6d61dfedf8a291304f1ed10172ef0abe	true
GRAM-ATT-012	GRAM-SRC-011	REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	translation between cultures	translation between languages in the context of translation between cultures	chapter summary	English		historian or translator mediating a source culture	readers in another historical-cultural setting	texts; historians; audiences	DIRECTED	no bounded before-to-after transition attested	fidelity and intelligibility remain in tension	none	historically situated or contested		24e9d01db52bff1d1f10c99ff0743f92953157771b2f7967eeb75d74ad59fd26	true
GRAM-ATT-013	GRAM-SRC-012	REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	cultural translation	perspectives on cultural translation and design culture, proposing a method for the extraction and transformation of cultural elements	section 3.2.1	English		cultural elements selected by design researchers	transformed features in a situated cultural product	cultural carriers; designers; receiving users	DIRECTED	no bounded before-to-after transition attested	translation remains ambiguous and equivocal	none	historically situated or contested		b3e65470fa5f30b534f9a595cba5de1448193e48cd7f4c81d6a0d1556cce0441	true
GRAM-ATT-014	GRAM-SRC-013	REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	commodification	de-contextualization of images is an essential condition for their commodification	Abstract	English		archived images and their indexing	commercially exchangeable image commodities	archive; agency; clients	DIRECTED	contextualized image -> exchangeable image commodity	keywords and decontextualization	none	historically situated or contested		b323435f749e8395ff65c0aa9b818ca5e239eb0049a73bc5fd16bc94bd775a78	true
GRAM-ATT-015	GRAM-SRC-014	REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	commodification	commodification of imagination	title and abstract	English		children's imaginative roles and dress-up designs	mass-produced branded costume scripts	manufacturers; brands; children	DIRECTED	imaginative capacity -> mass-produced commodity script	agency is constrained by brand narratives	none	historically situated or contested		e19c77c5b230679383185acf259aca67139950af5945fb6cb564a4fdaf9e3be6	true
GRAM-ATT-016	GRAM-SRC-015	REL-CAND-0011	REL-CAND-0011#SENSE-A	gendering	gendering	the gendering of design language has worked as resistance to gender ideologies	Gender and Design: From Reflecting to Constructing	English		design language and its historically situated conventions	gender-coded meanings and positions	designers; marketers; consumers	DIRECTED	design language or packaging -> gender-coded consumer position	arbitrariness, changeability, and performativity	none	historically situated or contested		204b8efb16d3795451cdedc995dade7af091349f486117efd1548a0ad35ee928	true
GRAM-ATT-017	GRAM-SRC-016	REL-CAND-0012	REL-CAND-0012#SENSE-A	displacement	displacement	intersections of design and displacement	Description and chapter list	English		people, things, meanings, practices, and energy systems	changed places, contexts, or political conditions	states; empires; migrants; activists	MIXED_USAGE_DEFER	no bounded before-to-after transition attested	forced, material, semantic, and strategic senses	none	historically situated or contested		45cfd8a2e5bc38f223a3e2d6a5575213d2666360f57246e69064e898f8f8bdc4	true
GRAM-ATT-018	GRAM-SRC-017	REL-CAND-0023	REL-CAND-0023#SENSE-A	transculturation	transculturation	the notion of public space in Chinese urban design culture has articulated the substance of compressed transculturation	Abstract	English	Discusses Chinese-language source corpus	Western public-space concepts and Chinese urban discourse	situated Chinese networks of knowledge	scholars; translators; institutions	MULTIPARTY	no bounded before-to-after transition attested	local negotiation and resistance	not a simple import-export model	historically situated or contested		3c095da071da479580b0ca5d2b464e63eea2508d7c0736b2ca09e8615d8ee71e	true
GRAM-ATT-019	GRAM-SRC-018	REL-CAND-0024	REL-CAND-0024#SENSE-A	cultural mobility	Cultural Mobility	Cultural Mobility: A Manifesto	book title and publisher description	English		people, meanings, institutions, and cultural forms	routes, destinations, and transformed settings	carriers; borders; infrastructures	MIXED_USAGE_DEFER	no bounded before-to-after transition attested	colonization, exile, wandering, and contamination	none	historically situated or contested		4211cabdb916d1cabec109fe2bd1d8a86bc5bfd07bbbf9739d3f32f8ce7ce5e3	true
GRAM-ATT-020	GRAM-SRC-019	REL-CAND-0025	REL-CAND-0025#SENSE-A	self-exoticization	Self-exoticization	Self-exoticization here refers to a designer’s strategy of integrating design elements that might appear exotic and Korean to foreigners	p. 155, opening discussion	English	Engages Korean-language scholarship	a Korean designer constructing a self-representation	the designer's culturally marked self-representation	foreign audience; Korean consumers; selected design elements	REFLEXIVE	cultural repertoire -> strategically marked self-representation	perceived difference, external gaze, and agency coexist	none	historically situated or contested		b68de444abd8e4adb922d8875b953856a213b5763ea6f6d5996e6e6ed38827d9	true
GRAM-ATT-021	GRAM-SRC-020	REL-CAND-0026	REL-CAND-0026#SENSE-A	coloniality	coloniality	coloniality and the colonial matrix of power	pp. 1-6	English		enduring modern-colonial power patterns	design knowledge, methods, institutions, and relations	designers; institutions; marginalized subjects	STRUCTURAL_NON_EDGE	no bounded before-to-after transition attested	not interchangeable with colonialism	none	historically situated or contested		6516ac98eb41f810eaf8b4e760a0cb24cd5b0a6981f02ca9638aac96803763eb	true
GRAM-ATT-022	GRAM-SRC-021	REL-CAND-0032	REL-CAND-0032#SENSE-A	imitation	imitation	history of imitation in the modern fashion industry	chapter title and abstract	English		fashion makers and manufacturers	prior designs and market examples	houses; markets; rights claimants	DIRECTED	prior fashion example -> situated imitative production	valuation changes by production regime	none	historically situated or contested		3cc2f98ea6126a31d8bedc11677068c159fb6b69281975fa3fa25f8b73416ee2	true
GRAM-ATT-023	GRAM-SRC-022	REL-CAND-0032	REL-CAND-0032#SENSE-A	imitation	imitation	imitation at the center of the creative process	title and summary	French	Publisher-supplied English summary	eighteenth-century textile makers	existing designs and production conventions	factory; artisan; market	DIRECTED	prior textile model -> imitative creative output	not the fixed opposite of innovation	none	historically situated or contested		10f89a18d7fdcbfbe156ff691b6d4af927b22542da554ddad303517f8036f0e3	true
GRAM-ATT-024	GRAM-SRC-023	REL-CAND-0033	REL-CAND-0033#SENSE-A	piracy	design piracy	The resultant ‘design piracy’ led to an unlikely coalition of politicians, printers, and textile manufacturers, who campaigned for copyright protection	Historical background, section 2A	English		printers and manufacturers accused of copying	claimed textile patterns and originators	Parliament; rights advocates; markets	DIRECTED	copying practice -> historically situated piracy allegation	legal protection and historical standards	copying was not always admitted as piracy	historically situated or contested		745e6ae6bd6efe2904cc5df7ad733a42adeda6229b271001f82bada2170e82c0	true
