candidate_id	candidate_label	descriptive_interpretive_historiographic_normative_structural	contestation_preserved	historical_shift_preserved	source_bounded_meaning_preserved	required_qualification	scope_out	normative_qualifier_loss
REL-CAND-0001	mediation	interpretive	true	true	true	which mediation sense and mediating actor are meant	generic connection, legal mediation, or any-to-any bridging	false
REL-CAND-0004	canonization	historiographic	true	true	true	selection mechanisms and exclusions must be stated	general popularity or quality ranking	false
REL-CAND-0005	professionalization	interpretive	true	true	true	professional standing is historically contested and may exclude	generic improvement, employment, or individual career advancement	false
REL-CAND-0006	institutionalization	interpretive	true	true	true	institutionalization is degree- and mechanism-specific	mere founding, popularity, or generic organizational presence	false
REL-CAND-0007	transnational interactions	interpretive	true	true	true	interaction mechanism and power relation must be explicit	transnationalism as a generic connector	false
REL-CAND-0008	cultural translation	interpretive	true	true	true	transfer, adaptation, negotiation, and transformation senses must not be collapsed	generic movement between cultures	false
REL-CAND-0009	design exchanges	interpretive	true	true	true	agency, reciprocity, and power asymmetry must be recorded	all cross-cultural contact or circulation	false
REL-CAND-0010	commodification	interpretive	true	true	true	what becomes exchangeable and by whose action must be named	all commercialization or consumption; decontextualization or branding without evidenced commodity status	false
REL-CAND-0011	gendering	interpretive	true	true	true	gender is performed and historically situated, not inherent in form	essentialist claims that objects possess fixed gender	false
REL-CAND-0012	displacement	interpretive	true	true	true	forced, material, spatial, semantic, and strategic senses must be separated	generic change or metaphorical movement	false
REL-CAND-0023	transculturation	interpretive	true	true	true	not a static import-export model	all cultural mixture, diffusion, or exchange	false
REL-CAND-0024	cultural mobility	interpretive	true	true	true	material, human, semantic, and institutional mobility must be distinguished	generic circulation or any cross-border change	false
REL-CAND-0025	self-exoticization	interpretive	true	true	true	agency, external gaze, and power asymmetry must remain explicit	all use of tradition or any non-Western motif	false
REL-CAND-0026	coloniality	structural	true	true	true	coloniality is not interchangeable with colonialism or any inequality	generic harm, all power, or a visual bridge node	false
REL-CAND-0032	imitation	interpretive	true	true	true	imitation must not be equated automatically with infringement or piracy	all influence, resemblance, appropriation, or inspiration	false
REL-CAND-0033	piracy	normative	true	true	true	authorization, ownership claim, jurisdiction, legal or market status, ethical framework, and historical standard are mandatory	generic resemblance, imitation, counterfeit, or moral condemnation	false
