candidate_id	sense_id	candidate_label	primary_technical_role	final_node_role_decision	decision_reason	new_grammar_source_ids	pass_node	ordinary_language_roles_complete	natural_language_explanation_complete
REL-CAND-0001	REL-CAND-0001#SENSE-A	mediation	UNRESOLVED_MIXED_ROLE	DEFER_TOO_BROAD	New evidence multiplies producing, consuming, algorithmic, institutional, and discursive roles; one bounded binary contract would flatten them.	GRAM-SRC-001;GRAM-SRC-002	false	true	true
REL-CAND-0004	REL-CAND-0004#SENSE-A	canonization	HISTORIOGRAPHIC_POSITIONING	PASS_HISTORIOGRAPHIC_POSITION_NODE	The new graphic-design-history chapter provides a bounded historiographic subject, target, and selection mechanism.	GRAM-SRC-003	true	true	true
REL-CAND-0005	REL-CAND-0005#SENSE-A	professionalization	DIRECTED_PROCESS	PASS_FLOW_ELIGIBLE_NODE	Independent new histories consistently identify education, organizations, standards, codes, jurisdiction, and gatekeeping as bounded mechanisms.	GRAM-SRC-004;GRAM-SRC-005;GRAM-SRC-007	true	true	true
REL-CAND-0006	REL-CAND-0006#SENSE-A	institutionalization	DIRECTED_PROCESS	PASS_FLOW_ELIGIBLE_NODE	New graphic-design and design-education histories identify agents, mechanisms, fields, and durable outcomes without an ANY role.	GRAM-SRC-005;GRAM-SRC-006	true	true	true
REL-CAND-0007	REL-CAND-0007#SENSE-A	transnational interactions	UNRESOLVED_MIXED_ROLE	DEFER_HIGH_CONNECTIVITY	The exact term spans people, organizations, ideas, exchanges, power structures, and reciprocal or asymmetric relations; unconstrained use would connect most nodes.	GRAM-SRC-008	false	true	true
REL-CAND-0008	REL-CAND-0008#SENSE-A	cultural translation	UNRESOLVED_MIXED_ROLE	DEFER_SPLIT_REQUIRED	New evidence explicitly contests one-way transfer and uses incompatible transfer, negotiation, and transformation senses; internal sense separation is required.	GRAM-SRC-010;GRAM-SRC-011;GRAM-SRC-012	false	true	true
REL-CAND-0009	REL-CAND-0009#SENSE-A	design exchanges	MULTIPARTY_ENCOUNTER	DEFER_HIGH_CONNECTIVITY	The case evidence is strong but the plural term is an umbrella for meetings, networks, exhibitions, commerce, and diplomacy; pairwise connectivity remains too broad.	GRAM-SRC-009	false	true	true
REL-CAND-0010	REL-CAND-0010#SENSE-A	commodification	DIRECTED_STATE_TRANSITION	PASS_FLOW_ELIGIBLE_NODE	Independent visual- and material-culture histories provide bounded subjects, market mechanisms, and transformed outputs.	GRAM-SRC-013;GRAM-SRC-014	true	true	true
REL-CAND-0011	REL-CAND-0011#SENSE-A	gendering	DIRECTED_PROCESS	PASS_FLOW_ELIGIBLE_NODE	The new packaging study supplies a bounded performative role contract and explicitly blocks essentialist object attributes.	GRAM-SRC-015	true	true	true
REL-CAND-0012	REL-CAND-0012#SENSE-A	displacement	UNRESOLVED_MIXED_ROLE	DEFER_SPLIT_REQUIRED	The new design-history volume intentionally pluralizes forced, spatial, material, semantic, and protest senses; one Node would collapse distinct subjects and forces.	GRAM-SRC-016	false	true	true
REL-CAND-0023	REL-CAND-0023#SENSE-A	transculturation	MULTIPARTY_ENCOUNTER	DEFER_TOO_BROAD	The new architectural case confirms multi-directionality and ongoing interaction, but one role cannot safely cover pedagogy, migration, cultural formation, and knowledge circulation.	GRAM-SRC-017	false	true	true
REL-CAND-0024	REL-CAND-0024#SENSE-A	cultural mobility	UNRESOLVED_MIXED_ROLE	DEFER_SPLIT_REQUIRED	The manifesto deliberately spans colonization, exile, emigration, wandering, contamination, and random events; a single relation role would become universal.	GRAM-SRC-018	false	true	true
REL-CAND-0025	REL-CAND-0025#SENSE-A	self-exoticization	REFLEXIVE_PROCESS	PASS_REFLEXIVE_NODE	The new Korean fashion study explicitly defines the strategy, actor, selected design elements, and anticipated audience while retaining its contested power relation.	GRAM-SRC-019	true	true	true
REL-CAND-0026	REL-CAND-0026#SENSE-A	coloniality	STRUCTURAL_CONDITION	DEFER_HIGH_CONNECTIVITY	The new decolonial design source supports a structural field condition, but its world-scale reach would qualify most nodes; the universal-node gate therefore defers it.	GRAM-SRC-020	false	true	true
REL-CAND-0032	REL-CAND-0032#SENSE-A	imitation	DIRECTED_PROCESS	PASS_FLOW_ELIGIBLE_NODE	Independent fashion histories give imitation a bounded source/imitator structure while demonstrating that its valuation changes by production regime.	GRAM-SRC-021;GRAM-SRC-022	true	true	true
REL-CAND-0033	REL-CAND-0033#SENSE-A	piracy	NORMATIVELY_QUALIFIED_RELATION	PASS_NORMATIVE_RELATION_NODE	Independent historical studies define actors and governance mechanisms while showing that piracy depends on legal, market, and ethical qualification.	GRAM-SRC-023;GRAM-SRC-024	true	true	true
