record_type	source_candidate_id	target_candidate_id	decision	plain_language_explanation	research_question_example	conceptual_field_example	non_object_example	non_circular	explanation_verified
NODE	REL-CAND-0001		DEFER_TOO_BROAD	Mediation names how a specified intermediary, channel, or designed form shapes an encounter between production or prior meaning and reception; it remains deferred because sources assign incompatible mediating roles.	How did a named exhibition, publication, or digital channel reshape relations among producers, intermediaries, and audiences in the cited period?	Represent a named channel between producers and audiences only after its mediating function and parties are identified; otherwise retain the term as deferred.	true	true	true
NODE	REL-CAND-0004		PASS_HISTORIOGRAPHIC_POSITION_NODE	Canonization positions a work, movement, representation, or narrative within a design-historical canon through documented selection or exclusion by historians, publishers, exhibitions, or education.	How did specified historians, schools, exhibitions, or publishers select and exclude movements when forming a national graphic-design canon?	Represent selection into a bounded historiographic canon while preserving the selecting institutions and documented exclusions.	true	true	true
NODE	REL-CAND-0005		PASS_FLOW_ELIGIBLE_NODE	Professionalization forms a named design occupation or practice into historically contested professional standing through education, organizations, standards, accreditation, jurisdiction, or gatekeeping.	How did education, associations, standards, and jurisdiction change the standing of a named design occupation in a specified period?	Represent occupational formation through named education, association, standard, or jurisdiction mechanisms without equating it with institutionalization.	true	true	true
NODE	REL-CAND-0006		PASS_FLOW_ELIGIBLE_NODE	Institutionalization embeds and reproduces a named design practice or logic as a durable arrangement in a specified organization or field through identified carriers and mechanisms.	Through which named organizations and carriers did a design practice become durably embedded in education or professional administration?	Represent durable embedding in a named institution or field without treating mere founding or popularity as sufficient.	true	true	true
NODE	REL-CAND-0007		DEFER_HIGH_CONNECTIVITY	Transnational interactions names relations among identified actors or institutions across named national settings; it remains deferred because mechanism, direction, reciprocity, and power vary by case.	Which actors crossed which national boundary, through what mechanism, and with what reciprocal or asymmetric effect on design activity?	Retain a cross-border encounter as a deferred multiparty relation until its mechanism, endpoints, reciprocity, and power relation are explicit.	true	true	true
NODE	REL-CAND-0008		DEFER_SPLIT_REQUIRED	Cultural translation names source-specific transfer, interpretation, adaptation, negotiation, or transformation of cultural forms between situated communities; it remains deferred until these senses are separated.	Did a named cultural form undergo transfer, adaptation, negotiation, or transformation in the receiving design setting, and who interpreted it?	Retain transfer, adaptation, negotiation, and transformation as separate inactive research senses rather than one arrow.	true	true	true
NODE	REL-CAND-0009		DEFER_HIGH_CONNECTIVITY	Design exchanges names a documented multiparty encounter among specified designers, institutions, exhibitions, networks, governments, or markets; it remains deferred because the umbrella term supplies no single bounded relation.	Which institutions, networks, and political or market conditions structured a documented design exchange between two named scenes?	Retain a documented exchange as multiparty evidence without inferring equal reciprocity or a generic cross-cultural edge.	true	true	true
NODE	REL-CAND-0010		PASS_FLOW_ELIGIBLE_NODE	Commodification transforms a situated image, material, practice, history, or capacity into an exchangeable or market-valued commodity form through named market mechanisms and actors.	By what historical market mechanism did a specified cultural form acquire exchangeable or market-valued commodity status?	Represent a transition into exchangeable or market-valued status only when the changed status and market actors are evidenced.	true	true	true
NODE	REL-CAND-0011		PASS_FLOW_ELIGIBLE_NODE	Gendering is the historically situated process through which design produces gender-coded meanings, uses, roles, or subject positions; gender is not inherent in form.	How did a named design discourse or institution produce gender-coded meanings and subject positions in a specified medium and audience?	Represent historically produced gender coding while blocking any claim that gender is inherent in visual or material form.	true	true	true
NODE	REL-CAND-0012		DEFER_SPLIT_REQUIRED	Displacement remains deferred because scholarship uses it for forced human movement, material relocation, spatial transfer, semantic reframing, and strategic resistance, which require separate role contracts.	Does the cited history describe forced human movement, material relocation, spatial transfer, semantic reframing, or strategic resistance?	Record the specific displaced entity, force, origin, destination or changed condition; do not collapse its distinct senses.	true	true	true
NODE	REL-CAND-0023		DEFER_TOO_BROAD	Transculturation describes multidirectional, continuing negotiation through which cultural knowledge or practices are reconstituted among unequal communities and institutions; it remains deferred because participant and output types vary.	How were design concepts reconstituted through multidirectional contact among named communities and institutions under unequal power?	Record named communities, institutions, contact conditions, and unequal power while retaining the relation as deferred and multiparty.	true	true	true
NODE	REL-CAND-0024		DEFER_SPLIT_REQUIRED	Cultural mobility remains deferred because sources apply it to different moving entities, carriers, routes, and outcomes, including exile, circulation, contamination, and semantic change.	What moved, who or what carried it, along which route and infrastructure, and how did its situated cultural meaning change?	Record carrier, route, infrastructure, moved entity, and meaning outcome separately; do not authorize a generic mobility bridge.	true	true	true
NODE	REL-CAND-0025		PASS_REFLEXIVE_NODE	Self-exoticization is a reflexive strategy in which an actor constructs its culturally marked self-representation for an external or anticipated gaze; representation, audience, and power asymmetry are mandatory.	How did a named design culture construct a culturally marked self-image for an anticipated external audience, and with what power asymmetry?	Represent actor, culturally marked self-representation, and anticipated gaze as distinct roles without authorizing a self-loop.	true	true	true
NODE	REL-CAND-0026		DEFER_HIGH_CONNECTIVITY	Coloniality is the historically reproduced modern-colonial power pattern conditioning design knowledge, institutions, methods, categories, and relations; it is a structural qualifier, not an edge.	Which persistent modern-colonial power pattern conditioned a named design institution, knowledge practice, or category across the cited period?	Attach a source-bounded structural qualifier to the interpreted field; never render coloniality as an ordinary connecting edge.	true	true	true
NODE	REL-CAND-0032		PASS_FLOW_ELIGIBLE_NODE	Imitation is a directed copying process in which a maker or practice draws from a named prior design, technique, form, or production example; it does not imply infringement or piracy.	Which maker or practice took which prior design or technique as a model, and how was that copying evaluated in the cited production regime?	Represent maker-to-model use with a separate resulting practice and evaluation, while blocking automatic inference to piracy.	true	true	true
