candidate_id	candidate_label	arity	subject_role	target_role	additional_party_roles	input_state	output_state	required_context	required_qualification	scope_in	scope_out	contains_any_role	empty_role_count	source_support_ids
REL-CAND-0001	mediation	MULTIPARTY	producer, mediator, channel, designed thing, or prior meaning in the cited design-historical account	consumer, audience, practice, or received meaning in that same account	designed channel; institution; audience	a situated production-consumption configuration	a changed encounter, practice, or meaning	a named mediation channel and historical setting	which mediation sense and mediating actor are meant	source-bounded production-consumption mediation	generic connection, legal mediation, or any-to-any bridging	false	0	GRAM-SRC-001;GRAM-SRC-002
REL-CAND-0004	canonization	2	a work, movement, representation, or historical narrative selected for canonical status	a bounded design-historical canon or canonical status	historians; publishers; exhibitions; educational institutions	contested historical material outside or unevenly positioned in a canon	greater canonical recognition or documented exclusion	an identified historiographic corpus and period	selection mechanisms and exclusions must be stated	design-historical canon formation	general popularity or quality ranking	false	0	GRAM-SRC-003
REL-CAND-0005	professionalization	2	a named design occupation or disciplinary practice seeking professional standing	historically contested professional standing in a named field	educators; professional bodies; clients; regulators	a cited occupation or practice undergoing professional formation	a historically specific professional identity, status, or apparatus	named field, jurisdiction, period, and professional mechanisms	professional standing is historically contested and may exclude	historical formation of design professions	generic improvement, employment, or individual career advancement	false	0	GRAM-SRC-004;GRAM-SRC-005;GRAM-SRC-007
REL-CAND-0006	institutionalization	2	a named design logic, program, practice, or discipline carried by identified agents	a specified organization, field, or durable institutional arrangement	educational institutions; professional agents; associations	a cited practice or logic undergoing institutional embedding	a durable, legitimate, or reproduced institutional arrangement	named institution or field and identified carriers	institutionalization is degree- and mechanism-specific	historical embedding and reproduction of design practices	mere founding, popularity, or generic organizational presence	false	0	GRAM-SRC-005;GRAM-SRC-006
REL-CAND-0007	transnational interactions	MULTIPARTY	actors, organizations, practices, ideas, or institutions crossing named national settings	other actors, organizations, practices, ideas, or institutions in those settings	states; professional bodies; intermediaries; networks	separated but historically connected national settings	exchange, influence, friction, or network formation depending on the case	named parties, borders, institutions, and period	interaction mechanism and power relation must be explicit	case-specific cross-border design-historical interaction	transnationalism as a generic connector	false	0	GRAM-SRC-008
REL-CAND-0008	cultural translation	2+	a cultural form, concept, practice, text, or translating agent in a named contact setting	a receiving cultural setting, interpretive community, or transformed form	translator; source community; receiving community	a culturally situated form or meaning	an adapted, negotiated, or reconstituted meaning	named cultures, agents, medium, power relation, and period	transfer, adaptation, negotiation, and transformation senses must not be collapsed	source-bounded designed-landscape and historical translation	generic movement between cultures	false	0	GRAM-SRC-010;GRAM-SRC-011;GRAM-SRC-012
REL-CAND-0009	design exchanges	MULTIPARTY	identified designers, institutions, exhibitions, or design communities participating in an exchange	the counterpart participants and situated design practices in that exchange	professional networks; governments; exhibitions; markets	participants and practices brought into a named exchange	meetings, encounters, negotiations, or circulation outcomes	named participants, venue, political setting, and exchange mechanism	agency, reciprocity, and power asymmetry must be recorded	case-specific organized design exchange	all cross-cultural contact or circulation	false	0	GRAM-SRC-009
REL-CAND-0010	commodification	2	a situated image, material, practice, history, or imaginative capacity made exchangeable	an exchangeable or market-valued commodity form	producers; market intermediaries; consumers	a situated cultural or material form not yet organized as the cited commodity	an exchangeable or market-valued commodity form	named market mechanism and historical setting	what becomes exchangeable and by whose action must be named	historically evidenced market transformation	all commercialization or consumption; decontextualization or branding without evidenced commodity status	false	0	GRAM-SRC-013;GRAM-SRC-014
REL-CAND-0011	gendering	2	a design language, object, space, practice, role, or representation under analysis	a historically situated gender category, expectation, or subject position	designers; marketers; institutions; audiences	a material or representational arrangement	a gender-coded meaning, use, role, or position	named design medium, audience, and gender regime	gender is performed and historically situated, not inherent in form	source-attested gender coding through design	essentialist claims that objects possess fixed gender	false	0	GRAM-SRC-015
REL-CAND-0012	displacement	2+	people, practices, objects, images, energy systems, or meanings in a specified displacement account	a changed place, position, context, or condition	state; empire; institution; migrant community	a situated prior place, context, or relation	forced movement, object relocation, conceptual reframing, or resistance depending on sense	named displaced entity, force, place, and period	forced, material, spatial, semantic, and strategic senses must be separated	explicit design-and-displacement histories	generic change or metaphorical movement	false	0	GRAM-SRC-016
REL-CAND-0023	transculturation	MULTIPARTY	a cultural concept, practice, or knowledge system entering a contact process	locally negotiated cultural knowledge or practice	source communities; receiving communities; institutions; translators	contact among historically unequal cultural formations	multi-directional and continuing negotiation or reconstitution	named parties, locality, knowledge form, and period	not a static import-export model	case-specific architectural and design knowledge circulation	all cultural mixture, diffusion, or exchange	false	0	GRAM-SRC-017
REL-CAND-0024	cultural mobility	MULTIPARTY	people, forms, meanings, practices, or institutions moving in a specified cultural account	destinations, networks, or transformed contexts of that movement	carriers; infrastructures; border regimes; audiences	a culturally situated actor or form	movement, contamination, exile, circulation, or transformed meaning depending on sense	named carrier, infrastructure, route, and period	material, human, semantic, and institutional mobility must be distinguished	source-bounded cultural-mobility analysis	generic circulation or any cross-border change	false	0	GRAM-SRC-018
REL-CAND-0025	self-exoticization	3	a designer, design community, institution, or national design discourse constructing its own cultural identity	that actor's culturally marked self-representation	external expectation, gaze, or anticipated audience	the actor's own cultural repertoire under external or internal expectations	a strategically selected self-representation emphasizing difference	named actor, audience, market, and cultural signs	agency, external gaze, and power asymmetry must remain explicit	source-attested strategic design self-presentation	all use of tradition or any non-Western motif	false	0	GRAM-SRC-019
REL-CAND-0026	coloniality	STRUCTURAL	a historically constituted pattern of colonial power reproduced through design knowledge or practice	design institutions, methods, categories, or relations shaped by that pattern	institutions; knowledge systems; racialized and gendered subjects	ongoing modern/colonial relations	reproduced hierarchies and normalized design forms	named colonial relation, design field, geography, and knowledge practice	coloniality is not interchangeable with colonialism or any inequality	decolonial design analysis of enduring power patterns	generic harm, all power, or a visual bridge node	false	0	GRAM-SRC-020
REL-CAND-0032	imitation	2	a maker, manufacturer, or design practice drawing from an identified prior design	the prior design, technique, form, or market example being imitated	workshop; market; rights claimant; consumer	an existing design or production example	a historically situated derivative design or production practice	named source, imitator, production regime, and period	imitation must not be equated automatically with infringement or piracy	source-attested copying within design production	all influence, resemblance, appropriation, or inspiration	false	0	GRAM-SRC-021;GRAM-SRC-022
REL-CAND-0033	piracy	3+	an alleged copier, manufacturer, seller, or organized copying practice	a source or copied design, or a protected design interest	originator; rights claimant; regulator; court; trade body	a copying relation evaluated under a historical norm or legal-market regime	an allegation or historically situated classification of unauthorized copying	named jurisdiction, period, claimant, and protection regime	authorization, ownership claim, jurisdiction, legal or market status, ethical framework, and historical standard are mandatory	source-attested design-piracy claims and regulation	generic resemblance, imitation, counterfeit, or moral condemnation	false	0	GRAM-SRC-023;GRAM-SRC-024
