source_id	authors	year	title	publication	source_class	peer_reviewed	publisher	doi_isbn	stable_publisher_url	source_language	published_translation	source_stratum	new_for_round10	metadata_verified	discovery_batch
GRAM-SRC-001	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Journal of Design History	ARTICLE	true	Oxford University Press	10.1093/jdh/epag001	https://academic.oup.com/jdh/article/39/2/113/8537083	English		DESIGN_HISTORIOGRAPHY	true	true	BATCH-01
GRAM-SRC-002	Piotr Korduba	2021	Między monografią a koneserstwem. Badania nad polskim dizajnem XX i początków XXI wieku	Artium Quaestiones	ARTICLE	true	Adam Mickiewicz University Press	10.14746/aq.2021.32.1	https://pressto.amu.edu.pl/index.php/aq/article/view/32548	Polish	Publisher-supplied English abstract	NON_ENGLISH_DESIGN_HISTORIOGRAPHY	true	true	BATCH-04
GRAM-SRC-003	Robert Lzicar; Amanda Unger	2016	Designed Histories: Visual Historiography and Canonization in Swiss Graphic Design History	Mapping Graphic Design History in Switzerland	BOOK_CHAPTER	unknown	Triest	978-3-03863-009-8	https://arbor.bfh.ch/handle/arbor/37952	English		GRAPHIC_DESIGN_HISTORIOGRAPHY	true	true	BATCH-01
GRAM-SRC-004	Leah Armstrong	2019	A New Image for a New Profession: Self-Image and Representation in the Professionalization of Design in Britain, 1945-1960	Journal of Consumer Culture	ARTICLE	true	SAGE	10.1177/1469540517708830	https://journals.sagepub.com/doi/10.1177/1469540517708830	English		GRAPHIC_DESIGN_PROFESSIONAL_HISTORY	true	true	BATCH-01
GRAM-SRC-005	Turid Moldenæs; Hilde Marie Pettersen	2021	The professional project of graphic designers and universities' visual identities	Journal of Professions and Organization	ARTICLE	true	Oxford University Press	10.1093/jpo/joab010	https://academic.oup.com/jpo/article/8/2/184/6324046	English		PROFESSIONAL_INSTITUTIONAL_HISTORY	true	true	BATCH-02
GRAM-SRC-006	Ali O. Ilhan	2017	Growth or Decline? A Longitudinal Analysis of Factors Affecting the Institutional Trajectories of Five Design Disciplines in the United States	She Ji: The Journal of Design, Economics, and Innovation	ARTICLE	true	Tongji University Press / Elsevier	10.1016/j.sheji.2017.04.001	https://www.sciencedirect.com/science/article/pii/S2405872616300983	English		PROFESSIONAL_INSTITUTIONAL_HISTORY	true	true	BATCH-02
GRAM-SRC-007	Grace Lees-Maffei	2025	Recent histories of the professionalization of interior design: from gatekeeping to inclusion	Interiors	ARTICLE	true	Taylor & Francis	10.1080/20419112.2025.2551445	https://www.tandfonline.com/doi/full/10.1080/20419112.2025.2551445	English		GENDER_PROFESSIONAL_HISTORY	true	true	BATCH-02
GRAM-SRC-008	Paolo Scrivano	2021	The Complexity of Cultural Exchange: Anglo-Italian Relations in Architecture between Transnational Interactions and National Narratives	Postwar Architecture between Italy and the UK	BOOK_CHAPTER	unknown	UCL Press	9781800080836	https://re.public.polimi.it/handle/11311/1182602	English		GLOBAL_TRANSNATIONAL_DESIGN_HISTORY	true	true	BATCH-03
GRAM-SRC-009	Katarina Serulus	2017	Well-Designed Relations: Cold War Design Exchanges between Brussels and Moscow in the Early 1970s	Design and Culture	ARTICLE	true	Taylor & Francis	10.1080/17547075.2017.1326231	https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1326231	English		GLOBAL_TRANSNATIONAL_DESIGN_HISTORY	true	true	BATCH-03
GRAM-SRC-010	Boris Buden; Stefan Nowotny; Sherry Simon; Ashok Bery; Michael Cronin	2009	Cultural translation: An introduction to the problem, and Responses	Translation Studies	ARTICLE	true	Taylor & Francis	10.1080/14781700902937730	https://www.tandfonline.com/doi/full/10.1080/14781700902937730	English		TRANSLATION_STUDIES	true	true	BATCH-03
GRAM-SRC-011	Peter Burke	2007	Cultures of translation in early modern Europe	Cultural Translation in Early Modern Europe	BOOK_CHAPTER	unknown	Cambridge University Press	10.1017/CBO9780511497193.002	https://www.cambridge.org/core/books/abs/cultural-translation-in-early-modern-europe/cultures-of-translation-in-early-modern-europe/B9342283A22BFD6B066CEAB695DB572A	English		TRANSLATION_HISTORY	true	true	BATCH-03
GRAM-SRC-012	Ze-Rui Xiang; Miao Li; Yong-Meng Wu; Xiao-Fei Xu; Fan Zhang; Xiao Zhao	2025	Cultural Product Design: An Approach for Identifying Cultural Carriers, Transforming Cultural Elements and Applying Cultural Features	Design Science	ARTICLE	true	Cambridge University Press	10.1017/dsj.2025.10031	https://www.cambridge.org/core/journals/design-science/article/cultural-product-design-an-approach-for-identifying-cultural-carriers-transforming-cultural-elements-and-applying-cultural-features/1F0FD01E3314DE8D3B173257AA422726	English		CULTURAL_TRANSLATION_DESIGN_RESEARCH	true	true	BATCH-03
GRAM-SRC-013	Estelle Blaschke	2014	Making History a Slightly Profitable Thing: The Bettmann Archive and the Commodification of Images	Visual Resources	ARTICLE	true	Taylor & Francis	10.1080/01973762.2014.936101	https://www.tandfonline.com/doi/abs/10.1080/01973762.2014.936101	English		VISUAL_CULTURE_MARKET_HISTORY	true	true	BATCH-02
GRAM-SRC-014	Annebella Pollen	2011	Performing Spectacular Girlhood: Mass-Produced Dressing-Up Costumes and the Commodification of Imagination	Textile History	ARTICLE	true	Taylor & Francis	10.1179/174329511X13123634653820	https://www.tandfonline.com/doi/full/10.1179/174329511X13123634653820	English		GENDER_MATERIAL_CULTURE	true	true	BATCH-02
GRAM-SRC-015	Magdalena Petersson McIntyre	2018	Gender by Design: Performativity and Consumer Packaging	Design and Culture	ARTICLE	true	Taylor & Francis	10.1080/17547075.2018.1516437	https://www.tandfonline.com/doi/pdf/10.1080/17547075.2018.1516437	English		GENDER_FEMINIST_DESIGN	true	true	BATCH-02
GRAM-SRC-016	Sarah A. Lichtman; Jilly Traganou	2024	Design, Displacement, Migration: Spatial and Material Histories	Routledge Research in Design History	EDITED_BOOK	unknown	Routledge	10.4324/9781003194293	https://www.routledge.com/Design-Displacement-Migration-Spatial-and-Material-Histories/Lichtman-Traganou/p/book/9781003194293	English		MIGRATION_DISPLACEMENT_DESIGN_HISTORY	true	true	BATCH-03
GRAM-SRC-017	Wenwen Sun	2020	Public space in Chinese urban design theory after 1978: a compressed transculturation	The Journal of Architecture	ARTICLE	true	Taylor & Francis	10.1080/13602365.2020.1734048	https://repository.tudelft.nl/record/uuid:9f03fa61-1501-4d81-9c11-a1a191797752	English	Discusses Chinese-language source corpus	EAST_ASIAN_ARCHITECTURAL_HISTORY	true	true	BATCH-04
GRAM-SRC-018	Stephen Greenblatt; Ines G. Županov; Reinhard Meyer-Kalkus; Heike Paul; Pál Nyíri; Friederike Pannewick	2009	Cultural Mobility: A Manifesto	Cultural Mobility: A Manifesto	EDITED_BOOK	unknown	Cambridge University Press	9780521682206	https://stephengreenblatt.scholars.harvard.edu/cultural-mobility-manifesto	English		CULTURAL_MOBILITY_STUDIES	true	true	BATCH-03
GRAM-SRC-019	Yoo Jin Kwon; Yhe-Young Lee	2015	Traditional Aesthetic Characteristics Traced in South Korean Contemporary Fashion Practice	Fashion Practice	ARTICLE	true	Taylor & Francis	10.1080/17569370.2015.1045348	https://www.tandfonline.com/doi/abs/10.1080/17569370.2015.1045348	English	Engages Korean-language scholarship	EAST_ASIAN_FASHION_HISTORY	true	true	BATCH-04
GRAM-SRC-020	Tristan Schultz; Danah Abdulla; Ahmed Ansari; Ece Canlı; Mahmoud Keshavarz; Matthew Kiem; Luiza Prado de O. Martins; Pedro J.S. Vieira de Oliveira	2018	Editors' Introduction	Design and Culture	EDITORIAL_ARTICLE	unknown	Taylor & Francis	10.1080/17547075.2018.1434367	https://www.tandfonline.com/doi/full/10.1080/17547075.2018.1434367	English		DECOLONIAL_POSTCOLONIAL_DESIGN	true	true	BATCH-04
GRAM-SRC-021	Marlena Jankowska	2023	House of sartorial genius? History of imitation in the modern fashion industry	Intellectual Property Rights, Copynorm and the Fashion Industry	BOOK_CHAPTER	unknown	Routledge	10.4324/9781003376033-2	https://www.taylorfrancis.com/chapters/oa-mono/10.4324/9781003376033-2/house-sartorial-genius-history-imitation-modern-fashion-industry-marlena-jankowska	English		COPYING_RIGHTS_MARKETS	true	true	BATCH-05
GRAM-SRC-022	Audrey Millet	2013	Dessiner La Mode En Régime De Fabrique: L'imitation Au Cœur Du Processus Créatif	Konsthistorisk tidskrift / Journal of Art History	ARTICLE	true	Taylor & Francis	10.1080/00233609.2013.809017	https://www.tandfonline.com/doi/full/10.1080/00233609.2013.809017	French	Publisher-supplied English summary	NON_ENGLISH_FASHION_HISTORY	true	true	BATCH-04
GRAM-SRC-023	Alice Wickens	2025	From calico to catwalk: Addressing the UK's enduring issue of fashion piracy	Journal of Intellectual Property Law & Practice	ARTICLE	true	Oxford University Press	10.1093/jiplp/jpae107	https://academic.oup.com/jiplp/article/20/2/71/7916754	English		COPYING_RIGHTS_MARKETS	true	true	BATCH-05
GRAM-SRC-024	Sara B. Marcketti; Jean L. Parsons	2006	Design Piracy and Self-Regulation: The Fashion Originators' Guild of America, 1932-1941	Clothing and Textiles Research Journal	ARTICLE	true	SAGE	10.1177/0887302X06293071	https://journals.sagepub.com/doi/10.1177/0887302X06293071	English		COPYING_RIGHTS_MARKETS	true	true	BATCH-05
GRAM-SRC-025	Mike Bresnen	2013	Advancing a new professionalism: professionalization, practice and institutionalization	Building Research & Information	COMMENTARY	unknown	Taylor & Francis	10.1080/09613218.2013.843269	https://www.tandfonline.com/doi/full/10.1080/09613218.2013.843269	English		PROFESSIONAL_INSTITUTIONAL_COMPOSITION_CHALLENGE	true	true	BATCH-06
GRAM-SRC-026	Emma Waight	2019	Mother, consumer, trader: gendering the commodification of second-hand economies since the recession	Journal of Consumer Culture	ARTICLE	true	SAGE	10.1177/1469540519872069	https://journals.sagepub.com/doi/10.1177/1469540519872069	English		GENDER_MARKET_COMPOSITION_CHALLENGE	true	true	BATCH-06
GRAM-SRC-027	Areti T. Vogel; Jacob Vogel; Kittichai Watchravesringkan; Sasikarn Chatvijit Cook; James Beasley; Randall Croom; Dale Peterson; Joshua Finkelstein	2023	Design piracy: an interdisciplinary investigation into competitive industrial behavior	Journal of Business Research	ARTICLE	true	Elsevier	10.1016/j.jbusres.2023.113946	https://www.sciencedirect.com/science/article/pii/S0148296323003041	English		COPYING_COMPOSITION_CHALLENGE	true	true	BATCH-06
GRAM-SRC-028	Gino Cattani; Mariachiara Colucci; Simone Ferriani	2023	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	Enterprise & Society	ARTICLE	true	Cambridge University Press	10.1017/eso.2021.58	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/F9C3C4631A1971D2A18A6A468308F1AA	English		FASHION_BUSINESS_HISTORY_COMPOSITION_CHALLENGE	true	true	BATCH-06
