source_candidate_id	source_label	target_candidate_id	target_label	ordered_pair_key	decision	grammar_attestation_ids	explicit_role_mapping	directionality	qualification_scope_out_complete	natural_language_explanation_complete	semantic_review_status	adversarial_review_status	universal_node_review_status	decision_reason
REL-CAND-0001	mediation	REL-CAND-0001	mediation	REL-CAND-0001->REL-CAND-0001	REJECT_SELF_RELATION		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No source-attested self-loop with bounded scope; reflexive wording does not authorize a visual loop.
REL-CAND-0001	mediation	REL-CAND-0004	canonization	REL-CAND-0001->REL-CAND-0004	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
REL-CAND-0001	mediation	REL-CAND-0005	professionalization	REL-CAND-0001->REL-CAND-0005	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
REL-CAND-0001	mediation	REL-CAND-0006	institutionalization	REL-CAND-0001->REL-CAND-0006	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
REL-CAND-0001	mediation	REL-CAND-0007	transnational interactions	REL-CAND-0001->REL-CAND-0007	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
REL-CAND-0001	mediation	REL-CAND-0008	cultural translation	REL-CAND-0001->REL-CAND-0008	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
REL-CAND-0001	mediation	REL-CAND-0009	design exchanges	REL-CAND-0001->REL-CAND-0009	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
REL-CAND-0001	mediation	REL-CAND-0010	commodification	REL-CAND-0001->REL-CAND-0010	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
REL-CAND-0001	mediation	REL-CAND-0011	gendering	REL-CAND-0001->REL-CAND-0011	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
REL-CAND-0001	mediation	REL-CAND-0012	displacement	REL-CAND-0001->REL-CAND-0012	UNSUPPORTED_DEFAULT_DENY		not_applicable	not_authorized	true	true	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	PASS_REVIEW_COMPLETE	No pair-specific composition evidence meeting the two-source hard gate.
