candidate_id	candidate_label	neighbor_terms_reviewed	explicit_distinction_terms	explicit_distinction	source_attestation_ids	synonym_merge_performed	sense_collapse_performed	process_condition_distinction_preserved	normative_distinction_preserved	historical_shift_preserved	semantic_flattening_found	review_note
REL-CAND-0001	mediation	all 15 other inputs	all other inputs	A source-bounded mediating channel or actor is not a generic connection among all processes.	GRAM-ATT-001;GRAM-ATT-002	false	false	true	true	true	false	mediation remains an independent Round 9 sense; generic connection, legal mediation, or any-to-any bridging
REL-CAND-0004	canonization	all 15 other inputs	professionalization;institutionalization	Historiographic selection is distinct from occupational formation and durable organizational embedding.	GRAM-ATT-003;GRAM-ATT-004;GRAM-ATT-006	false	false	true	true	true	false	canonization remains an independent Round 9 sense; general popularity or quality ranking
REL-CAND-0005	professionalization	all 15 other inputs	canonization;institutionalization	Occupational formation is distinct from historiographic selection and durable organizational embedding.	GRAM-ATT-003;GRAM-ATT-004;GRAM-ATT-006	false	false	true	true	true	false	professionalization remains an independent Round 9 sense; generic improvement, employment, or individual career advancement
REL-CAND-0006	institutionalization	all 15 other inputs	canonization;professionalization	Durable organizational embedding is distinct from historiographic selection and occupational formation.	GRAM-ATT-003;GRAM-ATT-004;GRAM-ATT-006	false	false	true	true	true	false	institutionalization remains an independent Round 9 sense; mere founding, popularity, or generic organizational presence
REL-CAND-0007	transnational interactions	all 15 other inputs	design exchanges	A cross-national relation umbrella is not identical to an organized exchange encounter.	GRAM-ATT-009;GRAM-ATT-010	false	false	true	true	true	false	transnational interactions remains an independent Round 9 sense; transnationalism as a generic connector
REL-CAND-0008	cultural translation	all 15 other inputs	transculturation	Translation and interpretation senses are distinct from multidirectional continuing reconstitution.	GRAM-ATT-011;GRAM-ATT-012;GRAM-ATT-013;GRAM-ATT-018	false	false	true	true	true	false	cultural translation remains an independent Round 9 sense; generic movement between cultures
REL-CAND-0009	design exchanges	all 15 other inputs	transnational interactions	An organized exchange encounter is not identical to all cross-national relations.	GRAM-ATT-009;GRAM-ATT-010	false	false	true	true	true	false	design exchanges remains an independent Round 9 sense; all cross-cultural contact or circulation
REL-CAND-0010	commodification	all 15 other inputs	gendering	Market transformation is distinct from historically situated gender coding.	GRAM-ATT-014;GRAM-ATT-015;GRAM-ATT-016	false	false	true	true	true	false	commodification remains an independent Round 9 sense; all commercialization or consumption; decontextualization or branding without evidenced commodity status
REL-CAND-0011	gendering	all 15 other inputs	commodification;self-exoticization	Gender coding is distinct from market transformation and reflexive cultural self-presentation.	GRAM-ATT-014;GRAM-ATT-016;GRAM-ATT-020	false	false	true	true	true	false	gendering remains an independent Round 9 sense; essentialist claims that objects possess fixed gender
REL-CAND-0012	displacement	all 15 other inputs	cultural mobility	Forced or positional change is distinct from the broader movement and circulation family.	GRAM-ATT-017;GRAM-ATT-019	false	false	true	true	true	false	displacement remains an independent Round 9 sense; generic change or metaphorical movement
REL-CAND-0023	transculturation	all 15 other inputs	cultural translation	Multidirectional continuing reconstitution is distinct from translation and interpretation senses.	GRAM-ATT-011;GRAM-ATT-012;GRAM-ATT-013;GRAM-ATT-018	false	false	true	true	true	false	transculturation remains an independent Round 9 sense; all cultural mixture, diffusion, or exchange
REL-CAND-0024	cultural mobility	all 15 other inputs	displacement	Broad movement and circulation are distinct from forced or positional change.	GRAM-ATT-017;GRAM-ATT-019	false	false	true	true	true	false	cultural mobility remains an independent Round 9 sense; generic circulation or any cross-border change
REL-CAND-0025	self-exoticization	all 15 other inputs	gendering	Reflexive cultural self-presentation to a gaze is distinct from the production of gendered meaning.	GRAM-ATT-016;GRAM-ATT-020	false	false	true	true	true	false	self-exoticization remains an independent Round 9 sense; all use of tradition or any non-Western motif
REL-CAND-0026	coloniality	all 15 other inputs	all directed processes	A persistent historical structure is not a directed process or bridge edge.	GRAM-ATT-021	false	false	true	true	true	false	coloniality remains an independent Round 9 sense; generic harm, all power, or a visual bridge node
REL-CAND-0032	imitation	all 15 other inputs	piracy	A copying practice is distinct from a normatively qualified piracy allegation or classification.	GRAM-ATT-022;GRAM-ATT-023;GRAM-ATT-024;GRAM-ATT-025	false	false	true	true	true	false	imitation remains an independent Round 9 sense; all influence, resemblance, appropriation, or inspiration
REL-CAND-0033	piracy	all 15 other inputs	imitation	A normatively qualified piracy allegation or classification is distinct from copying practice alone.	GRAM-ATT-022;GRAM-ATT-023;GRAM-ATT-024;GRAM-ATT-025	false	false	true	true	true	false	piracy remains an independent Round 9 sense; generic resemblance, imitation, counterfeit, or moral condemnation
