source_id	title	author_or_institution	year	url_or_doi	accessed_at	source_category	specific_support
SR01	Digital Humanities at the Intersection of Three Approaches to Data Visualisation	Aida Horani Ibanez	2024	https://doi.org/10.5281/zenodo.14169050	2026-08-16	peer_reviewed	DH combines interpretation with computational/statistical tools and visualisation.
SR02	Communicating Uncertainty in Digital Humanities Visualization Research	Panagiotidou et al.	2023	https://doi.org/10.1109/TVCG.2022.3209436	2026-08-16	peer_reviewed	DH visualisation must expose multiple forms of uncertainty.
SR03	Definition of CRMinf 1.1	CIDOC CRM SIG	2024	https://cidoc-crm.org/sites/default/files/CRMinf%20v1.1%20%282024.12.09%29.pdf	2026-08-16	official_standard	Argumentation documentation permits reassessment and does not automate scholarship.
SR04	Web Annotation Data Model	W3C Web Annotation Working Group	2017	https://www.w3.org/TR/annotation-model/	2026-08-16	W3C_Recommendation	Separates bodies targets motivations agents and selectors.
SR05	Charter on the Preservation of Digital Heritage	UNESCO	2003	https://www.unesco.org/en/legal-affairs/charter-preservation-digital-heritage	2026-08-16	intergovernmental_standard	Accountable selection, lifecycle maintenance and access/rights balance.
SR06	Original Order in Digital Archives	Jane Zhang	2012	https://archivaria.ca/index.php/archivaria/article/view/13410	2026-08-16	peer_reviewed	Digital archival structures require careful representation.
SR07	FAIR Guiding Principles	Wilkinson et al.	2016	https://doi.org/10.1038/sdata.2016.18	2026-08-16	peer_reviewed	Identifiers, provenance and clear reuse conditions are stewardship practice.
SR08	PROV-DM: The PROV Data Model	W3C Provenance Working Group	2013	https://www.w3.org/TR/prov-dm/	2026-08-16	W3C_Recommendation	Entity Activity Agent provenance distinction.
SR09	Presentation API 3.0	IIIF Consortium	2020	https://iiif.io/api/presentation/3.0/	2026-08-16	official_specification	Presentation is not permission or a discovery/harvesting substitute.
SR10	Linked Art Data Model 1.0	Linked Art Editorial Board	2026	https://linked.art/model/	2026-08-16	official_specification	Small interoperable art-data vocabulary; granular provenance/uncertainty out of scope.
SR11	Collections API Guide	Victoria and Albert Museum	2021	https://developers.vam.ac.uk/guide/v2/welcome.html	2026-08-16	official_API	Mature collection data/images/API and clustering baseline.
SR12	Open Access	Smithsonian Institution	current	https://www.si.edu/openaccess	2026-08-16	official_collection_policy	Rights/media availability may differ by item.
SR13	Getting Started	Cooper Hewitt	current	https://apidocs.cooperhewitt.org/getting-started/	2026-08-16	official_API	215,000 collection items and GraphQL API.
SR14	Rijksmuseum Data Services	Rijksmuseum	current	https://data.rijksmuseum.nl/	2026-08-16	official_data_service	800,000 object metadata, linked contextual entities and identifiers.
SR15	A Nested Model for Visualization Design and Validation	Tamara Munzner	2009	https://www.cs.ubc.ca/labs/imager/tr/2009/NestedModel/	2026-08-16	peer_reviewed	Claims and validation must match task/data/visual layers.
SR16	Design Study Methodology	Sedlmair Meyer and Munzner	2012	https://vis.csail.mit.edu/classes/6.859/readings/pdfs/Sedlmair-DesignStudyMethology.pdf	2026-08-16	peer_reviewed	Visual design studies need real tasks, validation and reflection.
SR17	Ethical Dimensions of Visualization Research	Michael Correll	2019	https://doi.org/10.1145/3290605.3300418	2026-08-16	peer_reviewed	Visualisation should reveal collection/curation choices and undersampling.
SR18	Designing to Restory the Past	International Journal of Design	2023	https://www.ijdesign.org/index.php/IJDesign/article/view/4410/1022	2026-08-16	peer_reviewed	Digital archive design can be a research-through-design case, not automatic impact.
SR19	What do they make us see	Journal of Documentation	2022	https://doi.org/10.1108/JD-02-2022-0047	2026-08-16	peer_reviewed	Online museum database interfaces can expose different geographic biases.
SR20	Digital cultural colonialism	Kizhner Terras and Nyhan	2021	https://www.research.ed.ac.uk/en/publications/digital-cultural-colonialism-measuring-bias-in-aggregated-digitized-content-held-in-google-arts-and-culture	2026-08-16	peer_reviewed	Aggregated digitised content can amplify institutional bias.
SR21	Collections and Online Archive	Letterform Archive	current	https://letterformarchive.org/collections/	2026-08-16	official_specialist_archive	100,000 holdings and specialist-curatorial/education baseline.
SR22	Joint Declaration of Data Citation Principles	FORCE11	2014	https://force11.org/info/joint-declaration-of-data-citation-principles-final/	2026-08-16	community_standard	Persistent identification and citation support evidence reuse.
SR23	RightsStatements.org	RightsStatements.org	current	https://rightsstatements.org/page/1.0/	2026-08-16	rights_standard	Rights status applies to a particular digital object and can be unclear.
SR24	Understanding Copyright	Library of Congress	current	https://www.loc.gov/legal/understanding-copyright/	2026-08-16	official_rights_guidance	Users make independent permission assessments.
SR25	People's Graphic Design Archive About	People's Graphic Design Archive	current	https://peoplesgdarchive.org/about	2026-08-16	official_research_archive	Community archive and educational/public context.
SR26	WCAG 2.2	W3C WAI	2023	https://www.w3.org/TR/WCAG22/	2026-08-16	W3C_Recommendation	Colour, contrast, focus and interaction accessibility requirements.
SR27	Tables Tutorial	W3C WAI	current	https://www.w3.org/WAI/tutorials/tables/	2026-08-16	official_accessibility_guidance	Semantic table relationships and alternatives.
SR28	Guides for researchers	Software Sustainability Institute	current	https://www.software.ac.uk/guide/guides-researchers	2026-08-16	research_software_guidance	Sustainability needs resources, community and reproducibility practice.
SR29	Research Corpus Policy and Missingness Baseline	graphic_design_archive v49 local audit	2026	local:docs/audits/v49-authority-research-delta/09_RESEARCH_CORPUS_POLICY.md	2026-08-16	primary_project_evidence	Exact supplied baseline counts, held policy and unsafe legacy arrays.
