project_name	project_category	institution_or_owner	verified_scope	verified_object_count	image_custody_model	rights_model	provenance_granularity	claim_evidence_separation	relationship_model	relation_review_status	release_versioning	missingness_visibility	no_inference_policy	search_and_filter	visual_analytics	citation_export	machine_api	education_resources	accessibility_evidence	sustainability_model	trace_comparable_feature	source_urls	accessed_at	evidence_quality
V&A Collections	institution_collection_api	Victoria and Albert Museum	art and design collection data and images	UNKNOWN	FIRST_PARTY	PARTIAL	OBJECT_RECORD	UNKNOWN	COMPUTED_CLUSTERING	UNKNOWN	PARTIAL	UNKNOWN	UNKNOWN	YES	PARTIAL	YES	YES	PARTIAL	UNKNOWN	PUBLIC_MUSEUM	Machine-readable collection data and clustering; no verified relation-review layer	https://developers.vam.ac.uk/guide/v2/welcome.html; https://developers.vam.ac.uk/collections/	2026-08-16	HIGH
Cooper Hewitt Collections	institution_collection_api	Cooper Hewitt Smithsonian Design Museum	museum collection objects and associated people/organisations	215000	FIRST_PARTY	UNKNOWN	OBJECT_AND_ASSOCIATED_ACTOR	UNKNOWN	TAXONOMIC_TERMS_TAGS	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	YES	PARTIAL	UNKNOWN	YES	PARTIAL	UNKNOWN	PUBLIC_MUSEUM	Open GraphQL data and taxonomy; taxonomy is not historical relation	https://apidocs.cooperhewitt.org/getting-started/; https://apidocs.cooperhewitt.org/category/api-calls/	2026-08-16	HIGH
MoMA Collection/Open Data	institution_collection_open_data	Museum of Modern Art	artworks artists exhibitions and collection metadata	160000 artworks; 15000 artists	METADATA_ONLY_FOR_OPEN_DATA	CC0_METADATA_IMAGES_EXCLUDED	OBJECT_RECORD	NO_FOR_CURATORIAL_APPROVAL_OF_MUCH_DATASET	OBJECT_EXHIBITION_TERM_LINKS	UNKNOWN	PARTIAL	PARTIAL	UNKNOWN	YES	PARTIAL	YES	PARTIAL	PARTIAL	UNKNOWN	PUBLIC_MUSEUM	Explicit incomplete/not-curatorially-approved warning is an honest-state precedent	https://api.moma.org/; https://api.moma.org/Home/Terms	2026-08-16	HIGH
Smithsonian Open Access	institution_collection_api	Smithsonian Institution	2D and 3D items across museums research centres libraries archives and zoo	5100000 digital items	FIRST_PARTY	MIXED_CC0_AND_USAGE_CONDITIONS	OBJECT_RECORD_AND_CONTRIBUTING_UNIT	UNKNOWN	UNKNOWN	UNKNOWN	PARTIAL	PARTIAL	UNKNOWN	YES	PARTIAL	UNKNOWN	YES	YES	UNKNOWN	PUBLIC_INSTITUTION	Rights/media availability is separate from metadata access	https://www.si.edu/openaccess; https://edan.si.edu/openaccess/apidocs/	2026-08-16	HIGH
Rijksmuseum Data Services	institution_collection_linked_open_data	Rijksmuseum	art historical objects photos library catalogue people institutions and terms	800000 object metadata; 600000 object photos	FIRST_PARTY	OPEN_DATA_CC_BY_AND_MAJORITY_PUBLIC_DOMAIN	PID_LINKED_DATA_CONTROLLED_VOCABULARIES	UNKNOWN	LINKED_ENTITIES_AND_CONTROLLED_VOCABULARIES	UNKNOWN	PARTIAL	UNKNOWN	UNKNOWN	YES	PARTIAL	YES	YES	PARTIAL	UNKNOWN	PUBLIC_MUSEUM	Persistent IDs and linked contextual entities	https://data.rijksmuseum.nl/; https://data.rijksmuseum.nl/docs/linked-data/	2026-08-16	HIGH
Letterform Archive	specialist_graphic_design_archive	Letterform Archive nonprofit	lettering typography calligraphy and graphic-design artefacts	100000 holdings	FIRST_PARTY	RIGHTS_RETAINED_BY_RIGHTSHOLDERS	OBJECT_WITH_STORY_AND_NAMED_COLLECTION	UNKNOWN	CURATED_COLLECTIONS	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	YES	PARTIAL	UNKNOWN	UNKNOWN	YES	UNKNOWN	NONPROFIT_MEMBERSHIP_DONATIONS	Specialist custody, contextual records and education	https://letterformarchive.org/collections/; https://letterformarchive.org/online-archive/	2026-08-16	HIGH
AIGA Design Archives	specialist_graphic_design_archive	AIGA	communication-design selections since 1924	20000+	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	BROWSE_BY_COLOR_YEAR_FORMAT_AND_COLLECTION	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	YES	PARTIAL	UNKNOWN	UNKNOWN	PARTIAL	UNKNOWN	PROFESSIONAL_ASSOCIATION	Subject-specialist browsing exceeds proposed size	https://designarchives.aiga.org/	2026-08-16	HIGH
People's Graphic Design Archive	research_led_community_archive	People's Graphic Design Archive	crowd-sourced inclusive graphic-design history	UNKNOWN	CONTRIBUTOR_SUPPLIED_OR_LINKED	RIGHTS_RETAINED_BY_RIGHTSHOLDER	CONTRIBUTOR_ACCOUNT_AND_SUBMITTED_MATERIAL	PARTIAL	CONTRIBUTOR_CONTEXT_AND_LINKS	PARTIAL	UNKNOWN	PARTIAL	UNKNOWN	YES	UNKNOWN	UNKNOWN	UNKNOWN	YES	UNKNOWN	GRANTS_AND_PARTNERS	Inclusive contribution model is not evidence proof	https://peoplesgdarchive.org/about	2026-08-16	HIGH
Europeana	heritage_aggregator	Europeana Foundation	cultural heritage records/media from many institutions	UNKNOWN	FEDERATED_PROVIDER_MEDIA	PER_RECORD_RIGHTS_STATEMENT	RECORD_AND_PROVIDER	UNKNOWN	EDM_RECORD_AND_IIIF	UNKNOWN	UNKNOWN	PARTIAL	UNKNOWN	YES	YES	UNKNOWN	YES	YES	UNKNOWN	EU_FUNDED_CONSORTIUM	Federation with provider links and rights-bearing records	https://pro.europeana.eu/page/apis; https://www.europeana.eu/en/rights	2026-08-16	HIGH
Digital Public Library of America	heritage_aggregator	Digital Public Library of America	metadata/meta-metadata for digital representations	UNKNOWN	FEDERATED_PROVIDER_LINK	PERMISSIVE_RECORDS_LICENSE_ITEM_RIGHTS_UNKNOWN	ITEM_AND_PROVIDER_REPOSITORY	UNKNOWN	ITEM_COLLECTION_MEMBERSHIP	UNKNOWN	PARTIAL	UNKNOWN	UNKNOWN	YES	PARTIAL	UNKNOWN	YES	PARTIAL	UNKNOWN	NONPROFIT_AGGREGATOR	Explicit provider-reference model for federation	https://pro.dp.la/developers/api-codex; https://pro.dp.la/hubs/metadata-application-profile	2026-08-16	HIGH
