path	sha256	bytes	artifact_class
docs/audits/v49-design-history-relation-vocabulary-round1/00_EXECUTIVE_RECEIPT.md	61723116647533256b2fb07070881656a4185c0aabf28531e712f3e9e7aefaa6	662	audit
docs/audits/v49-design-history-relation-vocabulary-round1/01_SOURCE_VALIDATION.md	ad3b8700f91417a2233f4849ac21749d0cd8d18e5303ab0e4e08fef5015f2b60	386	audit
docs/audits/v49-design-history-relation-vocabulary-round1/02_ATTESTATION_VALIDATION.md	d9b3ba9e730ae1e41068d5f00c3678b3f9b70308ce709a8a09ec6cb352dd5f4b	401	audit
docs/audits/v49-design-history-relation-vocabulary-round1/03_FULL_TERM_VERIFICATION.md	858669570426b593f71e5c152fb04f50637a072c29d4344d9bbc95453822352f	451	audit
docs/audits/v49-design-history-relation-vocabulary-round1/04_SEMANTIC_EXPLAINABILITY.md	11c3fb457bc42535946e3559fb2e6707e5dc93a69caa246d88fc670c0397d6f1	293	audit
docs/audits/v49-design-history-relation-vocabulary-round1/05_POLYSEMY_CONTESTATION.md	bf3113ac41f8059d820d59465f5360812e14c59f93a69d172c091c3193ba1ba9	335	audit
docs/audits/v49-design-history-relation-vocabulary-round1/06_GLOBAL_SOURCE_BREADTH.md	0605604896aed3401a80ccdce222a86ecfb8ccfe90ed73ca01f89316ec94d1b3	409	audit
docs/audits/v49-design-history-relation-vocabulary-round1/07_BAD_PRACTICE_REGRESSION.md	2a532f7ade4774765b8280e3bd7f7b61523dfe9487f6310a2ec24a4fde6f6b97	663	audit
docs/audits/v49-design-history-relation-vocabulary-round1/08_CHANGED_FILES.md	b2402c5d09da64af6a345bcd54067a858f09d2e19793b4b0122c36c56ff0cc0f	441	audit
docs/audits/v49-design-history-relation-vocabulary-round1/raw/candidate_registry_identity_v1.tsv	818b306406d6a557a563ec285ae36394106c4c88a3e14cae19e4f1da4e92f4d5	1594	audit
docs/audits/v49-design-history-relation-vocabulary-round1/raw/discovery_attestation_handoff.tsv	51da933805282948dfb04f66659954ed89e71ff4c3490411c5664c23f34c6c4b	8494	audit
docs/audits/v49-design-history-relation-vocabulary-round1/raw/generation_metrics.txt	d012b3e392e8cf70d72a5a0bae8c35fa9a77c5e6d7739a8dfb859dde143cc00f	306	audit
docs/audits/v49-design-history-relation-vocabulary-round1/raw/test_results.txt	75519807f3f725620f25514233758f553ff69e1529e7aaeab4a6c10405d5187b	1088	audit
docs/audits/v49-design-history-relation-vocabulary-round1/raw/verification_phase2_summary.tsv	b335955ee08b0e349a969ea8c0289b8b1e79a5c13e71fde4414518845a8788a3	5889	audit
docs/research/trace-v49-design-history-relation-vocabulary-round1/00_EXECUTIVE_DECISION.md	c9adc16a36db8a441e8fbb95855ff703f2a640059cb2414cf2bd7e7917762350	1967	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/01_RESEARCH_SCOPE_AND_METHOD.md	2a6accf2780585719bf3a3addebc0fce03051f82a5e0cb1337bb6d76990cdf40	1267	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/02_SOURCE_STRATEGY.md	f7fac3fdc211ff2a3a706d69e64ce794c3164eed3b2d49efb86190fdf1295a16	753	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	8aae0e6d73f30061cc09a3bc7d72c4eb10aea1ca92513a5d0bc16bf29aa4943f	16747	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv	983b73a5f24ad512adc43b7dad47bb572b6f2563e3755760f7f14d26c014a371	14815	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/05_TERM_ATTESTATION_REGISTRY.tsv	f2f8ff68c9263ee360aa84f73bc3adb55e5b18b41f86f03faa18522645193240	21069	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/06_TERM_VERIFICATION_MATRIX.tsv	5763076bf3742fe42003eb9c3df2a4d7303e20d6e62a932d6284c61ec58dabcf	49220	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/07_SEMANTIC_GLOSS_REGISTRY.tsv	707478647d2dfde3fdef258148026b6d9b6b080d23c923dabfff22d7a174ef09	16332	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/08_CONTESTATION_AND_POLYSEMY.tsv	82995cea2b9aa88eb916d94841521ae26bf34d65e074162f3ee7af5049455712	6882	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/09_SYNONYM_AND_CONFUSABLE_REVIEW.tsv	8091b2e6d11913c7e3d881f3f645f3d764b7eef995b067097899ddd8af937b71	7226	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/10_DIRECTIONALITY_OBSERVATIONS.tsv	37938524554ce40d212a54c6f7aa0a18ca1c9c55a851eaf5dbe6a34d27572777	4532	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/11_GRAMMAR_EVIDENCE_HANDOFF.tsv	8dc6db4cc5550d31b9c8aab686e9a6c1615162ad00bf16fbbd49fb1e8f7e3058	8416	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/12_REJECTED_AND_DEFERRED_TERMS.tsv	b2ef0cec7cd888432c3382b6f14c364ba0bac4b29f7042b12cecca59bc751ad2	4359	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/13_SOURCE_BREADTH_AND_CONCENTRATION.md	e70c33d66784c7ddb6e4e4a711cc8070c0509ea11ed56e97510ac134c86559fb	1429	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/14_LEXICAL_SATURATION_REPORT.md	f952af6dfac26bfcfe2e47521c385d1810fa898b5e9454eab8683032d718746a	962	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/15_NATURAL_LANGUAGE_EXPLAINABILITY_AUDIT.md	80d63c46484cd5b9d187942aaa0e98bf91f5df685fe87d05203a0ed577896e2d	617	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/16_RELATION_VOCABULARY_RED_TEAM.md	6a1744c70e244718a40a50dbf0464e61a0bdd3d60c294437f371d549e1c1b9d6	1128	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/17_ROUND10_GRAMMAR_HANDOFF.md	651fa82f57c16b256709285d9ce488f783bd6986112d6d20540b3a83df1fd2dd	1003	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/18_ROUND_DECISION.md	a42628e5112e0976656daed8e1d07651368955094a12bb52d3187d1af9ed689d	672	research
docs/research/trace-v49-design-history-relation-vocabulary-round1/19_REFERENCE_LIST.md	7499a8ece0c38a018333ef204c87c3ce47906caad6126f1ea5f189bfe2a623e7	9534	research
