branch_name	tip_sha	tip_date	tip_subject	reachable_from_integration_tip	contained_in_main_after_integration	has_unique_commits_not_in_integration_tip	current_authority_status	recommended_later_retention_action
chore/v49-phase2b-evidence-repair-20260815	60329e8ec713221bbf42318a4f4c7477e6eb5a72	2026-08-15T16:45:36+10:00	test: enforce self-contained audit packages	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
chore/v49-repository-hygiene-database-freeze-20260821	c0ca9a1d4745cfd1054b924c648e57887830960d	2026-08-21T15:34:10+10:00	close v49 repository hygiene and database freeze	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
codex/v47-data-expansion	f2cf492b480139776ae674d5c26ccfd845e45e45	2026-08-01T14:16:04+10:00	record v48 candidate freeze receipt	false	false	true	UNMERGED_REQUIRES_REVIEW	UNKNOWN_REQUIRES_REVIEW
codex/v48-trace-visualization	6b4a60ec11f303a0d1c04a735daf9f2818939c0f	2026-08-06T01:37:48+10:00	refine research index contrast and navigation	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
codex/v48-visual-analytics	35969e54fd2fbf9c1e40e0d35d7650c4cac4847c	2026-08-08T04:24:15+10:00	refine responsive trace research views	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
feat/v49-context-canvas-functional-round1-20260823	0a0ebbebd3688dd5db16d2a8a230eb4f82a99e55	2026-08-23T18:42:17+10:00	feat(trace): add functional Context Canvas	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
feat/v49-context-canvas-realdata-validation-20260823	b60ac6faf5f249e4c0d40697e9255770277cac03	2026-08-23T20:54:58+10:00	feat(trace): validate Context Canvas with real v49 data	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
feat/v49-context-governance-closure-20260823	5767928180b90a4194cc47e325d78ab8d9226b48	2026-08-23T22:34:25+10:00	research(trace): close Context governance and public projection	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
feat/v49-exploration-similarity-research-round1-20260824	580587a74f400d8a04d995937f4efb31e6621dd8	2026-08-24T12:22:44+10:00	research(trace): benchmark explainable Exploration affinity models	true	true	false	SUPERSEDED_RESEARCH	KEEP_HISTORICAL
feat/v49-fuzzy-search-round1-20260823	f9bdfdd293023592ddc6af92858a24857c5a532a	2026-08-23T14:36:08+10:00	feat: add deterministic v49 fuzzy archive search	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
feat/v49-read-platform	6e66186f2626bd10272b3cd408778f2ac091a598	2026-08-15T20:49:19+10:00	docs: record v49 product foundation checkpoint	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
feat/v49-spacetime-closure-exploration-discovery-20260824	0e311f0b88b4adc3cbfe2080ac98d622013cc6d3	2026-08-24T02:06:43+10:00	feat(trace): close Spacetime runtime and add Exploration discovery	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
feat/v49-spacetime-gis-functional-round1-20260823	1e76da2cbe93ebc961760218eec3e2224ce1caad	2026-08-23T23:50:06+10:00	docs(trace): correct Round 4 audit counters	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
feat/v49-trace-census-preprogram-round1-20260823	c5f4e794580607116206a9986ac6a549257f3bd2	2026-08-23T16:38:38+10:00	research(trace): add v49 census and preprogram foundation	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
fix/v49-api-read-contract-closure-20260821	d78f496bcdf2cd6941791986007cd7a885c4c532	2026-08-21T14:25:32+10:00	finalize v49 API contract audit	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
fix/v49-read-platform-parity-browser-20260816	3e666b5265ebe7b41ea0c98531b35761ff0d9485	2026-08-16T12:57:40+10:00	docs: checkpoint read platform closure P0	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
fix/v49-release-projection-snapshot-20260816	dc76920e3d843c9128e73dcec7ce7f26da7cfa51	2026-08-16T15:58:14+10:00	docs: record v49 release projection checkpoint	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
fix/v49-release-projection-snapshot-closure-20260816	56d41d7bd55d90a7034bbcd017b0305b680e20b4	2026-08-17T13:53:18+10:00	docs: record release snapshot performance checkpoint	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
fix/v49-release-projection-snapshot-db-closure-20260820	55f1d715722f1a3bdb5b14d716a703e8a79ffb57	2026-08-21T03:30:56+10:00	record v49 database closure checkpoint	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
fix/v49-release-projection-snapshot-performance-20260817	321e89f954fc32eae91a124afe83af9b8b2f32a3	2026-08-17T17:14:03+10:00	docs: record v5 snapshot performance checkpoint	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
main	592c765d0af5bf15b1666784dce784ac8e22624d	2026-08-01T14:39:23+10:00	record v48 supervised main transfer	true	true	false	CURRENT_MAIN_BEFORE_INTEGRATION	KEEP_ACTIVE
recovery/v48-visual-analytics-20260810	0404c7f96f9189f576c4c5b1368061e4082e436b	2026-08-10T19:26:11+10:00	checkpoint: preserve interrupted v48 visual analytics prototype	true	true	false	HISTORICAL_RECOVERY	KEEP_HISTORICAL
recovery/v49-phase2b-performance-checkpoint-20260814	6b918dd2ebd9af6f9a8fca6edbe6bbbf7de41320	2026-08-14T22:30:23+10:00	docs: record v49 phase 2b migration receipts	true	true	false	HISTORICAL_RECOVERY	KEEP_HISTORICAL
refactor/v49-data-platform	60329e8ec713221bbf42318a4f4c7477e6eb5a72	2026-08-15T16:45:36+10:00	test: enforce self-contained audit packages	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
refactor/v49-exploration-conceptual-reset-20260824	0526c3375285d8785d2993cdad9d1da620766423	2026-08-25T00:22:58+10:00	refactor(trace): reset Exploration to conceptual relation field	true	true	false	ACTIVE_AUTHORITATIVE_ROUND8	KEEP_RELEASE_ANCHOR
refactor/v49-phase2b-performance	11e7b82d27b2774273d2f0d68904632246dabd37	2026-08-15T06:17:43+10:00	docs: verify v49 phase 2b performance replays	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
research/v49-design-history-relation-vocabulary-round1-20260825	47978c519c3c7141690e3894315a1ef1b7a403db	2026-08-25T02:17:27+10:00	research(trace): validate design-history relation vocabulary	true	true	false	ROUND9_RELEASE_INPUT	KEEP_RELEASE_ANCHOR
research/v49-exploration-nlp-semantic-round1-20260824	3d7536b4588032d806b6492a1be97b59891ca031	2026-08-24T22:24:59+10:00	research(trace): audit multilingual NLP semantics for Exploration	true	true	false	SUPERSEDED_RESEARCH	KEEP_HISTORICAL
research/v49-trace-positioning-20260816	3128a6e544d3a223b9c5cc496859e983948200d3	2026-08-16T13:42:43+10:00	docs(research): synthesize contribution and two-week scope	false	false	true	UNMERGED_REQUIRES_REVIEW	UNKNOWN_REQUIRES_REVIEW
verify/v49-read-platform-runtime-acceptance-20260815	64de7ab1ccc190b433266e3a793b9ff7d4c06016	2026-08-15T22:53:20+10:00	docs: checkpoint v49 runtime acceptance evidence	true	true	false	REACHABLE_HISTORICAL_OR_RELEASE_BRANCH	DELETE_LATER_AFTER_SEPARATE_REVIEW
