object_key	object_kind	schema_name	object_name	identity_arguments	parent_schema	parent_name	owner_role	relation_persistence	relation_security_barrier	routine_language	routine_volatility	routine_security_definer	routine_search_path	type_category	definition_sha256_replay_1	definition_sha256_replay_2	replay_match
CONSTRAINT|audit|decision_event_assertion_review|decision_event_assertion_revi_assertion_review_decision_id_fkey	CONSTRAINT	audit	decision_event_assertion_revi_assertion_review_decision_id_fkey	\N	audit	decision_event_assertion_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	aa7d85548c2bd9fb0544bcdc94f107b3baaccacffca67bbfe608589e2f06fe8d	aa7d85548c2bd9fb0544bcdc94f107b3baaccacffca67bbfe608589e2f06fe8d	true
CONSTRAINT|audit|decision_event_assertion_review|decision_event_assertion_revie_assertion_review_decision_id_key	CONSTRAINT	audit	decision_event_assertion_revie_assertion_review_decision_id_key	\N	audit	decision_event_assertion_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	f627bf21a32c4eea2d1223298311d30ee87069f7961a2e4b72c4aa522d959e35	f627bf21a32c4eea2d1223298311d30ee87069f7961a2e4b72c4aa522d959e35	true
CONSTRAINT|audit|decision_event_assertion_review|decision_event_assertion_review_decision_event_id_fkey	CONSTRAINT	audit	decision_event_assertion_review_decision_event_id_fkey	\N	audit	decision_event_assertion_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_assertion_review|decision_event_assertion_review_pkey	CONSTRAINT	audit	decision_event_assertion_review_pkey	\N	audit	decision_event_assertion_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_assertion_review|decision_event_exact_subtype_assertion	CONSTRAINT	audit	decision_event_exact_subtype_assertion	\N	audit	decision_event_assertion_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
CONSTRAINT|audit|decision_event_assignment_review|decision_event_assignment_rev_assignment_review_decision_i_fkey	CONSTRAINT	audit	decision_event_assignment_rev_assignment_review_decision_i_fkey	\N	audit	decision_event_assignment_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	bb4ecaaef4877822c9e560e7ce113504478b0917b145c94258a9db4a06c358a6	bb4ecaaef4877822c9e560e7ce113504478b0917b145c94258a9db4a06c358a6	true
CONSTRAINT|audit|decision_event_assignment_review|decision_event_assignment_rev_assignment_review_decision_id_key	CONSTRAINT	audit	decision_event_assignment_rev_assignment_review_decision_id_key	\N	audit	decision_event_assignment_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	ac79a313f8775981c28e835eb39bf0208c733fff2e52f458913d8bece8532345	ac79a313f8775981c28e835eb39bf0208c733fff2e52f458913d8bece8532345	true
CONSTRAINT|audit|decision_event_assignment_review|decision_event_assignment_review_decision_event_id_fkey	CONSTRAINT	audit	decision_event_assignment_review_decision_event_id_fkey	\N	audit	decision_event_assignment_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	a1b499df2fd9d819a01a9c4bb9ebfbd0c223ea54e8001ca631467502f9252519	true
CONSTRAINT|audit|decision_event_assignment_review|decision_event_assignment_review_pkey	CONSTRAINT	audit	decision_event_assignment_review_pkey	\N	audit	decision_event_assignment_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	6d2e5f21c1ea7ee7cb42d45db38ef35bab7d2e9c3e7dfb33a71ad49642581287	true
CONSTRAINT|audit|decision_event_assignment_review|decision_event_exact_subtype_assignment	CONSTRAINT	audit	decision_event_exact_subtype_assignment	\N	audit	decision_event_assignment_review	gda_v49_phase2a_schema_owner	\N	\N	\N	\N	\N	\N	\N	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	3b6901978d808756e54a499055ac8b8e22a09a2146e997ce00d8959830312274	true
