control_key	table_schema	table_name	control_kind	control_name	column_names_json	referenced_schema	referenced_table	referenced_columns_json	match_type	on_update	on_delete	deferrable	initially_deferred	validated	enabled_state	trigger_timing	trigger_events_json	trigger_level	guard_function_identity	predicate_escaped	definition_sha256_replay_1	definition_sha256_replay_2	replay_match	backing_constraint_key	normative_invariant	test_ids_json	status
audit|decision_event_assertion_review|CONSTRAINT_TRIGGER|decision_event_exact_subtype_assertion	audit	decision_event_assertion_review	CONSTRAINT_TRIGGER	decision_event_exact_subtype_assertion	[]	\N	\N	[]	\N	\N	\N	true	true	true	O	AFTER	["DELETE","INSERT","UPDATE"]	ROW	audit.enforce_decision_event_subtype()	\N	e90d31577730b3fd6b05cbd45a9baace8b93a0eb5e3d0888d1e2aaca9c746b00	e90d31577730b3fd6b05cbd45a9baace8b93a0eb5e3d0888d1e2aaca9c746b00	true	\N	DEFERRED_EVIDENCE_VALIDATION	[]	PASS
audit|decision_event_assertion_review|FOREIGN_KEY|decision_event_assertion_revi_assertion_review_decision_id_fkey	audit	decision_event_assertion_review	FOREIGN_KEY	decision_event_assertion_revi_assertion_review_decision_id_fkey	["assertion_review_decision_id"]	provenance	assertion_review_decision	["assertion_review_decision_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	35ea18e31899201f39c237b7dd53ab906053b9259628aac0d9ade0f26a9711bc	35ea18e31899201f39c237b7dd53ab906053b9259628aac0d9ade0f26a9711bc	true	\N	CANONICAL_PARENT_RESTRICT	[]	PASS
audit|decision_event_assertion_review|FOREIGN_KEY|decision_event_assertion_review_decision_event_id_fkey	audit	decision_event_assertion_review	FOREIGN_KEY	decision_event_assertion_review_decision_event_id_fkey	["decision_event_id"]	audit	decision_event	["decision_event_id"]	SIMPLE	NO ACTION	RESTRICT	false	false	true	\N	\N	[]	\N	\N	\N	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	a49839f3e82041a53d1b8d2b46761a36cdd3cba4e6fde1b7a7a6d388d151f500	true	\N	IDENTITY_FK	[]	PASS
audit|decision_event_assertion_review|INDEX|decision_event_assertion_revie_assertion_review_decision_id_key	audit	decision_event_assertion_review	INDEX	decision_event_assertion_revie_assertion_review_decision_id_key	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	01be6c8114a081ece48b4850f21798520405b373f6658c58b4ce5463bf8108d1	01be6c8114a081ece48b4850f21798520405b373f6658c58b4ce5463bf8108d1	true	audit|decision_event_assertion_review|UNIQUE_CONSTRAINT|decision_event_assertion_revie_assertion_review_decision_id_key	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_assertion_review|INDEX|decision_event_assertion_review_pkey	audit	decision_event_assertion_review	INDEX	decision_event_assertion_review_pkey	[]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	97293e0245673422f37ed73e9d5f7f12ab24a1b4b8f618f48faecdebe563b60d	97293e0245673422f37ed73e9d5f7f12ab24a1b4b8f618f48faecdebe563b60d	true	audit|decision_event_assertion_review|PRIMARY_KEY|decision_event_assertion_review_pkey	ACCESS_PATH_ONLY	[]	PASS
audit|decision_event_assertion_review|NOT_NULL|assertion_review_decision_id:NOT_NULL	audit	decision_event_assertion_review	NOT_NULL	assertion_review_decision_id:NOT_NULL	["assertion_review_decision_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	682bde05508cb6c0dc4a86e00d3dc683f7a5509b43b7729b9db25a985d9becaf	682bde05508cb6c0dc4a86e00d3dc683f7a5509b43b7729b9db25a985d9becaf	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_assertion_review|NOT_NULL|decision_event_id:NOT_NULL	audit	decision_event_assertion_review	NOT_NULL	decision_event_id:NOT_NULL	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	8daf8e915053fc7bf81f7d09f717af10fa9cdbadfb84b1b7d3ff49a7aa41816d	true	\N	CLOSED_SUBTYPE	[]	PASS
audit|decision_event_assertion_review|PRIMARY_KEY|decision_event_assertion_review_pkey	audit	decision_event_assertion_review	PRIMARY_KEY	decision_event_assertion_review_pkey	["decision_event_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	ae2911dca49600076ec62c3ae14b16c57db06bb5847a22b6702ec16a27a06c61	true	\N	NATURAL_KEY	[]	PASS
audit|decision_event_assertion_review|ROW_TRIGGER|audit_decision_assertion_append_only	audit	decision_event_assertion_review	ROW_TRIGGER	audit_decision_assertion_append_only	[]	\N	\N	[]	\N	\N	\N	false	false	true	O	BEFORE	["DELETE","UPDATE"]	ROW	audit.reject_update_delete()	\N	1d6ab146867a77f5871c96fb732f0362cc8538b8cec906238168a84a323722bb	1d6ab146867a77f5871c96fb732f0362cc8538b8cec906238168a84a323722bb	true	\N	APPEND_ONLY	[]	PASS
audit|decision_event_assertion_review|UNIQUE_CONSTRAINT|decision_event_assertion_revie_assertion_review_decision_id_key	audit	decision_event_assertion_review	UNIQUE_CONSTRAINT	decision_event_assertion_revie_assertion_review_decision_id_key	["assertion_review_decision_id"]	\N	\N	[]	\N	\N	\N	false	false	true	\N	\N	[]	\N	\N	\N	ae2614a71e0bb3f5a076018677f20c7163fc1be7e4604007036144702e5437fc	ae2614a71e0bb3f5a076018677f20c7163fc1be7e4604007036144702e5437fc	true	\N	NATURAL_KEY	[]	PASS
