governed_term_id	context_kind	public_label	explanation_code	publication_state	assignment_count	governance_decision
CTX:MEDIUM:041f6e2537fe14389cc518d2059530b7a8ee292c5d79a6af94b7fccffc8961a9	medium	Advertisement	CTX-MEDIUM	published	17	PUBLISHED
CTX:MEDIUM:05a46f43a6191e7bf5bf3010b49850f524069e03756a4a8737f1118a3bb6fd7b	medium	Publication design	CTX-MEDIUM	published	234	PUBLISHED
CTX:MEDIUM:0e06cb99dcf5a5922c5259b6421e249d80aa108de6d6950413da30a259367f05	medium	Graphic design object record	CTX-MEDIUM	published	545	PUBLISHED
CTX:MEDIUM:2c3964813071dafc3ab29af1fea1549defb971fbeedfada150f9ed6da98aff2c	medium	Trade card	CTX-MEDIUM	published	6	PUBLISHED
CTX:MEDIUM:53c7162c711a8fa5de039848cfd4684246055c1027de5ece5230ed57a76ccf7f	medium	Catalogue	CTX-MEDIUM	published	16	PUBLISHED
CTX:MEDIUM:7aa69cad0d8dc55a67b6a03d2b08152d2a0b7a595171c20e76ea1a316702cfdc	medium	Photomontage	CTX-MEDIUM	published	3	PUBLISHED
CTX:MEDIUM:99930bf1af62c91911b6b94ec15c10e441abcb4d5025d5ce6323e91e4d65b692	medium	Lithographic print	CTX-MEDIUM	published	57	PUBLISHED
CTX:MEDIUM:c2ec920670c0ba8784a146149d79753d498a4e4a0100b21c2376335fde89871d	medium	Corporate identity record	CTX-MEDIUM	published	11	PUBLISHED
CTX:MEDIUM:d64b03f2bd55a27dd76c69049442616ce238e8e1212ea16af95db9ce493a3751	medium	Poster	CTX-MEDIUM	published	7105	PUBLISHED
CTX:MEDIUM:ec43be41480c2b71aed82179a5acadf2ea7fb318cfa7ac9b2bfbdc9bbd66294c	medium	Portfolio cover	CTX-MEDIUM	published	1	PUBLISHED
CTX:THEME:189ea23586874dfde5f2e2a09964caa4dd7a4a3f5c855d9198ec115c0342e453	theme	Public health and social communication	CTX-THEME	published	204	PUBLISHED
CTX:THEME:2e3123d820bc6a13599c60ac18b60c00c434a9a1683894a90ac2aa160faba867	theme	World War and public-information graphics	CTX-THEME	published	403	PUBLISHED
CTX:THEME:384a2097e63e53fca52946a12791c9b734bd66b0b7e6032d33124a957cc07fdc	theme	Travel and transport poster culture	CTX-THEME	published	154	PUBLISHED
CTX:THEME:d331ac1228200a2784170c4fecc1d3ccda50cfd2e1e6f2281bec1014676dfa71	theme	New Deal and civic poster programs	CTX-THEME	published	28	PUBLISHED
CTX:THEME:d7f576d7cca2a3e95ce2b91544fdac83fbccab886611bf3cd1542ea6b1d9fe3d	theme	Corporate identity and design systems	CTX-THEME	published	51	PUBLISHED
CTX:THEME:eb268354d0e71366fb495290bb538687d5d4be7cf5f45d7cd1b50f776bbcb1f0	theme	Modern typography and layout	CTX-THEME	published	3928	PUBLISHED
CTX:THEME:edbfd0c09f5e2be9dbb9680ecf46df5e08826783f886ebe2a10cdc2a6b2e082f	theme	Postwar exhibition and cultural posters	CTX-THEME	published	271	PUBLISHED
CTX:THEME:edd0123d156f0bd4accbcf0f7f680cf4129b817f34ff9bf30d204681bd95ede0	theme	Midcentury modern graphic communication	CTX-THEME	published	2957	PUBLISHED
CTX:MOVEMENT:2a1f800537e33a558d09f8f4aa708bf3be789f0bcdcf7bb22a893c029edcd595	movement_context	Gran Fury and ACT UP activist graphics	CTX-MOVEMENT	published	1	PUBLISHED
CTX:MOVEMENT:3c961350ecbeac96593a981c5bdd8c6050c8ef54235db15f2343121e55f553a2	movement_context	Palestinian liberation and solidarity poster culture	CTX-MOVEMENT	published	31	PUBLISHED
CTX:MOVEMENT:5396db7dac20668ee6c71d3649975f949ad25914c44ace1781d7028adbd4c439	movement_context	Polish Poster School first-ingest scope	CTX-MOVEMENT	published	2	PUBLISHED
CTX:MOVEMENT:8256e44898ad4f5aa8ebe3be73316e5f428cf2e2b241a6ccf69ba7301a34790c	movement_context	Bauhaus / New Typography first-ingest network	CTX-MOVEMENT	published	14	PUBLISHED
CTX:MOVEMENT:8e59f08506aafc852eb7a9d577398cb5821fde11bf798a04572fc2b8af1b995b	movement_context	OSPAAAL and Tricontinental solidarity graphics	CTX-MOVEMENT	published	44	PUBLISHED
CTX:MOVEMENT:ba04e4707ae035e8ed3344df35b00d528f57040bdd69939bab395a073b3e048b	movement_context	Medu Art Ensemble and anti-apartheid poster movement	CTX-MOVEMENT	published	22	PUBLISHED
CTX:MOVEMENT:cc94bf2e88d3ee7274867dc1dbbc2b6a2b7d6a4f838d412eb1b28b95704585b2	movement_context	Taller de Grafica Popular first-ingest scope	CTX-MOVEMENT	published	1	PUBLISHED
