handoff_id	public_label	public_row_count	decision
SPTREG:1c9ba6f9394ccf620ffe9029cf83fa42a8b5ada2c84c19a76c8a9ecc14d4c0bb	Angers, France	1	DEFER_TO_SPACETIME
SPTREG:19567ac4f2291c075062edd228d2849052295fd880647f985e0dfabe406a3bc2	Aotearoa New Zealand	25	DEFER_TO_SPACETIME
SPTREG:39d334dbd0f66782fe29a5c7eda4b9c6530942934cdbe0cf973ae8b5bdd31293	Argentina	6	DEFER_TO_SPACETIME
SPTREG:c54a53bd3c71f1353dc70385bc221280904d45ac2b28862502e3fea5909c3c1d	Australia	13	DEFER_TO_SPACETIME
SPTREG:debfc97a42b3aeb406b523b1fe6e5cd2965c52d77ac66c296a8b12a82b9a9d01	Australia / Indigenous	1	DEFER_TO_SPACETIME
SPTREG:4b8784c2a106ec3a5c53f27dd21b892eaa22253629e827ccce6f149e2c278eb9	Austria	77	DEFER_TO_SPACETIME
SPTREG:e83984f460e3047297dc6cee6b93e27eeed3937a8482cae9546fed89f78c051c	Bangladesh	1	DEFER_TO_SPACETIME
SPTREG:2820f7566b634661a4b839055d7b6ebf5801561d10e4ed3679cc61c1758ad5ed	Belgium	59	DEFER_TO_SPACETIME
SPTREG:f1d2f7f3386c0ea51ec777a3fbde432286b16c9f1810f47ef2957e4e7609d177	Bordeaux, France	1	DEFER_TO_SPACETIME
SPTREG:1cdaf130737b702f30740c3f33fa6656f08b143fe1e518a53fb97d98cf0b72f1	Boston, United States	2	DEFER_TO_SPACETIME
SPTREG:a26c68308675c455e4a7ad1479f84e7c82a5a5c94b96f0f4b3a2c26a89d2d2e1	Brazil	9	DEFER_TO_SPACETIME
SPTREG:85d25ef90cdb7822a4dee48f958ea04156ac2dc4e260bd08510cb0f0cad5de39	Canada	32	DEFER_TO_SPACETIME
SPTREG:9740e78acab85f60c79be5efefce66318b74ce1f2a29f42e7fc8ad9bced52eb7	Chile	129	DEFER_TO_SPACETIME
SPTREG:41c5e7acf82293e6ea6df7d7a084ad90c9b389480372fd96dc8e4bb0fb334ed5	China / Hong Kong	163	DEFER_TO_SPACETIME
SPTREG:59a710089fcefef59d093c8264b4e399345f08a4f1f279026383b149b352e920	Cook Islands	12	DEFER_TO_SPACETIME
SPTREG:e5ecde780ce0c9570079df9d1678e97186db8f7379b3b7c042cca327381463a4	Cuba / transnational	76	DEFER_TO_SPACETIME
