category	metric	value
objects	public_tested	7995
objects	held_lookup_tested	7928
objects	held_exposed	0
objects	with_context	7995
terms	total	25
representations	total	16106
representations	published	16106
representations	qualified	0
representations	held	0
representations	excluded	0
canvas	membership_nodes	0
canvas	semantic_edges	0
region	spacetime_handoff_terms	93
region	spacetime_handoff_rows	7996
projection	raw_bytes	13129562
projection	gzip_bytes	1661608
medium	objects	7995
medium	representations	7995
medium	terms	10
theme	objects	7995
theme	representations	7996
theme	terms	8
movement_context	objects	110
movement_context	representations	115
movement_context	terms	7
