metric,value,notes
scope,all-capture,Record-file selection mode.
chunk_size,2000,Maximum rows per chunk.
record_files,44,Capture CSV inputs scanned.
raw_input_rows,19886,Rows before P0 exclusion and dedupe.
prefreeze_excluded_rows,3549,Rows skipped by pre-freeze exclusion table.
deduped_candidate_rows,16294,Rows after exclusion and dedupe.
chunks_total,9,Chunks executed.
chunks_ok,9,Chunks built successfully.
chunks_error,0,Chunks with exceptions.
chunk_surface_sum,16185,Sum of surfaces built per chunk; not a finalized public payload count.
chunk_distinct_source_sum,15079,Per-chunk source counts summed; cross-chunk duplicates are not collapsed here.
chunk_source_visible_surface_sum,16004,Per-chunk source-visible surface sum.
chunk_verified_open_surface_sum,15406,Per-chunk verified-open surface sum.
