sha256,byte_size,file_count,paths
008c1766279a2bd286e699075623bf31a6af663cb85a92d19ef8591d32be7d18,65,5,"[""docs/audits/v49-api-read-contract-closure/raw/fresh-c/fresh-c-schema-hash-final.txt"",""docs/audits/v49-api-read-contract-closure/raw/fresh-c/fresh-c-schema-hash.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/schema/fresh-a-schema.sha256"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/schema/fresh-b-schema.sha256"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/post-api-schema-hash.txt""]"
010f2cad5499dff155205b96900f56024a785b3847e9ed957c48ea8277800c3c,1721,2,"[""docs/audits/v49-api-read-contract-closure/raw/fresh-c/canonical-sealed-release.txt"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/fresh-d-sealed-api-release.txt""]"
01ac7dbf498e38f38eb1d8fbba6188722f7f56f390e38c04f00b1a183e0974b8,3240896,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/reconciliation/fresh-a-stable-ids.tsv"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/reconciliation/fresh-b-stable-ids.tsv""]"
06aeb240a167d3fe0d6b6a09f89c52af93d1ecae5d32a18d9eecdf0969fcd33b,299853,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/reconciliation/source-mismatch-a.tsv"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/reconciliation/source-mismatch-b.tsv""]"
09d0d55532835773be76d6d0ceca40f7e74ac356beef41023524850738270fb4,3914,2,"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/manifests/audit-package-manifest.json"",""docs/releases/v49/AUDIT_PACKAGE_MANIFEST.json""]"
0d23c4f7ba7374295e47901664957e9db7c98d34893c93ddb24cc0265ae367b2,930,4,"[""docs/audits/v49-api-read-contract-closure/raw/fresh-c/reconciliation/reconciliation-summary.json"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/reconciliation/reconciliation-summary.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/final-reconciliation/reconciliation-summary.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/reconciliation/reconciliation-summary.json""]"
0ee42e595b453e92fdc96eb881d4c8c7798b738f536c7ba4a3ef15848fcff96c,59,2,"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/baseline/git-status-ignored-short.txt"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/baseline/git-status-short.txt""]"
1439bf75b0f39dfc29ed714f3dba873edc07f19cd4e7a15d384ebae5ba9a1ce8,24110,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-17e06abd/current-leaf/current-leaf-final.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/restarted-33e6bed/current-leaf/current-leaf-final.txt""]"
1dadb5f0e0735df4b4b98ad75bf2de0004379ba07d90bc7e0e7baaa7843f592a,79,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/performance/scale-32-fixture.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/performance/scale-32-timed-fixture.txt""]"
20dcf35a38f1767b54afd312147b6654691ee8e9ee21753d859dbf66763c6f49,91,2,"[""database/FREEZE_V49.sha256"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/manifests/database-freeze.sha256""]"
38624ba8e563ada65bc54a5cd1c9261cac664bfbff394dfe065a41e101e4f6c7,82,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/performance/scale-2000-analyzed-fixture.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/performance/scale-2000-fixture.txt""]"
3ca2ab41c1ae04c1c72c2820a3d7e3f2bd0d417d4929590c145f069d38d11251,1196,2,"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/manifests/data-input-manifest.json"",""docs/releases/v49/DATA_INPUT_MANIFEST.json""]"
3ef38735dec3de368a9bc11c46e729245a76538beece3572ed4a1c2fb692ec75,65,4,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/api/schema-hash-after-attempt4.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/api/schema-hash-after-smoke.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/api/schema-hash-before-smoke.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/replay/template-schema-hash.txt""]"
4355a46b19d348dc2f57c046f8ef63d4538ebb936000f3c9ee954a27460dd865,2,3,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/api/api-attempt2-exit-code.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/api/api-attempt3-exit-code.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/api/api-exit-code.txt""]"
48ab64e7e2362f23c3cb7dffdc608d1b4017c2459fac273426e6206656ae4afc,2263,2,"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/git/branch-ledger-after.md"",""docs/maintenance/V49_BRANCH_AND_REF_LEDGER.md""]"
4be178ad951ffd72a9b0c3fc2dc1bf218102c49f65387ea41a41b88ce9d28d30,65,10,"[""docs/audits/v49-phase2b-evidence-amendment/empty-schema/empty_A.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/empty-schema/empty_B.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/03_P1_RIGHTS_LEAF_POST_FIX_50.postfix.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/04_P1_RIGHTS_LEAF_POST_FIX_250.postfix.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/05_P1_RIGHTS_LEAF_POST_FIX_1000.postfix.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/06_P1_RIGHTS_LEAF_POST_FIX_PLAN_1000.postfix.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/08_P1_DELIVERY_POST_FIX_50.postfix.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/09_P1_DELIVERY_POST_FIX_250.postfix.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/10_P1_DELIVERY_POST_FIX_1000.postfix.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/11_P1_DELIVERY_POST_FIX_PLAN_1000.postfix.schema-hash.stdout.log""]"
4f293487d7d5d3ff64db3aabc154091c279bcad3fc4c2e06f4745e16a50c9138,90895254,2,"[""frontend/public/data/public_surface_mock_v0.json"",""frontend/src/data/public_surface_mock_v0.json""]"
5974be57ce7d7059aba64f1e15ebea1560fbb220730870c844d132eac57d7814,928,3,"[""docs/audits/v49-api-read-contract-closure/raw/fresh-c/fresh-c-current-leaf.txt"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/fresh-d-current-leaf.txt"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/fresh-d-final-current-leaf.txt""]"
5ff08511717092d2c8bff7a8e777d2fbd6881bdfc89d99f0f310492d222f5d4f,65,11,"[""docs/audits/v49-phase2b-evidence-amendment/reproduced/01_P1_RIGHTS_LEAF_PRE_FIX_50.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/02_P1_RIGHTS_LEAF_PRE_FIX_250.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/03_P1_RIGHTS_LEAF_POST_FIX_50.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/04_P1_RIGHTS_LEAF_POST_FIX_250.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/05_P1_RIGHTS_LEAF_POST_FIX_1000.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/06_P1_RIGHTS_LEAF_POST_FIX_PLAN_1000.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/07_P1_DELIVERY_PRE_FIX_50.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/08_P1_DELIVERY_POST_FIX_50.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/09_P1_DELIVERY_POST_FIX_250.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/10_P1_DELIVERY_POST_FIX_1000.base.schema-hash.stdout.log"",""docs/audits/v49-phase2b-evidence-amendment/reproduced/11_P1_DELIVERY_POST_FIX_PLAN_1000.base.schema-hash.stdout.log""]"
66f48e435641702f22aaf4d92ac3ec014d75a8b3b060c33ea8c800ab4aa61396,553,2,"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/git/worktree-ledger-after.md"",""docs/maintenance/V49_WORKTREE_LEDGER.md""]"
6f659570d01bbbd26a3b5f5d8219f20cbdbb0645755fbd78bdd83ae4477f93fc,84,2,"[""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/full-projection-a/fixture.txt"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/full-projection-b/fixture.txt""]"
6fcc12866e11d904f4694920c36ce6b7faefea5fab85c0251e70cddde30ef4aa,39756,2,"[""docs/qa/screenshots/round10-mobile-region-stack-after-swipe.jpg"",""docs/qa/screenshots/round10-mobile-region-stack-before-swipe.jpg""]"
7815d5eb9bc666375bd1fe9c91b488f7e3f879f51a51970f767a8a8a6908d8de,1749122,4,"[""docs/audits/v49-api-read-contract-closure/raw/fresh-c/reconciliation/quarantined-stable-ids.tsv"",""docs/audits/v49-release-projection-snapshot-db-closure/raw/final/reconciliation/quarantined-stable-ids.tsv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/final-reconciliation/quarantined-stable-ids.tsv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/reconciliation/quarantined-stable-ids.tsv""]"
7fb2dbab044dfafa60b71815e29aa73b3e2c554c585ebfdff56c932544c1d8f9,3583,3,"[""docs/audits/v49-api-read-contract-closure/raw/fresh-c/fresh-c-missingness.txt"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/fresh-d-final-missingness.txt"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/fresh-d/fresh-d-missingness.txt""]"
8c584b485ebd27335e20512807f847fdd47c089e5afc880a316bce0ce9d36d0b,37663,2,"[""docs/qa/screenshots/round11-mobile-trace-constellation-selected.png"",""docs/qa/screenshots/round9-mobile-evidence-selected.jpg""]"
