path,file_type,size_bytes,blob_sha,sha256,producer,direct_consumers,transitive_consumers,audit_references,release_references,rights_sensitivity,authoritative_status,reproducible,current_runtime_required,current_api_required,current_database_required,current_test_required,action,destination_or_anchor,reason,validation_required
.gitattributes,none,163,4b6077a538e169bd1fe85954983434d4556550d0,0998ee88f9019f637d95f8250791ed5b2f1a11b78100b64abe2d92c99132e92c,[],[],[],[],[],NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.gitattributes,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
.github/CODEOWNERS,none,105,228cb99dd8c0e20e49721d5e7b3024d00af92ee4,ad39270524f451accfdc11d08991d89a70852f41f153235a1cb0000dc37c80b0,[],"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]",[],NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.github/CODEOWNERS,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
.github/workflows/audit-package-self-contained.yml,.yml,955,77a192c177ec4c6d081bd01294809cf0ccd8d20c,93cd966b33df2af1b7917df4bf590772eb35e33282695bed7a00b4e754e31647,[],"[""docs/audits/v49-product-foundation/agents/A2_ci_coupling_routes_audit.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/releases/v49/SOURCE_TREE_FILES.sha256""]","["".github/workflows/repository-hygiene.yml"",""PROJECT_LOG.md"",""README.md"",""docs/README.md"",""docs/audits/v49-product-foundation/agents/A2_ci_coupling_routes_audit.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/04_RETENTION_CLASSIFICATION.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/CHECKSUMS.sha256"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/audits/v49-runtime-acceptance/agents/R2_runtime_independent_verifier.md"",""docs/maintenance/DOCUMENTATION_MAP.md"",""docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.csv"",""docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.json"",""docs/releases/v49/RELEASE_INDEX.md"",""docs/releases/v49/SOURCE_TREE_FILES.sha256"",""scripts/repository/audit_repository_hygiene.py"",""scripts/repository/build_repository_closure_audit.py"",""scripts/repository/build_v49_release_documents.py""]","[""docs/audits/v49-product-foundation/agents/A2_ci_coupling_routes_audit.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md""]","[""docs/releases/v49/SOURCE_TREE_FILES.sha256""]",NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.github/workflows/audit-package-self-contained.yml,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
.github/workflows/manual-full-rehearsal.yml,.yml,459,001a5602adfcca0d53f4821f6c9335fa2ad4882b,bf3b77b4716b06db05a5d602fc900bba377ed7a0f17e1fdc9365c50e794afb81,[],"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/releases/v49/SOURCE_TREE_FILES.sha256""]","["".github/workflows/repository-hygiene.yml"",""PROJECT_LOG.md"",""README.md"",""docs/README.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/04_RETENTION_CLASSIFICATION.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/CHECKSUMS.sha256"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/audits/v49-runtime-acceptance/agents/R2_runtime_independent_verifier.md"",""docs/maintenance/DOCUMENTATION_MAP.md"",""docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.csv"",""docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.json"",""docs/releases/v49/RELEASE_INDEX.md"",""docs/releases/v49/SOURCE_TREE_FILES.sha256"",""scripts/repository/audit_repository_hygiene.py"",""scripts/repository/build_repository_closure_audit.py"",""scripts/repository/build_v49_release_documents.py""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md""]","[""docs/releases/v49/SOURCE_TREE_FILES.sha256""]",NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.github/workflows/manual-full-rehearsal.yml,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
.github/workflows/pr-fast.yml,.yml,477,853b34da891b1e4b87ce175f4129ce40fa8e2539,8f1e6c5367ea7c342fc30ce63b9f01f353136d9b8201b2087d78a4f7056d3fc4,[],"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/audits/v49-runtime-acceptance/agents/R2_runtime_independent_verifier.md"",""docs/releases/v49/SOURCE_TREE_FILES.sha256""]","["".github/workflows/repository-hygiene.yml"",""PROJECT_LOG.md"",""README.md"",""docs/README.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/04_RETENTION_CLASSIFICATION.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/CHECKSUMS.sha256"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/audits/v49-runtime-acceptance/agents/R2_runtime_independent_verifier.md"",""docs/maintenance/DOCUMENTATION_MAP.md"",""docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.csv"",""docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.json"",""docs/releases/v49/RELEASE_INDEX.md"",""docs/releases/v49/SOURCE_TREE_FILES.sha256"",""scripts/repository/audit_repository_hygiene.py"",""scripts/repository/build_repository_closure_audit.py"",""scripts/repository/build_v49_release_documents.py""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/audits/v49-runtime-acceptance/agents/R2_runtime_independent_verifier.md""]","[""docs/releases/v49/SOURCE_TREE_FILES.sha256""]",NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.github/workflows/pr-fast.yml,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
.github/workflows/repository-hygiene.yml,.yml,475,c676fa15129d04ff088b03468892e1eb5f3310f0,a94ccdb0fa5513e0b6e959d08778ea6c2754978e7d50d85703f49de8e8e95e04,[],"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]",[],NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.github/workflows/repository-hygiene.yml,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
.github/workflows/small-db-integration.yml,.yml,342,8508171a0196e3d7390d0c5b966b23103cb5d81c,9288fc5dae59f0937cd65ae0cd969b25208765a42419b41b0c7c1450fa631062,[],"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/releases/v49/SOURCE_TREE_FILES.sha256""]","["".github/workflows/repository-hygiene.yml"",""PROJECT_LOG.md"",""README.md"",""docs/README.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/04_RETENTION_CLASSIFICATION.md"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/CHECKSUMS.sha256"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md"",""docs/audits/v49-runtime-acceptance/agents/R2_runtime_independent_verifier.md"",""docs/maintenance/DOCUMENTATION_MAP.md"",""docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.csv"",""docs/maintenance/V49_ACTIVE_SCRIPT_ALLOWLIST.json"",""docs/releases/v49/RELEASE_INDEX.md"",""docs/releases/v49/SOURCE_TREE_FILES.sha256"",""scripts/repository/audit_repository_hygiene.py"",""scripts/repository/build_repository_closure_audit.py"",""scripts/repository/build_v49_release_documents.py""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json"",""docs/audits/v49-runtime-acceptance/agents/R1_runtime_gate_audit.md""]","[""docs/releases/v49/SOURCE_TREE_FILES.sha256""]",NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.github/workflows/small-db-integration.yml,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
.github/workflows/v49-database-freeze.yml,.yml,805,7b12a38601a9e34e6ef402d10e01524a63423686,3ef0d754bae448cda8662ab96ac9a2f623498df4029421336aaafe9d79ad461b,[],"[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]","[""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-repository-inventory.json"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.csv"",""docs/audits/v49-repository-hygiene-and-database-freeze/raw/final-inventory/v49-retention-ledger.json""]",[],NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.github/workflows/v49-database-freeze.yml,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
.gitignore,none,2023,7b62bc532d545c0e73c4d53284fb0b3b6228f419,1f6f64321a384fdfea09de079c4c6ce95ae60d80a4f2667aca6cf2033fce2d47,[],[],[],[],[],NONE,DERIVED,False,False,False,False,False,KEEP_ACTIVE,.gitignore,"current implementation, test, CI, asset, or maintenance file",consumer graph + release anchor + final DB/API/build/hygiene gates
ACCEPTANCE_GATES.md,.md,20053,786cce9cf75bc7923e4f37a1491d01195f2c2f48,11d2eef08ef4d5831f1903ec1882d54a1ed651298855f1f8d9c935768ad865d7,[],[],[],[],[],NONE,DERIVED,False,False,False,False,False,KEEP_CURRENT_DOCUMENTATION,ACCEPTANCE_GATES.md,current or indexed repository documentation,consumer graph + release anchor + final DB/API/build/hygiene gates
