axiom_id	rule	expected_invariant	model_applicability	tested_model_ids	model_result_summary	observed_result	status	failure_count	failed_model_ids	case_sha256	historical_relation	semantic_relation	probability
AX-001	One extremely broad curated container cannot outrank several independent governed matches.	governed_multi_family_score > broad_curatorial_only_score; raw curation remains diagnostic only	SCALAR_AFFINITY_AND_QUERY_RETRIEVAL	M2,M5,M7	M2=PASS;M5=PASS;M7=PASS	M2:governed=0.875;broad=0;M0Broad=1;M0Governed=0 | M5:governed=0.875;broad=0;M0Broad=1;M0Governed=0 | M7:governed=0.91935483871;broad=0;M0Broad=1;M0Governed=0	PASS	0	NONE	bb935f4523acf894acc6d6e4a4911df32486b8f7dab38b3667496084502e8435	false	false	false
AX-002	A duplicate representation of one source fact cannot add affinity.	single_source_fact_score == cross_representation_duplicate_score; contributions are identical and the derived representation is exposed as ignored	ALL_SHORTLIST_MODELS	M2,M5,M7	M2=PASS;M5=PASS;M7=PASS	M2:singleFact=0.875;crossRepresentationDuplicate=0.875;contributionsEqual=true;curatorialContributions=0;ignored=SIG-CURATORIAL-MEMBERSHIP;M0Single=0;M0Duplicated=1 | M5:singleFact=0.875;crossRepresentationDuplicate=0.875;contributionsEqual=true;curatorialContributions=0;ignored=SIG-CURATORIAL-MEMBERSHIP;M0Single=0;M0Duplicated=1 | M7:singleFact=0.91935483871;crossRepresentationDuplicate=0.91935483871;contributionsEqual=true;curatorialContributions=0;ignored=SIG-CURATORIAL-MEMBERSHIP;M0Single=0;M0Duplicated=1	PASS	0	NONE	7aa281328e98000b2bf7c060cf955c92a45fc2e5326a27f386993eaa65394d91	false	false	false
AX-003	Shared unknown, missing, or not-governed states add zero default affinity.	diagnostic_score == 0 and missingness positiveAffinityCredit == 0	ALL_SHORTLIST_MODELS_AND_MISSINGNESS_CHANNEL	M2,M5,M7	M2=PASS;M5=PASS;M7=PASS	M2:score=0;comparability=0;missingCredit=0.0 | M5:score=0;comparability=0;missingCredit=0.0 | M7:score=0;comparability=0;missingCredit=0.0	PASS	0	NONE	64463e088c3378b40072bcd0796ab17a0461caed2cbe2917c2de955eb9b7995d	false	false	false
AX-004	Adding an independent high-information match cannot reduce affinity.	enhanced_independent_match_score >= baseline_score	ALL_SHORTLIST_MODELS	M2,M5,M7	M2=PASS;M5=PASS;M7=PASS	M2:baseline=0.083333333333;enhanced=0.75;delta=0.666666666667 | M5:baseline=0.083333333333;enhanced=0.75;delta=0.666666666667 | M7:baseline=0.10752688172;enhanced=0.790322580645;delta=0.682795698925	PASS	0	NONE	b0e2a91e97a347242adbc820614626300f74099bf210ecb8716695674377297d	false	false	false
AX-005	Adding an unrelated broad curated feature cannot materially increase affinity.	score_delta == 0 while the isolated raw-curation diagnostic changes	ALL_SHORTLIST_MODELS_AND_NEGATIVE_CONTROL_BOUNDARY	M2,M5,M7	M2=PASS;M5=PASS;M7=PASS	M2:before=0.75;after=0.75;delta=0;M0Before=0;M0After=1 | M5:before=0.75;after=0.75;delta=0;M0Before=0;M0After=1 | M7:before=0.758064516129;after=0.758064516129;delta=0;M0Before=0;M0After=1	PASS	0	NONE	3989eee00d24060a6d2129a514da57f1a14238f333e5923da26267abbaf864d5	false	false	false
AX-006	A same-source match alone cannot overwhelm Context or Spacetime evidence.	cross_source_governed_score > same_source_only_score	ALL_SHORTLIST_MODELS	M2,M5,M7	M2=PASS;M5=PASS;M7=PASS	M2:sameSourceOnly=0;governedCrossSource=0.875 | M5:sameSourceOnly=0;governedCrossSource=0.875 | M7:sameSourceOnly=0;governedCrossSource=0.91935483871	PASS	0	NONE	02956fa2c3adbbb00518e3b25fa3a434b34f3b1297b7a545cca2883ddb83bee5	false	false	false
AX-007	A support-1 or support-2 observation cannot create an unbounded contribution.	score remains in [0,1], low-support contribution is capped, and several governed matches outrank one broad curatorial-only match	REQUIRED_M2_M5_M7_WITH_ANALYSIS_ONLY_INTERACTION_CAP	M2,M5,M7	M2=PASS;M5=PASS;M7=PASS	M2:governedMultiFamily=0.886428571429;broadCuratorialOnly=0;trustedSupport2Residual=0.0114285714286;support1PairResidual=0;fabricatedEvidenceRejected=true;M0Broad=1;orderingPass=true;cap=0.1 | M5:governedMultiFamily=0.886428571429;broadCuratorialOnly=0;trustedSupport2Residual=0.0114285714286;support1PairResidual=0;fabricatedEvidenceRejected=true;M0Broad=1;orderingPass=true;cap=0.1 | M7:governedMultiFamily=0.930783410138;broadCuratorialOnly=0;trustedSupport2Residual=0.0114285714286;support1PairResidual=0;fabricatedEvidenceRejected=true;M0Broad=1;orderingPass=true;cap=0.1	PASS	0	NONE	4f90f9adc272691fed77a715ff70810710d87a11815828a12b8942f001967c0b	false	false	false
AX-008	Symmetric-task scores are invariant to pair reversal.	score(left,right) == score(right,left) and family profiles are equal	SYMMETRIC_SHORTLIST_MODELS	M2,M5	M2=PASS;M5=PASS	M2:forward=0.829838568545;reverse=0.829838568545;declaredSymmetric=true | M5:forward=0.8125;reverse=0.8125;declaredSymmetric=true	PASS	0	NONE	6184c6125b9afb070e723cabacb2c7d20739dc33e4d92d7a52d372359dadca2f	false	false	false
AX-009	Query-conditioned asymmetry is declared and reproducible.	forward != reverse, repeated_forward == forward, and symmetric == false	QUERY_CONDITIONED_SHORTLIST_MODELS	M7	M7=PASS	M7:forward=0.809802712538;repeat=0.809802712538;reverse=0.859184355674;declaredSymmetric=false	PASS	0	NONE	0635a67b5b70032f5a36703213d2a0b3d41f1ae50092ee7348b246fcd85e64d4	false	false	false
AX-010	Removing an unavailable family changes comparability and cannot be silent.	comparability ratio falls and the unavailable family is explicitly named	ALL_SHORTLIST_MODELS	M2,M5,M7	M2=PASS;M5=PASS;M7=PASS	M2:completeScore=0.625;completeComparability=1;unavailableScore=0.833333333333;unavailableComparability=0.75;declaredUnavailable=true | M5:completeScore=0.625;completeComparability=1;unavailableScore=0.833333333333;unavailableComparability=0.75;declaredUnavailable=true | M7:completeScore=0.661290322581;completeComparability=1;unavailableScore=0.891304347826;unavailableComparability=0.75;declaredUnavailable=true	PASS	0	NONE	97cccdb09d1dba8542d077207cc460a17d37ba4a20dc1cbce3268428e581d8dc	false	false	false
