signal_id	source_artifact	source_row_family	direct_parent_signals	derived_from_signals	same_source_fact_group	epistemic_level	scoring_disposition	independent_information_candidate	duplicate_for_scoring	interaction_only	diagnostic_only	candidate_generation_allowed	scoring_allowed	explanation_allowed	reason
SIG-CONTEXT-MEDIUM	frontend/generated/trace-context-v1/records.json	records[].representations[kind=medium]			SSF-CONTEXT-MEDIUM	DIRECT_GOVERNED_FACT	INDEPENDENT_BASE_SIGNAL	true	false	false	false	true	true	true	The governed medium membership is the canonical medium source fact.
SIG-CONTEXT-MEDIUM-THEME	docs/research/trace-v49-exploration-discovery-round1/09_TWO_DIMENSION_INTERSECTIONS.tsv	pair_id=medium__theme alias	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-THEME	SIG-CONTEXT-MEDIUM;SIG-CONTEXT-THEME	SSF-PAIR-INTERSECTION-CELL	DEPENDENT_INTERACTION_DERIVATION	EXPLANATION_ONLY	false	true	true	false	false	false	true	This is an alias of the medium-theme cell already represented by the generic pair-interaction carrier.
SIG-CONTEXT-MOVEMENT	frontend/generated/trace-context-v1/records.json	records[].representations[kind=movement_context]			SSF-CONTEXT-MOVEMENT	DIRECT_GOVERNED_FACT	INDEPENDENT_BASE_SIGNAL	true	false	false	false	true	true	true	Published governed movement context is a sparse canonical source fact; absence is not a match.
SIG-CONTEXT-SAME-MEDIUM	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	pairwise comparison derived from medium memberships	SIG-CONTEXT-MEDIUM	SIG-CONTEXT-MEDIUM	SSF-CONTEXT-MEDIUM	DETERMINISTIC_DERIVATION	EXPLANATION_ONLY	false	true	false	false	false	false	true	Pair equality is computed from the canonical medium base and cannot add a second contribution.
SIG-CONTEXT-SAME-MOVEMENT	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	pairwise comparison derived from movement memberships	SIG-CONTEXT-MOVEMENT	SIG-CONTEXT-MOVEMENT	SSF-CONTEXT-MOVEMENT	DETERMINISTIC_DERIVATION	EXPLANATION_ONLY	false	true	false	false	false	false	true	Pair equality repeats the movement source fact and is explanation-only.
SIG-CONTEXT-SAME-THEME	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	pairwise comparison derived from theme memberships	SIG-CONTEXT-THEME	SIG-CONTEXT-THEME	SSF-CONTEXT-THEME	DETERMINISTIC_DERIVATION	EXPLANATION_ONLY	false	true	false	false	false	false	true	Pair equality is computed from the canonical theme base and cannot add a second contribution.
SIG-CONTEXT-THEME	frontend/generated/trace-context-v1/records.json	records[].representations[kind=theme]			SSF-CONTEXT-THEME	DIRECT_GOVERNED_FACT	INDEPENDENT_BASE_SIGNAL	true	false	false	false	true	true	true	The governed theme membership is the canonical theme source fact.
SIG-CONTEXT-THEME-MOVEMENT	docs/research/trace-v49-exploration-discovery-round1/09_TWO_DIMENSION_INTERSECTIONS.tsv	pair_id=theme__movement_context	SIG-CONTEXT-MOVEMENT;SIG-CONTEXT-THEME	SIG-CONTEXT-MOVEMENT;SIG-CONTEXT-THEME	SSF-PAIR-INTERSECTION-CELL	DEPENDENT_INTERACTION_DERIVATION	CANDIDATE_GENERATION_ONLY	false	true	true	false	true	false	true	The sparse cell may retrieve candidates, but any score must pass through the one residual pair-interaction channel.
SIG-CURATORIAL-AFFINITY	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	unselected compound candidate	SIG-CURATORIAL-JACCARD;SIG-CURATORIAL-MEMBERSHIP;SIG-CURATORIAL-SHARED-COUNT	SIG-CURATORIAL-JACCARD;SIG-CURATORIAL-MEMBERSHIP;SIG-CURATORIAL-SHARED-COUNT	SSF-UNSELECTED-CURATORIAL-AFFINITY	UNSELECTED_COMPOUND	REJECT	false	true	false	false	false	false	false	No curatorial score, formula, or weights exist; the compound cannot enter scoring.
SIG-CURATORIAL-CONTAINER-TYPE	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-curatorial-summary.json	publicContainerTypeRows			SSF-CURATORIAL-CONTAINER-TYPE	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Four broad project-curated types diagnose structure but are not independent affinity evidence.
SIG-CURATORIAL-FANOUT	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-curatorial-summary.json	perObjectFanoutThresholds	SIG-CURATORIAL-MEMBERSHIP	SIG-CURATORIAL-MEMBERSHIP	SSF-CURATORIAL-MEMBERSHIP	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Fanout measures candidate explosion caused by the same membership substrate.
SIG-CURATORIAL-HISTORICAL-RELATION	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	explicitly prohibited inference	SIG-CURATORIAL-MEMBERSHIP	SIG-CURATORIAL-MEMBERSHIP	SSF-UNSUPPORTED-CURATORIAL-HISTORICAL-RELATION	UNSUPPORTED_INFERENCE	REJECT	false	true	false	false	false	false	false	Project-curated overlap cannot establish historical relation, influence, contact, or lineage.
SIG-CURATORIAL-JACCARD	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-curatorial-summary.json	rawCuratedJaccardDistribution	SIG-CURATORIAL-MEMBERSHIP	SIG-CURATORIAL-MEMBERSHIP	SSF-CURATORIAL-MEMBERSHIP	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Raw curated-set Jaccard is retained only as M0 negative control and structural diagnostic.
SIG-CURATORIAL-MEMBERSHIP	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-curatorial-summary.json	unique public object-container memberships			SSF-CURATORIAL-MEMBERSHIP	PROJECT_CURATED_RECALL_SUBSTRATE	CANDIDATE_GENERATION_ONLY	false	true	false	false	true	false	true	Raw memberships may support bounded recall and provenance, never independent score credit.
SIG-CURATORIAL-MEMBERSHIP-COUNT	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-curatorial-summary.json	membershipsPerObjectDistribution	SIG-CURATORIAL-MEMBERSHIP	SIG-CURATORIAL-MEMBERSHIP	SSF-CURATORIAL-MEMBERSHIP	ANALYSIS_DIAGNOSTIC	DIAGNOSTIC_ONLY	false	true	false	true	false	false	true	Membership count diagnoses cataloguing density and cannot imply importance or affinity.
SIG-CURATORIAL-SHARED-COUNT	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-curatorial-summary.json	sharedContainerCountThresholds	SIG-CURATORIAL-MEMBERSHIP	SIG-CURATORIAL-MEMBERSHIP	SSF-CURATORIAL-MEMBERSHIP	PROJECT_CURATED_RECALL_SUBSTRATE	CANDIDATE_GENERATION_ONLY	false	true	false	false	true	false	true	Shared-count thresholds may narrow curatorial recall but repeat the raw membership fact for scoring.
SIG-CURATORIAL-SUPPORT	docs/audits/v49-spacetime-closure-exploration-discovery/raw/exploration-curatorial-support-summary.json	containerSupportRows	SIG-CURATORIAL-MEMBERSHIP	SIG-CURATORIAL-MEMBERSHIP	SSF-CURATORIAL-MEMBERSHIP	PROJECT_CURATED_RECALL_SUBSTRATE	CANDIDATE_GENERATION_ONLY	false	true	false	false	true	false	true	Support may attenuate or stop broad postings, but is not an additional pair observation.
SIG-DESCRIPTIVE-CREATOR	frontend/generated/trace-context-v1/records.json	records[].selectedRecord.rootMetadata.creatorAttribution			SSF-DESCRIPTIVE-CREATOR	DIRECT_APPROVED_PUBLIC_METADATA	INDEPENDENT_BASE_SIGNAL	true	false	false	false	true	true	true	Normalized public creator attribution is independently observable when it is not an explicit unknown state.
SIG-DESCRIPTIVE-CREATOR-INTENT	docs/research/trace-v49-exploration-discovery-round1/13_EXPLORATION_SIGNAL_REGISTRY.tsv	explicitly prohibited inference	SIG-DESCRIPTIVE-CREATOR	SIG-DESCRIPTIVE-CREATOR	SSF-UNSUPPORTED-CREATOR-INTENT	UNSUPPORTED_INFERENCE	REJECT	false	true	false	false	false	false	false	Creator attribution cannot establish intent.
