model_id	base_variant_id	ablation_id	ablation_family	k	query_count	mean_top_k_overlap	minimum_top_k_overlap	mean_rank_correlation	minimum_rank_correlation	scoring_effect	learned_weights_used	historical_labels_used
M1	M1-EQUAL-FAMILY	LEAVE_CONTEXT_OUT	LEAVE_CONTEXT_OUT	10	72	0.6097222222222222	0	0.4375821149121484	-0.6470588235294118	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_CONTEXT_OUT	LEAVE_CONTEXT_OUT	20	72	0.6090277777777778	0	0.4017043994334251	-0.6237623762376238	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_CONTEXT_OUT	LEAVE_CONTEXT_OUT	50	72	0.5924999999999999	0	0.3714704023478381	-0.6095617529880478	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_TIME_OUT	LEAVE_TIME_OUT	10	72	0.5902777777777778	0	0.20209111819441833	-0.7101152368758001	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_TIME_OUT	LEAVE_TIME_OUT	20	72	0.6798611111111111	0	0.32577728683141494	-0.6237623762376238	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_TIME_OUT	LEAVE_TIME_OUT	50	72	0.8080555555555555	0	0.5176539135440007	-0.6095617529880478	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_GEOGRAPHY_OUT	LEAVE_GEOGRAPHY_OUT	10	72	0.5208333333333334	0	0.37342638796042715	-0.6470588235294118	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_GEOGRAPHY_OUT	LEAVE_GEOGRAPHY_OUT	20	72	0.4708333333333333	0	0.2489835344710168	-0.6386554621848739	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_GEOGRAPHY_OUT	LEAVE_GEOGRAPHY_OUT	50	72	0.4658333333333333	0	0.16279012900146708	-0.6095617529880478	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_SOURCE_OUT	LEAVE_SOURCE_OUT	10	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_SOURCE_OUT	LEAVE_SOURCE_OUT	20	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_SOURCE_OUT	LEAVE_SOURCE_OUT	50	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_CURATION_OUT	LEAVE_CURATION_OUT	10	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_CURATION_OUT	LEAVE_CURATION_OUT	20	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_CURATION_OUT	LEAVE_CURATION_OUT	50	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_MISSINGNESS_DIAGNOSTICS_OUT	LEAVE_MISSINGNESS_DIAGNOSTICS_OUT	10	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_MISSINGNESS_DIAGNOSTICS_OUT	LEAVE_MISSINGNESS_DIAGNOSTICS_OUT	20	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_MISSINGNESS_DIAGNOSTICS_OUT	LEAVE_MISSINGNESS_DIAGNOSTICS_OUT	50	72	1	1	1	1	DIRECT_SCORER_SENSITIVITY	false	false
M1	M1-EQUAL-FAMILY	LEAVE_INTERACTIONS_OUT	LEAVE_INTERACTIONS_OUT	10	72	1	1	1	1	NOT_APPLICABLE_BASE_HAS_NO_INTERACTIONS	false	false
M1	M1-EQUAL-FAMILY	LEAVE_INTERACTIONS_OUT	LEAVE_INTERACTIONS_OUT	20	72	1	1	1	1	NOT_APPLICABLE_BASE_HAS_NO_INTERACTIONS	false	false
M1	M1-EQUAL-FAMILY	LEAVE_INTERACTIONS_OUT	LEAVE_INTERACTIONS_OUT	50	72	1	1	1	1	NOT_APPLICABLE_BASE_HAS_NO_INTERACTIONS	false	false
M1	M1-EQUAL-FAMILY	REMOVE_LARGEST_CURATED_CONTAINER	REMOVE_LARGEST_CURATED_CONTAINER	10	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	REMOVE_LARGEST_CURATED_CONTAINER	REMOVE_LARGEST_CURATED_CONTAINER	20	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	REMOVE_LARGEST_CURATED_CONTAINER	REMOVE_LARGEST_CURATED_CONTAINER	50	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	REMOVE_DOMINANT_SOURCE	REMOVE_DOMINANT_SOURCE	10	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	REMOVE_DOMINANT_SOURCE	REMOVE_DOMINANT_SOURCE	20	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	REMOVE_DOMINANT_SOURCE	REMOVE_DOMINANT_SOURCE	50	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	BROAD_CONTAINER_STOP_25PCT	CHANGE_BROAD_CONTAINER_THRESHOLD	10	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	BROAD_CONTAINER_STOP_25PCT	CHANGE_BROAD_CONTAINER_THRESHOLD	20	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	BROAD_CONTAINER_STOP_25PCT	CHANGE_BROAD_CONTAINER_THRESHOLD	50	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	BROAD_CONTAINER_STOP_50PCT	CHANGE_BROAD_CONTAINER_THRESHOLD	10	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	BROAD_CONTAINER_STOP_50PCT	CHANGE_BROAD_CONTAINER_THRESHOLD	20	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
M1	M1-EQUAL-FAMILY	BROAD_CONTAINER_STOP_50PCT	CHANGE_BROAD_CONTAINER_THRESHOLD	50	72	1	1	1	1	NONE_CANDIDATE_OR_EXCLUDED_FAMILY_ONLY	false	false
