model_id	variant_id	k	query_count	result_top1_source_share	result_hhi	cross_source_rate	evaluated_result_count	median_maximum_family_share	maximum_family_contribution_p95	one_family_over_80_percent_rate	source_dominated_query_rate	curation_dominated_query_rate	same_source_is_historical_relation	diagnostic_only
M0	M0-RAW-CURATED-JACCARD	20	7995	0.38761726078799247	0.22674342109534532	0.4292870544090056	159900	1	1	1	0	1	false	true
M1	M1-EQUAL-FAMILY	20	7995	0.42826766729205756	0.2964745052117861	0.13872420262664165	159900	0.25	0.4	0.0007004377736085053	0	0	false	true
M2	M2-SMOOTHED_IDF	20	7995	0.42826766729205756	0.2964808284258337	0.13878674171357097	159900	0.25	0.4	0.0007004377736085053	0	0	false	true
M3	M3-IDF-TANIMOTO	20	7995	0.42826766729205756	0.29647454166358667	0.13878674171357097	159900	0.25	0.4	0.0007004377736085053	0	0	false	true
M4	M4-GOODALL-FLOOR-2	20	7995	0.4306441525953721	0.29535716929084427	0.14038774233896184	159900	0.4247298565550124	0.6080526265154704	0.0026016260162601626	0	0	false	true
M4	M4-GOODALL-FLOOR-3	20	7995	0.43051907442151344	0.2953704543294531	0.14040650406504065	159900	0.42732765573862924	0.6080526265154704	0.0026016260162601626	0	0	false	true
M4	M4-GOODALL-FLOOR-5	20	7995	0.4307692307692308	0.2953625490603297	0.14052532833020637	159900	0.42732765573862924	0.6080526265154704	0.002626641651031895	0	0	false	true
M4	M4-GOODALL-FLOOR-10	20	7995	0.4307692307692308	0.29552167157318854	0.14105065666041275	159900	0.4294563065131226	0.6080526265154704	0.003377110694183865	0	0	false	true
M4	M4-GOODALL-FLOOR-20	20	7995	0.4313946216385241	0.296093763339423	0.1424765478424015	159900	0.4294563065131226	0.6080526265154704	0.0043277048155096936	0	0	false	true
M5	M5-GOWER-TEMP-4	20	7995	0.42826766729205756	0.2964745052117861	0.13872420262664165	159900	0.25	0.4	0.0007004377736085053	0	0	false	true
M6	M6-TVERSKY-A0.50-B0.50	20	7995	0.4283927454659162	0.2964756128458961	0.13872420262664165	159900	0.25	0.4	0.0007004377736085053	0	0	false	true
M6	M6-TVERSKY-A1.00-B1.00	20	7995	0.42826766729205756	0.2964745052117861	0.13872420262664165	159900	0.25	0.4	0.0007004377736085053	0	0	false	true
M6	M6-TVERSKY-A0.80-B0.20	20	7995	0.42851782363977486	0.2964800155350377	0.1387179487179487	159900	0.25	0.4	0.0007004377736085053	0	0	false	true
M6	M6-TVERSKY-A0.60-B0.40	20	7995	0.4283927454659162	0.2964756128458961	0.13872420262664165	159900	0.25	0.4	0.0007004377736085053	0	0	false	true
M7	M7-BM25F-QUERY	20	7995	0.4263914946841776	0.2904417120456383	0.10614759224515322	159900	0.3225806451612903	0.38461538461538464	0.000300187617260788	0	0	false	true
