method_id	support_threshold	eligible_observed_cell_count	low_support_cells_excluded	statistic_p50	statistic_p95	statistic_max	parent_contribution_repeated	importance_inference
RAW_SUPPORT	2	3393	3628	6	114.79999999999927	7058	false	PROHIBITED
RAW_SUPPORT	3	2575	4446	9	144.29999999999973	7058	false	PROHIBITED
RAW_SUPPORT	5	1892	5129	16	175.89999999999964	7058	false	PROHIBITED
RAW_SUPPORT	10	1261	5760	31	247	7058	false	PROHIBITED
RAW_SUPPORT	20	848	6173	50.5	384.1499999999993	7058	false	PROHIBITED
CONDITIONAL_SUPPORT	2	3393	3628	0.012987012987012988	1	1	false	PROHIBITED
CONDITIONAL_SUPPORT	3	2575	4446	0.014245014245014245	1	1	false	PROHIBITED
CONDITIONAL_SUPPORT	5	1892	5129	0.017779651045371127	1	1	false	PROHIBITED
CONDITIONAL_SUPPORT	10	1261	5760	0.020042949176807445	1	1	false	PROHIBITED
CONDITIONAL_SUPPORT	20	848	6173	0.023751214212219113	0.9466913234706115	1	false	PROHIBITED
LIFT	2	3393	3628	1.524827944035592	77.87829618323191	27316.25	false	PROHIBITED
LIFT	3	2575	4446	1.7162810513302085	64.35252033887345	27316.25	false	PROHIBITED
LIFT	5	1892	5129	1.9017209047960582	48.60423340961093	10095.89961416097	false	PROHIBITED
LIFT	10	1261	5760	2.0051900688861704	39.19117647058824	3992.1125336927216	false	PROHIBITED
LIFT	20	848	6173	2.0657470209924313	37.852585662400394	1550.6357511467888	false	PROHIBITED
PMI	2	3393	3628	0.4218815801110974	4.355130445151523	10.215237042184363	false	PROHIBITED
PMI	3	2575	4446	0.5401597704812895	4.164246900971413	10.215237042184363	false	PROHIBITED
PMI	5	1892	5129	0.6427592101808162	3.883704840684995	9.219884641601706	false	PROHIBITED
PMI	10	1261	5760	0.6957388537149998	3.6684516314238382	8.292075826836816	false	PROHIBITED
PMI	20	848	6173	0.7254911240938537	3.633683504483846	7.346420287850027	false	PROHIBITED
NORMALIZED_PMI	2	3393	3628	0.0691143681751595	0.6480554659262722	1	false	PROHIBITED
NORMALIZED_PMI	3	2575	4446	0.09222032953486371	0.6793805176220844	1	false	PROHIBITED
NORMALIZED_PMI	5	1892	5129	0.11664547712261997	0.6814492113860611	1	false	PROHIBITED
NORMALIZED_PMI	10	1261	5760	0.1380479515366917	0.6582320328185948	1	false	PROHIBITED
NORMALIZED_PMI	20	848	6173	0.15433459259065277	0.7074813416034031	1	false	PROHIBITED
LOG_LIKELIHOOD_RATIO	2	3393	3628	7.175981687754366	179.1586947167528	7508.013143287778	false	PROHIBITED
LOG_LIKELIHOOD_RATIO	3	2575	4446	11.56652825747006	244.25062175031832	7508.013143287778	false	PROHIBITED
LOG_LIKELIHOOD_RATIO	5	1892	5129	18.647357961884808	330.8738193914216	7508.013143287778	false	PROHIBITED
LOG_LIKELIHOOD_RATIO	10	1261	5760	29.241509850617213	515.780650493419	7508.013143287778	false	PROHIBITED
LOG_LIKELIHOOD_RATIO	20	848	6173	48.02391925983561	707.3932172467486	7508.013143287778	false	PROHIBITED
SMOOTHED_LIFT	2	3393	3628	1.6292940618009335	84.35198763629933	26244.217141944966	false	PROHIBITED
SMOOTHED_LIFT	3	2575	4446	1.7598012748647736	67.53627798984242	26244.217141944966	false	PROHIBITED
SMOOTHED_LIFT	5	1892	5129	1.928716524860385	48.35956719199709	10184.38095844915	false	PROHIBITED
SMOOTHED_LIFT	10	1261	5760	2.0204119443654274	38.496469833119384	3970.294298812855	false	PROHIBITED
SMOOTHED_LIFT	20	848	6173	2.072037277693515	37.64902892821285	1542.0362422588169	false	PROHIBITED
SHRUNK_NORMALIZED_PMI	2	3393	3628	0.036738107388933065	0.4198364511381296	1	false	PROHIBITED
SHRUNK_NORMALIZED_PMI	3	2575	4446	0.05811920060894456	0.48423613095864176	1	false	PROHIBITED
SHRUNK_NORMALIZED_PMI	5	1892	5129	0.08651834004748224	0.5299218703693497	1	false	PROHIBITED
SHRUNK_NORMALIZED_PMI	10	1261	5760	0.11633045668451318	0.5888289017122701	1	false	PROHIBITED
SHRUNK_NORMALIZED_PMI	20	848	6173	0.1404416462043913	0.6366502629629672	1	false	PROHIBITED
