packet_row_id	anchor_public_id	anchor_title	anchor_selection_strata	blind_profile_slot	candidate_ordinal	candidate_public_id	candidate_title	retrieval_reasons	shared_independent_signals	distinctive_signals	unavailable_families	comparability_ratio	anchor_source_name	candidate_source_name	source_composition	source_bias_notes	interaction_evidence	useful_for_further_exploration	explanation_intelligible	merely_broad_category	new_defensible_research_direction	accidental_relation_suggestion	reviewer_notes	human_review_completed	historical_relation	semantic_relation	probability
HR-001-PROFILE-1-1	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-1	1	SURF-GALYEAR1817V1R0002	Affiches, annonces et avis divers, ou Journal général de France	context; curatorialRecall; descriptive; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-1-2	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-1	2	SURF-GALYEAR1817V1R0004	Almanach lyrique des dames	context; curatorialRecall; descriptive; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-1-3	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-1	3	SURF-GALYEAR1817V1R0005	Almanach critique et littéraire de Paris	context; curatorialRecall; descriptive; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-1-4	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-1	4	SURF-GALYEAR1817V1R0003	Voyage pittoresque de Constantinople et des rives du Bosphore, d'après les dessins de M. Melling, dessinateur et architecte de Hadidgé-Sultane, soeur de l'empereur. Un volume in-folio, format atlantique. Prospectus.	curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT	context; descriptive		1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-2-1	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-2	1	SURF-GALYEAR1817V1R0002	Affiches, annonces et avis divers, ou Journal général de France	context; curatorialRecall; descriptive; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-2-2	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-2	2	SURF-GALYEAR1817V1R0004	Almanach lyrique des dames	context; curatorialRecall; descriptive; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-2-3	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-2	3	SURF-GALYEAR1817V1R0005	Almanach critique et littéraire de Paris	context; curatorialRecall; descriptive; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT			1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-2-4	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-2	4	SURF-GALYEAR1817V1R0003	Voyage pittoresque de Constantinople et des rives du Bosphore, d'après les dessins de M. Melling, dessinateur et architecte de Hadidgé-Sultane, soeur de l'empereur. Un volume in-folio, format atlantique. Prospectus.	curatorialRecall; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-EXTENT	context; descriptive		1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-3-1	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-3	1	SURF-GALYEAR1817V1R0002	Affiches, annonces et avis divers, ou Journal général de France	context; curatorialRecall; descriptive; geography; temporal	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-DECADE			1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
HR-001-PROFILE-3-2	SURF-GALYEAR1817V1R0001	Affiches, annonces et avis divers, ou Journal général de France	PATHOLOGICAL:AGGREGATE_ONLY_GEOGRAPHY;RARE_SOURCE:EXP:SOURCE:2594c96bc03bd03f2d0455ed1377ad97449051be68e7ad297ddf78153bcf01bb	PROFILE-3	2	SURF-GALYEAR1817V1R0004	Almanach lyrique des dames	context; curatorialRecall; descriptive; geography	context:SIG-CONTEXT-MEDIUM; context:SIG-CONTEXT-THEME; descriptive:SIG-DESCRIPTIVE-OBJECT-TYPE; geography:SIG-GEOGRAPHY-ASSIGNMENT; temporal:SIG-TEMPORAL-DECADE	temporal		1	Gallica / BnF APIs	Gallica / BnF APIs	SAME_GOVERNED_SOURCE_NAME	SAME_GOVERNED_SOURCE_REPORTED_WITH_ZERO_AUTOMATIC_CREDIT								false	false	false	false
