parent_checkpoint_sha	input_ordinal	path	input_role	bytes	input_record_count	sha256	pinned_sha256	pin_match	record_sha256
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	1	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/candidate-trigger-occurrence-ledger-v2.tsv	IMMUTABLE_CHECKPOINT004_OCCURRENCE_UNIVERSE	511711	359	1685e5bfdab735657ce78499b2597e6a20aecd7402d97f515b162a5d16009cd6	1685e5bfdab735657ce78499b2597e6a20aecd7402d97f515b162a5d16009cd6	true	4d487a702d08ac498b50dce333ffb92013c96e3b214b83b43b377ebe7145ac7c
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	2	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-family-ledger-v2.tsv	IMMUTABLE_CHECKPOINT004_FAMILY_UNIVERSE	63337	35	cd4c3ca997c0f4cd5919d4e29d89ca45291fae4f70f78a49742aafb9c76baea7	cd4c3ca997c0f4cd5919d4e29d89ca45291fae4f70f78a49742aafb9c76baea7	true	f9dc3ddd2e42e5bc61eebfb9b68e2cd5473eeeb012178fcca358fe39274ad8c7
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	3	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/concept-sense-crosswalk-v1.tsv	IMMUTABLE_PARTICIPANT_SENSE_AUTHORITY	75857	65	dfc1751482f3e74de78c2a94fd46f20eb3538d26e8c6bbf94482cac9534e770a	dfc1751482f3e74de78c2a94fd46f20eb3538d26e8c6bbf94482cac9534e770a	true	733bfef4b3b1851cd83c39e5bea448f22f986c68e00e6c2548648f52a93e8a4a
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	4	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-census-v2.json	IMMUTABLE_CHECKPOINT004_HEADLINE_AND_CLOSURE_BOUNDARY	93728	1	b40e28810aa59a0e2ac926e403cf45ba9b032b465ee54a62fd7e32b2f6e4fe31	b40e28810aa59a0e2ac926e403cf45ba9b032b465ee54a62fd7e32b2f6e4fe31	true	d18565c3912ca8471e3ffb1e62621895b3b5ecbdd24b40c25fc40fd260157b62
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	5	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/higher-order-association-method-v1.json	GOVERNED_EVIDENCE_AND_ACTIVATION_METHOD	5385	1	f37ff8aa97d3c9a0d417ee0a9e6ef96971b0c0985bf88bf7bb59af8da8d106e7	f37ff8aa97d3c9a0d417ee0a9e6ef96971b0c0985bf88bf7bb59af8da8d106e7	true	c2b907701a7617cdd448feeeba18d4499783789574b2d1c9c857177eead1de35
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	6	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/association-disposition-taxonomy.tsv	EXACT_GOVERNED_DISPOSITION_TAXONOMY	2736	12	20248f9d62f672f88ce1aa691e059e6459747deb9674a3b600ac9959465b165d	20248f9d62f672f88ce1aa691e059e6459747deb9674a3b600ac9959465b165d	true	7f0df1c28ee047eacf7b37b788d075e83bb18bce355762d67112de3c54b64f65
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	7	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/database-discovery-occurrence-ledger-v2.tsv	FROZEN_DATABASE_DISCOVERY_OCCURRENCE_AUTHORITY	18735	11	f0bd85a860bd4e14d2010ec3bf361a2830975a4ab9927373fc7d7f32fade3f13	f0bd85a860bd4e14d2010ec3bf361a2830975a4ab9927373fc7d7f32fade3f13	true	a01d01fa4d54ba8aa8fde8462a3aaa8d707fb5256221919b94c6d2f162115132
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	8	docs/audits/v49-exploration-full-space-closure-round1/raw/validated-association-graph-v2.json	IMMUTABLE_ROUND16A_ACTIVE_PAIR_BASELINE	20163	1	1dee15d7cc0a9aa25f2a4a0fd7a352d2df5e7eacf88bd71badec5ebd476063bd	1dee15d7cc0a9aa25f2a4a0fd7a352d2df5e7eacf88bd71badec5ebd476063bd	true	fb866c8d9ec05a98893849a1bf45cd606f3551c148e95bc47194265e228bc38d
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	9	docs/audits/v49-exploration-association-calibration-round1/raw/association-calibration.tsv	HARD_NEGATIVE_AND_PAIR_ASSESSMENT_AUTHORITY	20677	35	cbb41db463dafcd43da4779e2db271fd2c1df0b4c769d5ea1d59bb8fa52333b8	cbb41db463dafcd43da4779e2db271fd2c1df0b4c769d5ea1d59bb8fa52333b8	true	6d2c3033ec523b166016ed97b88769e9345072a4de415a7f04d5ebdd9a4a9dba
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	10	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/evidence-occurrence-disposition-tranche-a-v1.tsv	PUBLISHED_TRANCHE_A_OCCURRENCE_DISJOINTNESS_AUTHORITY	162177	112	fc5f9716838af109f3b1c5e097cbefe6c8dd58f37210e7562b67bd8c80e717a9	fc5f9716838af109f3b1c5e097cbefe6c8dd58f37210e7562b67bd8c80e717a9	true	2d01e590912777528d5bd118ac5f486c808f01744768236af9d39f0b431b8036
