parent_checkpoint_sha	review_tranche	queue_id	parent_candidate_id	parent_family_ordinal	queue_action	scope_key	scope_label	proposed_participant_sense_ids_json	proposed_relation_form	candidate_support_mode_if_reviewed	evidence_occurrence_ids_json	active_pair_refs_json	case_time_geography_institution_actor_mechanism_note	required_scope_or_sense_resolution	rights_review_status	source_text_review_status	human_review_status	counterevidence_review_status	queue_status	association_identity_created	association_active	pair_projection_created	product_eligibility	explicit_nonclaims_json	record_sha256
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:251bbaa02068013d0d52b8c3bff9017c91f4c91b993cf4a102e99d1a38114ead	R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	2	SCOPED_CHILD_ASSOCIATION_REVIEW	PCM_2009	2009 Production–Consumption–Mediation paradigm	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	INCIDENCE_HYPEREDGE	COHERENT_COMPOSITE_SUPPORT_CANDIDATE_NOT_DECIDED	"[""R16B-TRIGGER-OCC:66fbdbd1bccb2d3e6d8a509c0320b1434cba04147ada60f6e995a66b2a2dba77""]"	"[""R16A-PAIR:27598c04934f3d33ad80dfb1aecc18d272cf86ee7fe3a726a95aae81144dfb06"",""R16A-PAIR:818cc370417319af9a65fec5211969862df5c48a821265533ba289932e57b18c"",""R16A-PAIR:a364e4ea20e2f9e24e1fc980dc1ab703ae69a0fc86aa626a14e45cca0ea3bbb2""]"	One 2009 PCM methodological case; designed channels/devices, meaning inscription, producer/institution and consumer/user roles.	Freeze one PCM case identity and distinguish mediation process from channel/device roles.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	885857defed82dc4e10f76f904e54c66e3254c089c6d47f4f5b009e6d51da727
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:8157d59902f23c6641afa9985973a61733c0196a97b7512223ba70ba47927d13	R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	2	SCOPED_CHILD_ASSOCIATION_REVIEW	DIGITAL_PCM_2026	2026 digital Production–Consumption–Mediation configuration	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	INCIDENCE_HYPEREDGE	MIXED_DIRECT_AND_COMPOSITE_SUPPORT_CANDIDATE_NOT_DECIDED	"[""R16B-TRIGGER-OCC:155b9e43f2600a0a9873b07a72216ec28db5dc5e42606ef54e6942730bc022aa"",""R16B-TRIGGER-OCC:61ad00846aeb8b4874c0462f67408059a2282c56a6253d86e80ad2a1fe0be315"",""R16B-TRIGGER-OCC:b2cedc8d85b6f9246ddc35929f97b08664ece545a67f24d2d23643f338e71abe""]"	"[""R16A-PAIR:27598c04934f3d33ad80dfb1aecc18d272cf86ee7fe3a726a95aae81144dfb06"",""R16A-PAIR:818cc370417319af9a65fec5211969862df5c48a821265533ba289932e57b18c"",""R16A-PAIR:a364e4ea20e2f9e24e1fc980dc1ab703ae69a0fc86aa626a14e45cca0ea3bbb2""]"	One 2026 digital design-history case; platforms, algorithms, digital objects, users, data and third parties.	Freeze the digital case and separate mediation as practice from device/platform mechanisms.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	4791e727b08c74985af927acb1b51b96579652818f9f63d4593f21e3d738dca0
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:24f4892aa686a0bd598d4804740a81645f02786ac523060e6370b7c66ccdfd4d	R16B-LOCAL-FAMILY:7e0a0ee4f78d2f565c4f7771653ecc5a27828dd9fb704139d1e068f2a5fdce64	2	SCOPED_CHILD_ASSOCIATION_REVIEW	POLISH_DESIGN_FIELD_2021	2021 Polish design-historiography field configuration	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159""]"	INCIDENCE_HYPEREDGE	DIRECT_HIGHER_ORDER_SUPPORT_CANDIDATE_NOT_DECIDED	"[""R16B-TRIGGER-OCC:9f22a09e69347587587e1316916b9b471a4b87958875f3633436f488a0264d9f""]"	"[""R16A-PAIR:27598c04934f3d33ad80dfb1aecc18d272cf86ee7fe3a726a95aae81144dfb06"",""R16A-PAIR:818cc370417319af9a65fec5211969862df5c48a821265533ba289932e57b18c"",""R16A-PAIR:a364e4ea20e2f9e24e1fc980dc1ab703ae69a0fc86aa626a14e45cca0ea3bbb2""]"	One 2021 Polish design-historiography abstract; institutions and mediators between production and consumption.	Review the source text/translation and bind the Polish field, institutions and mediator roles.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	32f02f8a81b716c779bcf6f042f18430504e68a0fd1b1cdf13c71d23352df25e
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:d213e6bd28fbf04b860acccd1a463ac9980ab4441acaf2f20dd6f00e20803ce0	R16B-LOCAL-FAMILY:b19df183e2e9eb0dd6b0a3bccc95944aebf625d45faf01908eaddae994c97e67	3	SCOPED_CHILD_ASSOCIATION_REVIEW	PCM_DESIGNED_DEVICE_2009	2009 PCM designed-good mediating-device case	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159"",""R16B-SENSE:5e7794a5a8ffdd590f850eef513993204d95e59ae28e9b35eb74c2124a47ee5b""]"	INCIDENCE_HYPEREDGE	DIRECT_HIGHER_ORDER_SUPPORT_CANDIDATE_NOT_DECIDED	"[""R16B-TRIGGER-OCC:2d582e66de4757f64de92f01d048fc8259763ca1e9ad4b001c08bf8b3fa678c7""]"	"[""R16A-PAIR:a364e4ea20e2f9e24e1fc980dc1ab703ae69a0fc86aa626a14e45cca0ea3bbb2""]"	One 2009 designed-good case between production and consumption.	Freeze the designed-good/device sense and the specific producer/institution and user/consumer roles.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	58828e2e519cc1d4fcf019663676adfa339c423f0297502eec02bb55a4462c53
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:fa7a32de6380b4a855b76044bf1d2e347fd25eb7a5d4403e74f17f23e5db7dd6	R16B-LOCAL-FAMILY:b19df183e2e9eb0dd6b0a3bccc95944aebf625d45faf01908eaddae994c97e67	3	SCOPED_CHILD_ASSOCIATION_REVIEW	DIGITAL_DEVICE_2026	2026 digital-object mediating-device case	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159"",""R16B-SENSE:5e7794a5a8ffdd590f850eef513993204d95e59ae28e9b35eb74c2124a47ee5b""]"	INCIDENCE_HYPEREDGE	DIRECT_HIGHER_ORDER_SUPPORT_CANDIDATE_NOT_DECIDED	"[""R16B-TRIGGER-OCC:57947a0bbabcbf9a5ef7018e3dc25fd37fd0ae8c6584aa39f7dd77daa7fb2607""]"	"[""R16A-PAIR:a364e4ea20e2f9e24e1fc980dc1ab703ae69a0fc86aa626a14e45cca0ea3bbb2""]"	One 2026 digital-object case with platform rules, algorithms, data flows, users and third parties.	Freeze the digital-device sense, actor set and data/platform mechanism.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	13dee04a1dabb9913b673e744211db4b51cceb4304a59a6b4ea1d28b190a8fae
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:b0065d1fb00d086aa1e3fa76f10631f513bf363104789821521b67d1c8a08baf	R16B-LOCAL-FAMILY:3cd10180090e141ef9c63f03a217b2bae056c52da1a52850736c3b580dd533b7	4	SCOPED_CHILD_ASSOCIATION_REVIEW	PCM_MEDIATING_CHANNEL_2009	2009 PCM mediating-channel case	"[""R16B-SENSE:06c230c771547ee49390903e0bad7aaf44063613309c93bcbd72e808116af4c6"",""R16B-SENSE:419a96e12217bfa4ed031510c32033cb2408489e3abb14eb28291b13c068e159"",""R16B-SENSE:5ea36372086b196bba3dc36bef959a30618df567e74bf17256365b21c301ec4c""]"	INCIDENCE_HYPEREDGE	DIRECT_HIGHER_ORDER_SUPPORT_CANDIDATE_NOT_DECIDED	"[""R16B-TRIGGER-OCC:fe71e5e89a9d62c4e3c067c7ac6ecc7053828c3e81b45ac6c557016cfc09180e""]"	"[""R16A-PAIR:a364e4ea20e2f9e24e1fc980dc1ab703ae69a0fc86aa626a14e45cca0ea3bbb2""]"	One 2009 PCM designed-channel case linking production and consumption with meaning inscription.	Freeze the named channel and mediated variable; reject any-conduit generalization.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	def9c0762e8ce9a42996c7dcf6ed5318a6aab4bffb7af10790ebd5551bea9e0a
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:87b71ff3bd8457e09dd9672824f6e69b8418792f77595628113ca9574a9d4a91	R16B-LOCAL-FAMILY:1d76bf657bbdec293265d051268a2a1153be0108b15a8d63ebbf2cb98cf6f06a	5	SCOPED_CHILD_ASSOCIATION_REVIEW	RECIPROCAL_LANDSCAPES_MATERIAL_CHAIN_2013	2013 named landscape-material-chain case	"[""R16B-SENSE:0ebc966b965fc5703be0f4bae727d337f32d83eb7db9066e926a2530dcfa0171"",""R16B-SENSE:61aaade597c45243fcdef0d2514fc52f58a066ae5c9f4ad550727cb75b124f64"",""R16B-SENSE:697603bbe891d791295d478b3b16d10add9bdab1fd92826d63d8b630f3779cfb""]"	INCIDENCE_HYPEREDGE	COHERENT_COMPOSITE_SUPPORT_CANDIDATE_NOT_DECIDED	"[""R16B-TRIGGER-OCC:987db5e0e8ec91871cd4c72ac58a3a9656b45968fa46c0ddc32b4ed51ef7e6f7""]"	"[""R16A-PAIR:43fa33f1a987090224619eb68e83d246be7705f94d1b2e364bdfb2b73fc1a94f"",""R16A-PAIR:891e0c3d300d8c4af59fbef2f00d164ee9c22df4148122c54ed84daee1dcb37e"",""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	One 2013 source/locator concerning production and consumption sites, material displacement, supply chains, ecology and labor.	Freeze the named material chain, exact sites, geography, materials and labor/ecology mechanism.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	4eb304faf60603eded01c8dc51a1b601678d430d7c1e5cb3cab3fc4120051ffd
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:3bba26a900cbd349e62b0635c91dc5c120a0bea9d42952b46cb7585dda6e1774	R16B-LOCAL-FAMILY:de6643ced4014989a08d0517a4c72ea1ccb91d6f95be3303c35997dd8c3df9c1	6	REROUTE_REJECTED_CASE_LABEL_TO_PAIR_SCOPE	PARIS_1867_BRAZILIAN_EXPOSITION	Paris 1867 Brazilian imperial exposition case	"[""R16B-SENSE:14bd96e324918cf3d87ed84253055004be79647294bf62a305ccf9a65a46b863"",""R16B-SENSE:eaa21928082dae77f8ed71bcf1d7f7c5409020e0b599c7cb9621380f5a3ae42d"",""R16B-SENSE:f1dafc6df9c9a66b0b7c19d34606a2ed638c193dc7047afb8a1f83b3d564ebc1""]"	PAIR_SCOPE_QUALIFICATION_NOT_HIGHER_ORDER_CHILD	BOUNDED_PAIR_CASE_QUALIFICATION_CANDIDATE	"[""R16B-TRIGGER-OCC:b00ad15cf61cacd84e52e538acfeacfb4ee0b42e14d32b343c2c87ee6aff87c8""]"	"[""R16A-PAIR:85e32fbf7d295e72068df767318096879ed6af2c4af16cadd1313e3fca88fa26""]"	One Paris 1867 exposition case; tropical nature/raw materials are common targets of gendering and commodification.	Represent Brazilian exposition as case scope, not as a vocabulary participant or third node.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	1dc5dde6edbe3996e1623e459915baa7259f1e6d8676d3fcf6ade566e923da40
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:b2ddc4ee99a29fb81d8e459fd81249deaab9fadbcce51ed932856afd7a40ae38	R16B-LOCAL-FAMILY:33a113b724e4e0088fd1c0fa77ea8757112a289ca51e8a441f9111b96697646a	7	REROUTE_MODIFIED_TERM_TO_BINARY_ROLE_SCOPE	BUENOS_AIRES_MID_CENTURY	Mid-twentieth-century Buenos Aires design-exchanges case	"[""R16B-SENSE:1ccf80ed841858129d779749dbe51f60404ff6350be17abe450dfb79232bbffb"",""R16B-SENSE:558fbce86fd52c24f8d10f6d63fa017bd5356266e29792d4b3bd06a96ca7f67b"",""R16B-SENSE:d64e354e773ad525c74ef0abf45d30833bbdfbf850a823a632965c89574c529d""]"	BINARY_ROLE_OR_LEXICAL_SENSE_REVIEW_NOT_HIGHER_ORDER_CHILD	BOUNDED_BINARY_ROLE_REVIEW_CANDIDATE	"[""R16B-TRIGGER-OCC:d9e45fcc8872a7adb28cd464937dc5e704d4762a7e81379f3ecaa30f9e546ed9""]"	[]	One Buenos Aires source/locator with a title-level design-exchanges container and a repeated creative-appropriation phrase.	Resolve whether creative appropriation is a modified bounded sense/role of appropriation; do not make the container a participant.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	9522e2a9d4d5c929bcf660156348edb72242c4db15884ce4583e52ecbbf78264
068c92151a935cfb9e4adc36b150c6800a6de9a2	CHECKPOINT-005-EVIDENCE-TRANCHE-A	R16B-CONDITIONAL-REVIEW:65b4ec47b0ea30716909415ccd8a1aead033a00a22cb473e330484ecf5617105	R16B-LOCAL-FAMILY:eaa73d3eac5e2a533cb50baf9955efb5a9c848bddbecdd05b6b59d30a1aa508b	9	SCOPED_CHILD_ASSOCIATION_REVIEW	TEJO_REMY_CHEST_OF_DRAWERS_2016	2016 Tejo Remy chest-of-drawers mobility case	"[""R16B-SENSE:35489187871bfd7b7be6e2d5268a3a922984d3bdad9e9a8ca61ea6edee84a5a7"",""R16B-SENSE:74959afea7f94773eca66c42bbaabe55d3f5ac814d8b2f8efd05921e7e76aa78"",""R16B-SENSE:e49dd7c1bc4c519c2b2b6f27fda45281c12357afea73b60459f8f35cb7334e22""]"	INCIDENCE_HYPEREDGE	DIRECT_HIGHER_ORDER_SUPPORT_CANDIDATE_NOT_DECIDED	"[""R16B-TRIGGER-OCC:a1a38cdef01d804e81c40d530291da7c0d5584c04582943eb8ff1f13cb26bc4f""]"	[]	One 2016 object-biography case; Tejo Remy's chest is constituted through mediation and changing cultural settings.	Freeze the cultural-mobility sense, object role, itinerary and reception-change scope.	OPEN	OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT	OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW	OPEN_FALSIFICATION_AND_CONFLICT_SEARCH	CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION	false	false	false	INELIGIBLE_PENDING_ALL_GOVERNED_GATES	"[""queue membership is not a governed association disposition"",""candidate support mode is a review hypothesis, not support"",""no pair relation, direction, role, cause, chronology, hierarchy, influence, similarity, or transitivity is inferred""]"	a5e074ff5298c777b1f0cbff8bfe4a8409c14a95e2339412980c0384cfb4ed3a
