authority_base_sha	shard_id	applicability_record_id	ordinal	candidate_key	participant_labels_json	trigger_id	trigger_name	applicability	trigger_occurrence_id	occurrence_emitted	rationale	activation_created	product_path_created	pair_projection_created	record_sha256
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:f98b0ab1c9874e5d337372544dc552320df5e10c9fcbff93db355870f46a9c3f	1	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-001	EXPLICIT_NARY_GRAMMAR	NOT_APPLICABLE		false	No governed n-ary grammar record declares this exact participant set.	false	false	false	12f083432e5bfd764daf50b2930ef75e19e6440f78e99f009532525617cab9ba
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:2448168174af99ca40c05cc8e496c206b00099f0bd6665ab7edbe3d653832154	2	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-002	SAME_LOCATOR_MULTI_CONCEPT	APPLICABLE	R16B-EXTERNAL-TRIGGER:59367edbadd91733e4ab8a1d48a234fa8123a116e29ef9645f1d334c9e528b3d	true	The source's bounded historiographic argument joins the three proposed senses.	false	false	false	36c82d83c6a868bca4324e3929b637649ca02f41e263819c510a8b494479ce3b
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:fa10fbb28c6362dbcdb37937bf7f9419632fbe472bfb2c0e0c6b689291824c15	3	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-003	SHARED_CASE_SOURCE_BUNDLE	NOT_APPLICABLE		false	The hypothesis is one bounded source argument, not a synthesis of two or more separately governed evidence records sharing a case.	false	false	false	51846c0e7ab476f761f9bbcb0a627a701c991b5e29e1fe6d7cab516c9e83f6dd
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:3d61728ac1adbf55b9de31ea55a27bb1d5c93e22a394de5c540c063e42a89fd0	4	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-004	PRIOR_PRODUCT_OR_COMPOSITION	NOT_APPLICABLE		false	No prior Round 12-16A product or composition contains this exact semantic participant set.	false	false	false	2efeccbee1dec800c9eb74ef96432ae9e533203fe2ba58f4a657f9a935f87ca8
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:be2930b6773a524ba679f7b80cd011295bffafa7b7dbdb34a33a45ad67f36af4	5	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-005	ISOLATED_ACTIVE_VOCABULARY	APPLICABLE	R16B-EXTERNAL-TRIGGER:36d2fe9e69e7b63a0d14ce9ddeee829f1ec6c5c72681df86cbd7dcd9977efc9f	true	Canonization is active and isolated in the Round 16A pair graph.	false	false	false	86f0cfe200694c66ae393d99d0b8250c852ea8a59955430e34730386875f2b01
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:c96b0b8d7f586e60b3287b5d95ce79c55701df9b464104c73153d8e8bc7e4dc0	6	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-006	RESEARCH_ONLY_BOUNDED_SENSE	APPLICABLE	R16B-EXTERNAL-TRIGGER:e026d5779c9cba453553c7187816c080b224c4f468c7b9b782efa0e214488c4b	true	Exclusion is governed research-only and appears in the bounded multi-concept locus.	false	false	false	ff9cc393743cdbb92491056ac53cea4085088d07403864bde8851d66621fa741
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:4babd8814d0058dd0c19f0ca3ee9a6ff4ee7829ca0c0f33e567ba3dbe0be3741	7	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-007	NEGATIVE_OR_NEAR_MISS_CONTROL	NOT_APPLICABLE		false	No prior governed negative or near-miss control identifies this exact candidate; counterevidence is recorded within the inquiry review.	false	false	false	123265039d3783fb4d43307393f8afb457d3081bddf9273ed5a700b8a4d9fc4e
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:fdc7b78e8fa9292b18d7da2f52eea18178578dec28fccc364dc69df4f96a3b7a	8	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-008	OVERLAP_AND_RECONCILIATION	NOT_APPLICABLE		false	The two external candidates neither overlap nor nest and have no prior-product mapping conflict at this checkpoint.	false	false	false	2cefce705f0a359bc4481a45d92d80ec945278ea0c4ec0a0d2f3d3540227f5a3
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:7028d84a0d7197bc820e5f1d3cf91b955818402b15b3c3a8b59ce94676bab7b4	9	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-009	DATABASE_PROVENANCE_DISCOVERY	NOT_APPLICABLE		false	No database or archive-provenance co-case query generated this candidate.	false	false	false	83f3a52249247bff6fe99ec41a8d485acc825af04679a6eb959ad6901e1b3726
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:0edd54e744efc5af72ac32dcd1cae70d304cfe15f6446f6d9e0de63b00c4768b	10	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-010	ADAPTIVE_EXTERNAL_SEARCH	APPLICABLE	R16B-EXTERNAL-TRIGGER:fc0df1c15776eb5bff415fd135b6c85d69aba91409cc5c4918a3b832b8bc65f3	true	Adaptive external discovery and falsification queries produced the reviewable source path.	false	false	false	92ebf5d589075ce4b52dabcacdccceb4aa1736e06f48a32153e23c6dfa0b0f57
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:4f0c77e9383e0e8b568e0955f8c93301aced2a217806d961ba485003f8f2bfb7	11	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-011	COUNTEREVIDENCE_AND_FALSIFICATION	NOT_APPLICABLE		false	The candidate is inactive and product-ineligible; falsification searches were still performed, while the separate COMP-EVID-018 correction records the canonical counterevidence behavior.	false	false	false	9e290021af4fa889f708f7c9d3cb247f7e9800a3eebeca180fe310e48fc53429
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:4bed930a7d2a3b25a3302b4d0c8ec0c835c7f275be7312c14edfb2795fb724db	12	EXT-S2-001	"[""canonization"",""exclusion"",""gendering""]"	TRG-012	RECURSIVE_GAP_DISCOVERY	NOT_APPLICABLE		false	The candidate uses already governed arity and source-pattern classes; recursive gap review remains open at the tranche level rather than generating this identity.	false	false	false	2f3d5081026b35260150b2501424ae018b6d7626f74b537b76597bc350c37407
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:560700f332a0e5e6b1a76a2ce43fe20570060aab6827a32331e53395352f64fe	13	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-001	EXPLICIT_NARY_GRAMMAR	NOT_APPLICABLE		false	No governed n-ary grammar record declares this exact participant set.	false	false	false	1e8d2f116756846a519681fe2fb7c9a29627f6cda116d39f87e217f6379d4524
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-EXTERNAL-TRIGGER-APPLICABILITY:39d0472ceb63b790d51a27d3f8203019bf81f19efde5e52c29573c776a423772	14	EXT-S2-002	"[""commodification"",""mediation"",""mobile object""]"	TRG-002	SAME_LOCATOR_MULTI_CONCEPT	APPLICABLE	R16B-EXTERNAL-TRIGGER:1f5e02bd89a59eefff2ee86e7a0bd88a0cea8c0ab6391053d940c5de59cbe448	true	One source argument follows one painting through mobility, mediation, and market-conditioned reuse.	false	false	false	8556dab561f61c17c26cf67970f2f45f717003ede47ea339ae13ad9ec6cfdaa8
