evidence_authority_base_sha	shard_id	batch_id	batch_timestamp_utc	timestamp_capture_status	query_ordinal	query_id	service	purpose	exact_query_text	normalized_query_text	parameters_json	target_source_id	result_identity_json	stable_locators_json	access_condition	query_decision	evidence_use	rejection_reason	record_sha256
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-001	2026-08-28T08:05:01Z	EXACT_CAPTURED_UTC	1	R16B-ADAPTIVE-QUERY:28934263a70b108b6619a55ffdc82c5d5fee53a4b8fcdc99fa3e76b700134e7e	ROOT_WEB_SEARCH_TOOL	SOURCE_TEXT_DISCOVERY	"""Introduction: Professionalization as a Focus in Interior Design History"" accepted manuscript PDF Grace Lees-Maffei"	"""introduction: professionalization as a focus in interior design history"" accepted manuscript pdf grace lees-maffei"	"{""query_text_exact"":""\""Introduction: Professionalization as a Focus in Interior Design History\"" accepted manuscript PDF Grace Lees-Maffei""}"	COMP-SRC-001	"{""doi"":""10.1093/jdh/epn007"",""source_id"":""COMP-SRC-001""}"	"[""https://academic.oup.com/jdh/article/21/1/1/361205"",""https://uhra.herts.ac.uk/id/eprint/2629/"",""https://uhra.herts.ac.uk/id/eprint/2629/1/905698.pdf""]"	PUBLIC_ACCEPTED_MANUSCRIPT_REVIEWED	LEAD_TO_REVIEWED_RECORD_OR_TEXT_LOCATOR	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	63e890c7ec401a5a858ff858d77c3cdab54e6dc3390fe55330e155160e13ff22
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-001	2026-08-28T08:05:01Z	EXACT_CAPTURED_UTC	2	R16B-ADAPTIVE-QUERY:0c000a5415cb8cc26adcbfa705c979f7b049836a431da5558f37809eada89ef9	ROOT_WEB_SEARCH_TOOL	SOURCE_TEXT_DISCOVERY	"""Architectural Contact Zones"" Avermaete Nuijsink PDF"	"""architectural contact zones"" avermaete nuijsink pdf"	"{""query_text_exact"":""\""Architectural Contact Zones\"" Avermaete Nuijsink PDF""}"	COMP-SRC-013	"{""doi"":""10.1080/13264826.2021.1939745"",""source_id"":""COMP-SRC-013""}"	"[""https://www.research-collection.ethz.ch/entities/publication/18f5155c-0387-40c7-8b6f-eeefe48e4bf0"",""https://www.research-collection.ethz.ch/server/api/core/bitstreams/010acf32-6fdb-45ea-8684-48e1dfec95da/content"",""https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745""]"	PUBLIC_PUBLISHED_FULL_TEXT_REVIEWED	LEAD_TO_REVIEWED_RECORD_OR_TEXT_LOCATOR	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	136a4e7750cb173dff4b2d33e06c3ed7e19587183b85062583939e0b483a5553
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-001	2026-08-28T08:05:01Z	EXACT_CAPTURED_UTC	3	R16B-ADAPTIVE-QUERY:e09d2b815bb4b483d56339065dc0c04390f2b6c118aa261e1e5b015cd0649e5e	ROOT_WEB_SEARCH_TOOL	SOURCE_TEXT_DISCOVERY	"""Symbolic and Aesthetic Fusion in Keraton Surakarta"" PDF"	"""symbolic and aesthetic fusion in keraton surakarta"" pdf"	"{""query_text_exact"":""\""Symbolic and Aesthetic Fusion in Keraton Surakarta\"" PDF""}"	COMP-SRC-014	"{""doi"":""10.1080/23311983.2025.2482456"",""source_id"":""COMP-SRC-014""}"	"[""https://doi.org/10.1080/23311983.2025.2482456"",""https://www.tandfonline.com/doi/full/10.1080/23311983.2025.2482456"",""https://www.tandfonline.com/doi/pdf/10.1080/23311983.2025.2482456""]"	OPEN_ACCESS_PUBLISHED_FULL_TEXT_REVIEWED	LEAD_TO_REVIEWED_RECORD_OR_TEXT_LOCATOR	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	982ceefae6deba2b2f149c877685438cf75b7551fa3a322631e9b2ceb7727980
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-001	2026-08-28T08:05:01Z	EXACT_CAPTURED_UTC	4	R16B-ADAPTIVE-QUERY:428130692d99ed1753b0c961f2019807beccfd52c542bc1757253b1082a0ebdb	ROOT_WEB_SEARCH_TOOL	SOURCE_TEXT_DISCOVERY	"""Cold War Cultural Transactions"" Susan E. Reid PDF"	"""cold war cultural transactions"" susan e. reid pdf"	"{""query_text_exact"":""\""Cold War Cultural Transactions\"" Susan E. Reid PDF""}"	COMP-SRC-023	"{""doi"":""10.1080/17547075.2017.1333388"",""source_id"":""COMP-SRC-023""}"	"[""https://durham-repository.worktribe.com/output/1310178/cold-war-cultural-transactions-designing-the-ussr-for-the-west-at-brussels-expo-58"",""https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1333388"",""https://www.tandfonline.com/doi/full/10.1080/17547075.2017.1333388""]"	PUBLIC_ABSTRACT_REVIEWED_FULL_TEXT_NOT_ESTABLISHED	LEAD_TO_REVIEWED_RECORD_OR_TEXT_LOCATOR	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	f5760d8ea7b2caac49e17270899a2bf634589bcdcda4a6ef01908c05058837df
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-002	2026-08-28T08:05:11Z	EXACT_CAPTURED_UTC	5	R16B-ADAPTIVE-QUERY:eb5b3e9df6f0b48dea80728a05455584a69b1df4e5226207dafb18a7dba88e09	ROOT_WEB_SEARCH_TOOL	SOURCE_TEXT_DISCOVERY	"""Socialist, Humanist and Well-Designed"" Turin 1961 PDF Jeżowska"	"""socialist, humanist and well-designed"" turin 1961 pdf jeżowska"	"{""query_text_exact"":""\""Socialist, Humanist and Well-Designed\"" Turin 1961 PDF Jeżowska""}"	COMP-SRC-024	"{""doi"":""10.1017/S0960777322000029"",""source_id"":""COMP-SRC-024""}"	"[""https://www.cambridge.org/core/journals/contemporary-european-history/article/socialist-humanist-and-welldesigned-the-polish-welfare-state-at-the-international-labour-exhibition-in-turin-1961/94D125A40C5B3B013872B9A949430909"",""https://www.cambridge.org/core/services/aop-cambridge-core/content/view/94D125A40C5B3B013872B9A949430909/S0960777322000029a.pdf/socialist_humanist_and_welldesigned_the_polish_welfare_state_at_the_international_labour_exhibition_in_turin_1961.pdf""]"	OPEN_ACCESS_PUBLISHED_PDF_REVIEWED	LEAD_TO_REVIEWED_RECORD_OR_TEXT_LOCATOR	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	db0ff7c3053f48b4003cae60b580ae7a980af8304c8e06ea9cdbaefd75d83ea6
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-002	2026-08-28T08:05:11Z	EXACT_CAPTURED_UTC	6	R16B-ADAPTIVE-QUERY:226aa011ca36534e9ae473b1bea1b047997da1509fc34d4c4e4e369b7e100f04	ROOT_WEB_SEARCH_TOOL	SOURCE_TEXT_DISCOVERY	"""Insights from Bauhaus innovation for education and workplaces"" PDF"	"""insights from bauhaus innovation for education and workplaces"" pdf"	"{""query_text_exact"":""\""Insights from Bauhaus innovation for education and workplaces\"" PDF""}"	R16-SRC-005	"{""doi"":""10.1007/s10798-022-09729-2"",""source_id"":""R16-SRC-005""}"	"[""https://doi.org/10.1007/s10798-022-09729-2"",""https://link.springer.com/article/10.1007/s10798-022-09729-2""]"	OPEN_ACCESS_PUBLISHED_FULL_TEXT_REVIEWED	LEAD_TO_REVIEWED_RECORD_OR_TEXT_LOCATOR	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	21c6e9eaf9eda0741b18c773549ffdc84f49995a97b8421bb157259bac79b43f
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-002	2026-08-28T08:05:11Z	EXACT_CAPTURED_UTC	7	R16B-ADAPTIVE-QUERY:fbda504a0703716af731b1b4e129adadaef8563022e81d82df6edd8ecb8791c5	ROOT_WEB_SEARCH_TOOL	SOURCE_TEXT_DISCOVERY	"""Advancing a new professionalism"" Bresnen PDF institutional repository"	"""advancing a new professionalism"" bresnen pdf institutional repository"	"{""query_text_exact"":""\""Advancing a new professionalism\"" Bresnen PDF institutional repository""}"	GRAM-SRC-025	"{""doi"":""10.1080/09613218.2013.843269"",""source_id"":""GRAM-SRC-025""}"	"[""https://research.manchester.ac.uk/en/publications/advancing-a-new-professionalism-professionalisation-practice-and-/"",""https://www.tandfonline.com/doi/full/10.1080/09613218.2013.843269"",""https://www.tandfonline.com/doi/pdf/10.1080/09613218.2013.843269""]"	PUBLISHER_FREE_ACCESS_FULL_TEXT_REVIEWED	LEAD_TO_REVIEWED_RECORD_OR_TEXT_LOCATOR	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	a51e30f863dc1b0e27fd178148a758d2670bf7265b76074e44d0c5c404f03e9e
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-002	2026-08-28T08:05:11Z	EXACT_CAPTURED_UTC	8	R16B-ADAPTIVE-QUERY:a0325608cce418c6b36cfde39422d289eb41ad7649e57bb3d5378c85804f3ccc	ROOT_WEB_SEARCH_TOOL	SOURCE_TEXT_DISCOVERY	"""Cold War Cultural Transactions"" ""Brussels Expo"" Reid repository PDF"	"""cold war cultural transactions"" ""brussels expo"" reid repository pdf"	"{""query_text_exact"":""\""Cold War Cultural Transactions\"" \""Brussels Expo\"" Reid repository PDF""}"	COMP-SRC-023	"{""doi"":""10.1080/17547075.2017.1333388"",""source_id"":""COMP-SRC-023""}"	"[""https://durham-repository.worktribe.com/output/1310178/cold-war-cultural-transactions-designing-the-ussr-for-the-west-at-brussels-expo-58"",""https://www.tandfonline.com/doi/abs/10.1080/17547075.2017.1333388"",""https://www.tandfonline.com/doi/full/10.1080/17547075.2017.1333388""]"	PUBLIC_ABSTRACT_REVIEWED_FULL_TEXT_NOT_ESTABLISHED	LEAD_TO_REVIEWED_RECORD_OR_TEXT_LOCATOR	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	08f3f9b4594095ad8a57a2bcce82848e5a50d6681f675945813bf01a323800b4
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-003	2026-08-28T08:06:20Z	EXACT_CAPTURED_UTC	9	R16B-ADAPTIVE-QUERY:adf8ec09cee7391b8c5f57e08b960a74856b0ce3739eec3cd524af18e99c60be	ROOT_WEB_SEARCH_TOOL	EXACT_CONCEPT_AND_LOCATOR_FOLLOWUP	"""Architectural Contact Zones"" ""adaptation"" ""rejection"""	"""architectural contact zones"" ""adaptation"" ""rejection"""	"{""query_text_exact"":""\""Architectural Contact Zones\"" \""adaptation\"" \""rejection\""""}"	COMP-SRC-013	"{""doi"":""10.1080/13264826.2021.1939745"",""source_id"":""COMP-SRC-013""}"	"[""https://www.research-collection.ethz.ch/entities/publication/18f5155c-0387-40c7-8b6f-eeefe48e4bf0"",""https://www.research-collection.ethz.ch/server/api/core/bitstreams/010acf32-6fdb-45ea-8684-48e1dfec95da/content"",""https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745""]"	PUBLIC_PUBLISHED_FULL_TEXT_REVIEWED	BOUNDARY_AND_LOCATOR_REVIEW_COMPLETED	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	ac3c3eaa51b45b98b91c41943be51edecb56442e875eb413a1fd76e305d8ccf4
f97d20b37b58a509d04cdf3bc3385486fc8d173c	R16B-ADAPTIVE-SOURCE-SHARD-001	R16B-ADAPTIVE-QUERY-BATCH-003	2026-08-28T08:06:20Z	EXACT_CAPTURED_UTC	10	R16B-ADAPTIVE-QUERY:9b7a899171674d89ef17e566bc0e7eef8dc38edb1ae7b9dbf42d5ea2b1504f72	ROOT_WEB_SEARCH_TOOL	EXACT_CONCEPT_AND_LOCATOR_FOLLOWUP	"""Architectural Contact Zones"" ""selective borrowing"""	"""architectural contact zones"" ""selective borrowing"""	"{""query_text_exact"":""\""Architectural Contact Zones\"" \""selective borrowing\""""}"	COMP-SRC-013	"{""doi"":""10.1080/13264826.2021.1939745"",""source_id"":""COMP-SRC-013""}"	"[""https://www.research-collection.ethz.ch/entities/publication/18f5155c-0387-40c7-8b6f-eeefe48e4bf0"",""https://www.research-collection.ethz.ch/server/api/core/bitstreams/010acf32-6fdb-45ea-8684-48e1dfec95da/content"",""https://www.tandfonline.com/doi/full/10.1080/13264826.2021.1939745""]"	PUBLIC_PUBLISHED_FULL_TEXT_REVIEWED	BOUNDARY_AND_LOCATOR_REVIEW_COMPLETED	DISCOVERY_AND_FALSIFICATION_TRAIL_ONLY_NOT_ASSOCIATION_EVIDENCE	Search ranking, snippets, metadata, and query co-occurrence are not association evidence; the separate locator-bearing source review controls the evidence disposition.	035a41ef0779838c8ccdbdc11cede7e11cb6383b4884df8a67ed5160fe46c7c6
