alias_id	query_id	pair_id	candidate_source_id	rank	round16a_ledger_id	doi	title	stable_url	exact_match	derivative_rule	net_new_evidence_object_count	record_sha256
R16B-R16A-QUERY-ALIAS:00017ff6a7faaac38aaeff1218f812673a81198a165bb2257ec0b17d86da8767	R16A-CROSSREF-QUERY:5c501d7800e4649d656f178e80a7ae61fe0fff12bfe706ad0fe022e059924103	R16A-PAIR:ddbefb7fb3c1729210988e69be853840ba648b0eda50e84ed00da50c15a047d5	CROSSREF:DOI:10.63771/gdj0101.005	3	R16A-R16A-PAIR:ddbefb7fb3c1729210988e69be853840ba648b0eda50e84ed00da50c15a047d5-XREF-03	10.63771/gdj0101.005	The visual appeal of graphic design in advertising campaigns	https://doi.org/10.63771/gdj0101.005	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	db51e0331e63cf8fc291df969a64301f4947cb4904a1f9bfd3ec4db50f4d22b0
R16B-R16A-QUERY-ALIAS:00028fda195730a44fe6f656a906c114b269d9e8d99e3e90e12a1be98c9ad6f8	R16A-CROSSREF-QUERY:66d0a2a85be16ab1991b3a3d649a6ac803bb1b8630acca7ea08599a0518a2d45	R16A-PAIR:452531b8a163bc3a85ed91cfcdc60fae783703955635f923a46558b29d832ad0	CROSSREF:DOI:10.1093/jdh/epaa034	1	R16A-R16A-PAIR:452531b8a163bc3a85ed91cfcdc60fae783703955635f923a46558b29d832ad0-XREF-01	10.1093/jdh/epaa034	Reading Graphic Design in Cultural Context	https://doi.org/10.1093/jdh/epaa034	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	ed66c4e6bb60dc1981808dff7124a4059b4e1cde6e0e23b0f89825b421057441
R16B-R16A-QUERY-ALIAS:00048bbff202414426caa342359727066f2db08ac1f4ae26660a0ee5cef2212b	R16A-CROSSREF-QUERY:1d99a3c17b6de5c6f939ae461e0117676ac615befbac0e4802dd7c1abaddcecf	R16A-PAIR:1d739bc09b0670071ab4f5a24b4ff21b3afbb99598249b1faa0d6a60b47a9fd6	CROSSREF:DOI:10.1093/jdh/16.3.260	1	R16A-R16A-PAIR:1d739bc09b0670071ab4f5a24b4ff21b3afbb99598249b1faa0d6a60b47a9fd6-XREF-01	10.1093/jdh/16.3.260	Graphic Design History * Clean New World: Culture, Politics, and Graphic Design	https://doi.org/10.1093/jdh/16.3.260	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	3d431e4993d3461dabf60ba59c98ea52d525e5248adc6516994213a25107acd1
R16B-R16A-QUERY-ALIAS:0016b63897b4cab40fa6c42c6004e0fbc0a98b964d22b6219b4a8b2138f8c4d2	R16A-CROSSREF-QUERY:e3ac43bfa64afae426c0291f144a78318aede0b357a0d301bcfc2a32451968d1	R16A-PAIR:2e550aa73e0ef1234ac7c21326badd469d52aed592d515fce922bdb80a62f072	CROSSREF:DOI:10.4324/9780203133194-14	2	R16A-R16A-PAIR:2e550aa73e0ef1234ac7c21326badd469d52aed592d515fce922bdb80a62f072-XREF-02	10.4324/9780203133194-14	Graphic Design	https://doi.org/10.4324/9780203133194-14	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	197627f3e4c738273d9cd9522ade37d791ed0dbcf3a97cb556523a3e12db99ce
R16B-R16A-QUERY-ALIAS:0019a2ad75e5cb364469061d74bc2fa72a1d0e631c090935ec4661660215e779	R16A-CROSSREF-QUERY:e47617695a93c98ae3ea500cac2ec2601bc3cb0cf776b043d01b2016f2f87b49	R16A-PAIR:154799d8fbc46ed2f27dfe075188eefe74136da744e1af8fd4d2e2eb7ee790db	CROSSREF:DOI:10.37862/aaeportal.00152.009	3	R16A-R16A-PAIR:154799d8fbc46ed2f27dfe075188eefe74136da744e1af8fd4d2e2eb7ee790db-XREF-03	10.37862/aaeportal.00152.009	6. Women in Graphic Design History	https://doi.org/10.37862/aaeportal.00152.009	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	959bb1911aa2b6a7b29f5a0210435ac52909cda1aebcf542ab1db64f1517a090
R16B-R16A-QUERY-ALIAS:001ae32f904e8be7e24384194a3636e19c02cac62b82d5f24a8a165b5728a69d	R16A-CROSSREF-QUERY:e87f1a9511b03c1a05293b25c92217641c7ac515948d21280a931010630e78ac	R16A-PAIR:16416e93bf18a65a3d41980d70916ea54d9d6654e226672f3e702fba06994c34	CROSSREF:DOI:10.21326/ksdt.2009..22.001	5	R16A-R16A-PAIR:16416e93bf18a65a3d41980d70916ea54d9d6654e226672f3e702fba06994c34-XREF-05	10.21326/ksdt.2009..22.001	Graphic Design History as an Introspection Process - Focused on the three points of writing graphic design history -	https://doi.org/10.21326/ksdt.2009..22.001	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	8848106528da8b686f272f2a0483d69196d7e773e4df6c91ee9e17bd3a315e03
R16B-R16A-QUERY-ALIAS:0031a3859df565d7dbaf3d0d6546f5d6d89e875ae21b726d7944f6fe3d0314d5	R16A-CROSSREF-QUERY:673a791f8dc1b227320b739961d8f5397bcaac66ea1339bbf7d0bde3ff540816	R16A-PAIR:a747a5968474a5cd4622a99dc951be618ceabf4079ecf770e0414d35e3ce8e52	CROSSREF:DOI:10.1093/jdh/16.3.260	1	R16A-R16A-PAIR:a747a5968474a5cd4622a99dc951be618ceabf4079ecf770e0414d35e3ce8e52-XREF-01	10.1093/jdh/16.3.260	Graphic Design History * Clean New World: Culture, Politics, and Graphic Design	https://doi.org/10.1093/jdh/16.3.260	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	ee2b64e04be6c4ea2e5f73aafa208b84ccdb4f8ed2e66e8a65cdbbae53138f2a
R16B-R16A-QUERY-ALIAS:00399e1fba9430ca6b8d97cfb267b6421aa4dd36a40ff7e86080f5b7afe54742	R16A-CROSSREF-QUERY:a1479ac0a181a60f288231b76659484b2e38b47e7945461ddfb908ad9e54d9a3	R16A-PAIR:249006d60770f176757674b13dbb937d9bdd6af94db61efd6525a0b6b85fce81	CROSSREF:DOI:10.4324/9780203133194-14	4	R16A-R16A-PAIR:249006d60770f176757674b13dbb937d9bdd6af94db61efd6525a0b6b85fce81-XREF-04	10.4324/9780203133194-14	Graphic Design	https://doi.org/10.4324/9780203133194-14	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	517fc58bde514313713c843c86385928c47e95eb4db2aee17e299cdc0d19c87f
R16B-R16A-QUERY-ALIAS:00567f2508131c0a3fbf6214335372b792d260d813af0fbe76880438344e3cce	R16A-CROSSREF-QUERY:5284cbbd9b164859f38f98656b761dde82f6354a7bcf27f0ceae54c8561c9ff3	R16A-PAIR:cf938d05fa99737a735557f18d217466a01f62ae189fd3e80c9ca78ddb96ce14	CROSSREF:DOI:10.4018/ijisscm.345396	5	R16A-R16A-PAIR:cf938d05fa99737a735557f18d217466a01f62ae189fd3e80c9ca78ddb96ce14-XREF-05	10.4018/ijisscm.345396	Algorithm for Automatic Layout of Graphic Language and Its Application in Graphic Design	https://doi.org/10.4018/ijisscm.345396	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	30a3013241abe1828ae50d0161b2b2d94b7061c7741560b0bd9264c0112fba7d
R16B-R16A-QUERY-ALIAS:005c93206901612de45feaa69e27bdf9f64da9ef9649cb55931418d1464aad83	R16A-CROSSREF-QUERY:241e9df47bfe26d52eb51cdd7f5a15d641ef52842af695e9dd275e38adcc6619	R16A-PAIR:0ab42b7a3823a04c08bfa27cd989ba4ddad3bb3a4e4fed529eb98abf341c3c08	CROSSREF:DOI:10.2752/175470709787375724	2	R16A-R16A-PAIR:0ab42b7a3823a04c08bfa27cd989ba4ddad3bb3a4e4fed529eb98abf341c3c08-XREF-02	10.2752/175470709787375724	Philip Meggs and Richard Hollis: Models of Graphic Design History	https://doi.org/10.2752/175470709787375724	true	EXACT_PAIR_ID_AND_SOURCE_ID_PLUS_FIVE_COMMON_METADATA_FIELDS	0	08d9cf88f3f1dee4734993c5087a949e15ed20f41b974ffa9fd90c8e896a74fa
