event_id	timestamp_utc	phase	operation	observed_status	command_or_probe	error_or_result	filesystem_or_ref_effect	corrective_action	evidence_boundary
R16B-PARALLEL-DIAG-008-001	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-PROTECTED-SURFACE-PREFLIGHT	FROZEN_MANIFEST_PATH_PROBE	PARTIAL_FAIL	read-only SHA probe including guessed database/schema-manifest-v49.json	shasum reported the guessed path absent; canonical freeze authority is database/FREEZE_V49.json and database/schema-manifest.json	NONE	Resolved the actual database manifest and freeze paths with a bounded find; the independent verifier pins all 126 FREEZE_V49 entries	Read-only probe only; no file, staging, ref, commit, or remote changed
R16B-PARALLEL-DIAG-008-002	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-SCRIPT-INSPECTION	ROUND16B_SCRIPT_DIRECTORY_PROBE	FAIL	find scripts/trace -maxdepth 3	find reported no such directory because Round 16B scripts are under scripts/trace_round16b	NONE	Located and inspected scripts/trace_round16b	Read-only probe only; no state changed
R16B-PARALLEL-DIAG-008-003	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-PACKAGE-INSPECTION	ROOT_PACKAGE_JSON_PROBE	FAIL	sed against repository-root package.json	sed reported no such file; the governed package is frontend/package.json	NONE	Located package manifests with bounded find and read frontend/package.json	Read-only probe only; no state changed
R16B-PARALLEL-DIAG-008-004	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-ROUND16A-INSPECTION	ROUND16A_AUDIT_SLUG_PROBE	FAIL	find docs/audits/v49-exploration-full-space-census-and-final-functional-closure	No such directory; the canonical audit slug is v49-exploration-full-space-closure-round1	NONE	Resolved exact audit directories and reran against the canonical slug	Read-only probe only; no state changed
R16B-PARALLEL-DIAG-008-005	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-READONLY-INSPECTION	WORKTREE_PATH_TYPO_PROBES	FAIL_BEFORE_LAUNCH	several parallel read commands used a hyphenated or truncated variant of the isolated-worktree path	CreateProcess ENOENT occurred before the affected commands launched	NONE	Reran the bounded reads from /private/tmp/graphic_design_archive_v49_exploration_higher_order_association_closure_round16b	No process-side file, staging, ref, commit, or remote mutation
R16B-PARALLEL-DIAG-008-006	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-008-SCHEMA-VALIDATOR-PREFLIGHT	PYTHON_JSONSCHEMA_IMPORT_PROBE	FAIL	python3 -c import jsonschema	ModuleNotFoundError: No module named jsonschema	NONE	Primary builder implements a bounded used-keyword instance validator and the independent verifier reconstructs contract semantics without the package	Dependency probe only; no installation, download, or state mutation
R16B-PARALLEL-DIAG-008-007	NOT_CAPTURED_ROOT_TOOL	ROUND16A-GLOBAL-RECONCILIATION-READONLY	PRODUCTION_MODEL_ARRAY_SHAPE_PROBE	FAIL	first production-read-model inspection indexed compositions with numeric key 0	KeyError 0 because compositions is an object keyed by production composition ID	NONE	Inspected the collection type and used object items	Read-only analysis; no governed metric was written from the failed assumption
R16B-PARALLEL-DIAG-008-008	NOT_CAPTURED_ROOT_TOOL	ROUND16A-GLOBAL-RECONCILIATION-READONLY	PRODUCTION_COMPOSITION_ID_EXTRACTION	CORRECTED	first mapping looked for production_composition_id inside topology seed-variant objects	The field is not present there, producing a singleton None rather than 42 product IDs	NONE	Joined topology category-entry and seed IDs to the keyed production read model; exact pair-derived production count is 42	Read-only scratch analysis only; no incorrect count entered a governed artifact
R16B-PARALLEL-DIAG-008-009	NOT_CAPTURED_ROOT_TOOL	ROUND16A-GLOBAL-RECONCILIATION-READONLY	PAIR_STATE_FILTER_CALIBRATION	CORRECTED	first state filter compared state composition_id to topology composition IDs	The namespaces differ and the provisional filter returned zero retained states	NONE	Resolved topology plus category-entry plus seed into production composition IDs, yielding 336 pair-derived states	Read-only scratch analysis only; no incorrect count entered a governed artifact
R16B-PARALLEL-DIAG-008-010	NOT_CAPTURED_ROOT_REVIEW	V3-SEMANTIC-CONTRACT	ACTIVATION_GATE_CONJUNCTION_AUDIT	DEFECT_FOUND	manual semantic review of the first generated fixture and builder	ACTIVE synthetic records claimed all_gates_pass=true while product_policy_gate=false	UNCOMMITTED_BUILDER_AND_GENERATED_ARTIFACTS_REGENERATED	Defined realm-policy gate PASS as successful fail-closed policy evaluation, recomputed all_gates_pass as the conjunction of named gates, and added independent assertions	Defect found before staging, receipt sealing, commit, or publication
