ordinal	path	record_count	bytes	sha256	lfs_required
1	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-00-03-v1.tsv	11806	11871944	e89f02e82714715a4c416cb7effd9c47d7b27fdcece33d029a37e0fb8c3497e2	true
2	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-04-07-v1.tsv	11665	11729632	20d55e69dc0a1b0d7fa7db8676e5ecae15b745ef58692ef15ecf352ce4b3e87f	true
3	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-08-0b-v1.tsv	11737	11802106	ac59944f11e8d58cd84a5db238792e716cd7f59635d74b3bd7db661314827a83	true
4	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-0c-0f-v1.tsv	11621	11686063	212ab8d150d9820b1fd34db7417e04f50b575c3da775c3707208436803beb52e	true
5	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-10-13-v1.tsv	11700	11764254	9787f22b755949d12b9e69c12fe2b0940da2d775604a39eb4763902b0cb8d01d	true
6	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-14-17-v1.tsv	11731	11797039	e80ebf3a948f64b8c963c77ed52337a590c33abd4e7e3fbd42571a19c1614869	true
7	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-18-1b-v1.tsv	11716	11781104	323d2ffb37445e62f8b213cba3754a6232cb696869b1de89c855b1e576373912	true
8	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-1c-1f-v1.tsv	11940	12005125	f23384617896ef855785ac5877218ad0fadf513d36b81ab79aede7d6ab0d3796	true
9	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-20-23-v1.tsv	11749	11812669	964ea93bd65ce736e56da1dec1b4e438d150c31a667b1bf89d9c1441dc627b4e	true
10	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-24-27-v1.tsv	11693	11756936	ef0c49c959109144e70ae30decc7fb86bdd8564cc8e2be75b89d83893a5fcbf7	true
11	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-28-2b-v1.tsv	11622	11683960	5692c9932395c074ca44a3bd3ec683dbb25f8b60ee6292c8f0efb9b199f4efe6	true
12	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-2c-2f-v1.tsv	11643	11705796	352cd8b63756f1731a4a0a1076d7dd5267a7228cdeaaab4a98e4dbd1622ffa27	true
13	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-30-33-v1.tsv	11750	11814909	3352974ee14c8e234a370b69680c46f7f1d60de36b1d939967f0f3657e8ccfbe	true
14	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-34-37-v1.tsv	11579	11645361	5a7aa9e2259e45949a70d53e72f6a52e137741375d4cd7b09c5cc1f477f020db	true
15	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-38-3b-v1.tsv	11469	11532014	af466dc04c13339b872d22e5f42fc6e2d12ab628aa2cff7ea5f94bb2ed312de8	true
16	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-3c-3f-v1.tsv	11765	11830905	6a934b22efd0e27c17e507d614ad8946009ff70e12d6ea4ec5a3850b64db62ed	true
17	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-40-43-v1.tsv	11910	11975739	a3bf8b03c6dd2d25c7f1c01f0093013aba9ee16cc276bd4c7aa3321041ccf2ac	true
18	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-44-47-v1.tsv	11763	11827213	1856b5f8d4e0684318e3e2e9868021ee41c71518416ed64b002d54c9d8054b3b	true
19	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-48-4b-v1.tsv	11815	11879783	bf8afa2db2b78d34ae462c8ae731dde92c55d2ca7dbb12990b3116acd3f2ed3c	true
20	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-4c-4f-v1.tsv	11532	11596040	09d2bf06a6fe40b52fcfb4df9eff86879995d2b055852c50386240cc76d5b2a8	true
21	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-50-53-v1.tsv	11741	11807458	db5f5ddcc0282ff3a41dfeb41ed19402463768f9af35d281f31327b37f97efdc	true
22	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-54-57-v1.tsv	11787	11851332	38fd58e12d5ca296dd6517d2f4995caa4182d33ba447799dd8adb4a28d0e42a1	true
23	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-58-5b-v1.tsv	11603	11665786	06a28c63daafc6b81e5cedb175d98fb2d406c4d90b71787a6de230fce6b7d9dd	true
24	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-5c-5f-v1.tsv	11888	11952984	c1896e4d6b2dd1f42714d8fbb559770be8bb5f97e2b5c105886f41a724daf7b6	true
25	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-60-63-v1.tsv	11877	11941818	fd5a086044479da43616a3c6d01c8456ebfffee412e964f536339238680226ce	true
26	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-64-67-v1.tsv	11796	11861381	13a8d47be4eb54a7bb1160525be84d4bb19261a9139e91bedb8f777e682cb649	true
27	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-68-6b-v1.tsv	11721	11783982	50d5448eed5e6a5bde6060967949374e481078929a05bb78b90aa6a59bc6baf3	true
28	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-6c-6f-v1.tsv	11522	11585036	947f6a9ce5d160533f4e419c31ade6e4e941d19b2a1c327e0ce5c2cf302e008f	true
29	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-70-73-v1.tsv	11636	11701034	e7ea83d15f310f416642846b379418a5a305f6f565faa9baed29fc12b9607a00	true
30	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-74-77-v1.tsv	11752	11817710	6bb205c5e2c75f8b0e90796aaee83340efc49776a7677ad0147c457b3dc9c56b	true
31	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-78-7b-v1.tsv	11705	11767047	de7d597bd4213810293bb4427a29bfbf952daf5a595550e53ac25625c818fc75	true
32	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-7c-7f-v1.tsv	11680	11743158	d3cdb86ba3fc4fadcc68b216201bfbde902f2d009b876ebf2fa74d4497119884	true
33	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-80-83-v1.tsv	11785	11849131	4b6c119adb50a2c77291414e30dc3aba919ee128b3be5f9899a73f2f907edfa5	true
34	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-84-87-v1.tsv	11896	11960968	ded3b69297b3108bf64da960775b0cb9092a21ce0be693cfbae9987e5c3e8e9d	true
35	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-88-8b-v1.tsv	11665	11729623	358e06298019391ec1ca5719209ed1621229367d68a3719e9429e35193668870	true
36	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-8c-8f-v1.tsv	11749	11815719	7ac814ac8c18fd606e94bfded77678ac5c9d45d67c87298892d4d7dcca609d7e	true
