ordinal	path	selector	record_count	bytes	sha256	authority_boundary
1	database/schema-manifest-v50-round16b.json	WHOLE_JSON_DOCUMENT	1	3537	bac907114133ea9b261fdff426434365f020ba92bd0e377b8b2d9629438319c3	COMMITTED_CHECKPOINT011_BYTES
2	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/active-vocabulary-evidence-impact-ledger-shard-2-v1.tsv	ALL_TSV_ROWS	5	3040	22c9765705c197dd8b5e291d15a088377d71a37ef551fb3d6e73b73f15ad1b69	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
3	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/association-evidence-ledger.tsv	ALL_TSV_ROWS	0	576	890a99a18a384a7227713c42ad543915ce42df7194df9039195befae333ec62a	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
4	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/candidate-exclusion-ledger.tsv	ALL_TSV_ROWS	0	279	e1a2082a85bb8a2c25c8ed3f26ce2fee3df9cd0a5ad834641cea7ca502c73b0d	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
5	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/candidate-trigger-occurrence-ledger-v2.tsv	ALL_TSV_ROWS	359	511711	1685e5bfdab735657ce78499b2597e6a20aecd7402d97f515b162a5d16009cd6	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
6	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/concept-sense-crosswalk-v1.tsv	ALL_TSV_ROWS	65	75857	dfc1751482f3e74de78c2a94fd46f20eb3538d26e8c6bbf94482cac9534e770a	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
7	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	ALL_TSV_ROWS	10	17311	abedad8a6e3df9ac964d3c3c7ee6923e0af610ac0459b6c510cb2873f6403716	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
8	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-b-v1.tsv	ALL_TSV_ROWS	37	82506	302394dab22ebc85800ac1555db633e3282f83c552026deacec32665ea16389d	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
9	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/isolated-active-term-audit-ledger-v1.tsv	ALL_TSV_ROWS	5	2970	67eaf0d1a519163d6c6d54a1c728e9f3fdc502c6bac93b1b59b7593a384803d2	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
10	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/local-candidate-family-ledger-v2.tsv	ALL_TSV_ROWS	35	63337	cd4c3ca997c0f4cd5919d4e29d89ca45291fae4f70f78a49742aafb9c76baea7	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
11	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/metadata-search-lead-ledger-v2.tsv	ALL_TSV_ROWS	101	452940	d566cec6043668fd628353c010a004fda5faf1bf2b6898fd7026323740383380	COMMITTED_ROUND16B_PRE_CHECKPOINT011_BYTES
