parent_checkpoint_sha	review_tranche	memo_queue_ref	queue_id	queue_record_kind	parent_candidate_id	parent_family_ordinal	queue_action	target_or_child	target_candidate_or_pair_refs_json	scope_key	scope_label	proposed_participant_labels_json	proposed_participant_sense_ids_json	proposed_relation_form	candidate_support_mode_if_reviewed	evidence_occurrence_ids_json	evidence_anchor_note	active_pair_refs_json	case_time_geography_institution_actor_mechanism_note	required_scope_or_sense_resolution	required_gates	rights_review_status	source_text_review_status	human_review_status	counterevidence_review_status	queue_status	association_identity_created	association_active	pair_projection_created	product_effect	product_eligibility	explicit_nonclaims_json	record_sha256
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-001	R16B-TRANCHE-B-QUEUE:38fcd3d03508eef0a0d00776f17d583f5d9acd7edd4a0d1ae0f76d76ff169d48	PAIR_OR_SCOPE_REROUTE	R16B-LOCAL-FAMILY:07d5c44f285178774f70755012d2745feec81d240210c340b5910a738ae0a837	12	RETAIN_SEPARATE_PAIR	R14-ASSOC-010	"[""R14-ASSOC-010""]"	MATERIAL_CHAIN_PAIR	material displacement / supply chain bounded material-chain pair	"[""material displacement"",""supply chain""]"	"[""R16B-SENSE:61aaade597c45243fcdef0d2514fc52f58a066ae5c9f4ad550727cb75b124f64"",""R16B-SENSE:697603bbe891d791295d478b3b16d10add9bdab1fd92826d63d8b630f3779cfb""]"	EXISTING_GOVERNED_PAIR_ONLY	EXISTING_PAIR_ONLY	"[""R16B-TRIGGER-OCC:4a78500427266d1cb966b287072f42aa9b041973be551154a2ff489d47ca9f7d""]"	R14-EVID-010-01; R14-EVID-010-02; hard-negative fixture also carries separately governed R14-ASSOC-010.	"[""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	Bounded material chains; distinct from the hard-negative professionalization/material-displacement control.	Retain the pair under its existing qualification; do not create the triad.	NONE_BEYOND_EXISTING_PAIR_GOVERNANCE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_CONDITIONAL_REVIEW_NOT_ASSOCIATION	false	false	false	RETAIN_EXISTING_PAIR_PATH_ONLY	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""the hard-negative triad does not invalidate the separately governed pair"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	b8a33a763957c851e7c9ede4b8be7be1558983c6dd60f9ea548a7e31463741c9
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-002	R16B-TRANCHE-B-QUEUE:f5dfb596464b74a23f67723a2d1f2fb5276fb215712e23180ea586fcfd2b56cd	PARENT_CLOSE_CONTROL	R16B-LOCAL-FAMILY:07d5c44f285178774f70755012d2745feec81d240210c340b5910a738ae0a837	12	CLOSE_PARENT_NON_SUPPORT	R16B-LOCAL-FAMILY:07d5c44f	"[""R14-ASSOC-026""]"	EXACT_FROZEN_TRIAD	material displacement / supply chain / professionalization	"[""material displacement"",""supply chain"",""professionalization""]"	"[""R16B-SENSE:61aaade597c45243fcdef0d2514fc52f58a066ae5c9f4ad550727cb75b124f64"",""R16B-SENSE:697603bbe891d791295d478b3b16d10add9bdab1fd92826d63d8b630f3779cfb"",""R16B-SENSE:aaba242b61f07fc7756aa5d54b3d132896c230e138451ec96ac3b40b8c2c3ec3""]"	UNSPLIT_PARENT_CONTROL	HARD_NEGATIVE	"[""R16B-TRIGGER-OCC:4a78500427266d1cb966b287072f42aa9b041973be551154a2ff489d47ca9f7d""]"	R14-ASSOC-026; R15-COMP-006.	"[""R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f""]"	Exact frozen triad containing an upstream hard-negative pair.	Preserve final hard-negative parent disposition.	FINAL_GOVERNED_PARENT_RECORD	NOT_APPLICABLE_FINAL_PARENT_NON_SUPPORT	NOT_APPLICABLE_FINAL_PARENT_NON_SUPPORT	NOT_APPLICABLE_FINAL_PARENT_NON_SUPPORT	NOT_APPLICABLE_FINAL_PARENT_NON_SUPPORT	CLOSED_PARENT_CONTROL_NOT_ASSOCIATION	false	false	false	INELIGIBLE_AUDIT_CONTROL_ONLY	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""future independent hyperedge evidence is not logically impossible"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	1866646c488a6b3bc9f14cba272f787a834a23bd6add26c7b3c75c1aaa731d13
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-003	R16B-TRANCHE-B-QUEUE:fb90098e6d059d163feb8bd6b2db48dbc60c81f34f9ea48ef52f5dc5d44ee107	CONDITIONAL_SCOPED_CHILD_REVIEW	R16B-LOCAL-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	13	CREATE_OBJECT_INCIDENCE_REVIEW	SURF-VAM20K-03165	[]	OBJECT_INCIDENCE_VAM20K-03165	Clowns; Germany; 1972; O1316564	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	OBJECT_FEATURE_INCIDENCE_REVIEW_NOT_ASSOCIATION	OBJECT_FEATURE_INCIDENCE_NOT_ASSOCIATION	"[""R16B-TRIGGER-OCC:13f8bfba9384b419c6b2f916123e160b30193951c781c34337f9877c0c429e4c""]"	SURF-VAM20K-03165; frozen V&A object metadata locus.	"[""R16A-PAIR:0c8c2331a9ba240c16d983a310a9cb7e83f44710cb57828cca8860aaf7799937""]"	Clowns; Germany; 1972; O1316564	Resolve new object-feature senses and review the lawful source or visual object record.	LAWFUL_SOURCE_OR_VISUAL_REVIEW; RIGHTS; HUMAN_POLICY_REVIEW; COUNTEREVIDENCE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_CONDITIONAL_REVIEW_NOT_ASSOCIATION	false	false	false	NO_PRODUCT_UNTIL_REVIEW	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""no cross-object association"",""no pair manufacture"",""metadata classification is not historical evidence"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	29a8d0631f9ff041395c700e52421814b56f06be19f4b82b138f7854f8926309
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-004	R16B-TRANCHE-B-QUEUE:2046715933e60e067409c53eb161d786d59302988418fe6d1f92e66d4d1ec458	CONDITIONAL_SCOPED_CHILD_REVIEW	R16B-LOCAL-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	13	CREATE_OBJECT_INCIDENCE_REVIEW	SURF-VAM20K-03010	[]	OBJECT_INCIDENCE_VAM20K-03010	Ballett; Germany; 1968; O1316563	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	OBJECT_FEATURE_INCIDENCE_REVIEW_NOT_ASSOCIATION	OBJECT_FEATURE_INCIDENCE_NOT_ASSOCIATION	"[""R16B-TRIGGER-OCC:31bb942b9d716318c09c644d4ea153dec9eede52f81fb5930f3205f705cf5d0e""]"	SURF-VAM20K-03010; frozen V&A object metadata locus.	"[""R16A-PAIR:0c8c2331a9ba240c16d983a310a9cb7e83f44710cb57828cca8860aaf7799937""]"	Ballett; Germany; 1968; O1316563	Resolve new object-feature senses and review the lawful source or visual object record.	LAWFUL_SOURCE_OR_VISUAL_REVIEW; RIGHTS; HUMAN_POLICY_REVIEW; COUNTEREVIDENCE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_CONDITIONAL_REVIEW_NOT_ASSOCIATION	false	false	false	NO_PRODUCT_UNTIL_REVIEW	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""no cross-object association"",""no pair manufacture"",""metadata classification is not historical evidence"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	0bbe16a5d628bf32e0af2d4be96c52da5219a737eed2afbfdd21ef106c93cc77
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-005	R16B-TRANCHE-B-QUEUE:d3ef3a81257ec41f3fcf70154ff7e37b8f684b9ae657805b9d62de680278dfe1	CONDITIONAL_SCOPED_CHILD_REVIEW	R16B-LOCAL-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	13	CREATE_OBJECT_INCIDENCE_REVIEW	SURF-VAM20K-03163	[]	OBJECT_INCIDENCE_VAM20K-03163	Der Besuch der alten Dame; Germany; 1972; O1169376	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	OBJECT_FEATURE_INCIDENCE_REVIEW_NOT_ASSOCIATION	OBJECT_FEATURE_INCIDENCE_NOT_ASSOCIATION	"[""R16B-TRIGGER-OCC:3761e1065c6e0ddfce1761ef18c1c126c20b0fc7b71dac13a521b3737deca87a""]"	SURF-VAM20K-03163; frozen V&A object metadata locus.	"[""R16A-PAIR:0c8c2331a9ba240c16d983a310a9cb7e83f44710cb57828cca8860aaf7799937""]"	Der Besuch der alten Dame; Germany; 1972; O1169376	Resolve new object-feature senses and review the lawful source or visual object record.	LAWFUL_SOURCE_OR_VISUAL_REVIEW; RIGHTS; HUMAN_POLICY_REVIEW; COUNTEREVIDENCE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_CONDITIONAL_REVIEW_NOT_ASSOCIATION	false	false	false	NO_PRODUCT_UNTIL_REVIEW	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""no cross-object association"",""no pair manufacture"",""metadata classification is not historical evidence"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	e8c9511e8d3758bbd8a9ca23510bae3cd3b3569e6210e05e1b096cac78dace85
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-006	R16B-TRANCHE-B-QUEUE:67535d4d11ff7bd68ba4c01a0f36020ac6f3d0683fdb97cc21e236ed9f149ba0	CONDITIONAL_SCOPED_CHILD_REVIEW	R16B-LOCAL-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	13	CREATE_OBJECT_INCIDENCE_REVIEW	SURF-VAM20K-03052	[]	OBJECT_INCIDENCE_VAM20K-03052	Herr Puntila und Sein Knecht Matti; Germany; 1969; O1316577	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	OBJECT_FEATURE_INCIDENCE_REVIEW_NOT_ASSOCIATION	OBJECT_FEATURE_INCIDENCE_NOT_ASSOCIATION	"[""R16B-TRIGGER-OCC:558e8cd312ff625c35d9261c8bb93fc8743fd49c29c02c377dc4094eff9bcf5c""]"	SURF-VAM20K-03052; frozen V&A object metadata locus.	"[""R16A-PAIR:0c8c2331a9ba240c16d983a310a9cb7e83f44710cb57828cca8860aaf7799937""]"	Herr Puntila und Sein Knecht Matti; Germany; 1969; O1316577	Resolve new object-feature senses and review the lawful source or visual object record.	LAWFUL_SOURCE_OR_VISUAL_REVIEW; RIGHTS; HUMAN_POLICY_REVIEW; COUNTEREVIDENCE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_CONDITIONAL_REVIEW_NOT_ASSOCIATION	false	false	false	NO_PRODUCT_UNTIL_REVIEW	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""no cross-object association"",""no pair manufacture"",""metadata classification is not historical evidence"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	c782736e6f9688c49f33abe3e0a5cd1348854475f3540944575919da2e770455
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-007	R16B-TRANCHE-B-QUEUE:30341e102d30c5e2317aa87fee149ece2e3a85c7693fa9cea6666f864f823257	CONDITIONAL_SCOPED_CHILD_REVIEW	R16B-LOCAL-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	13	CREATE_OBJECT_INCIDENCE_REVIEW	SURF-VAM20K-03127	[]	OBJECT_INCIDENCE_VAM20K-03127	Klaus Klettermaus und die anderen Tiere im Hackebackewald; Germany; 1973; O1316570	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	OBJECT_FEATURE_INCIDENCE_REVIEW_NOT_ASSOCIATION	OBJECT_FEATURE_INCIDENCE_NOT_ASSOCIATION	"[""R16B-TRIGGER-OCC:ba22c60b72952ae060209bf73709e397d04e75f29d77fbbaa6aa7982c03f790b""]"	SURF-VAM20K-03127; frozen V&A object metadata locus.	"[""R16A-PAIR:0c8c2331a9ba240c16d983a310a9cb7e83f44710cb57828cca8860aaf7799937""]"	Klaus Klettermaus und die anderen Tiere im Hackebackewald; Germany; 1973; O1316570	Resolve new object-feature senses and review the lawful source or visual object record.	LAWFUL_SOURCE_OR_VISUAL_REVIEW; RIGHTS; HUMAN_POLICY_REVIEW; COUNTEREVIDENCE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_CONDITIONAL_REVIEW_NOT_ASSOCIATION	false	false	false	NO_PRODUCT_UNTIL_REVIEW	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""no cross-object association"",""no pair manufacture"",""metadata classification is not historical evidence"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	41b980887fb90803402b84df6cdb70356e9a16dbee14e43b977c8f2d052764e5
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-008	R16B-TRANCHE-B-QUEUE:bfd0fbf5578820545ee1dd6f0ace384dd5de10c838411005a4d5c4967d17ba25	CONDITIONAL_SCOPED_CHILD_REVIEW	R16B-LOCAL-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	13	CREATE_OBJECT_INCIDENCE_REVIEW	SURF-VAM20K-03166	[]	OBJECT_INCIDENCE_VAM20K-03166	Gesang vom Lusitanischen Popanz; Germany; 1972; O1316569	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	OBJECT_FEATURE_INCIDENCE_REVIEW_NOT_ASSOCIATION	OBJECT_FEATURE_INCIDENCE_NOT_ASSOCIATION	"[""R16B-TRIGGER-OCC:f3e727d8ab1c3645d976dd2262bed82196d311b3aa88868160dcb942d748bc1e""]"	SURF-VAM20K-03166; frozen V&A object metadata locus.	"[""R16A-PAIR:0c8c2331a9ba240c16d983a310a9cb7e83f44710cb57828cca8860aaf7799937""]"	Gesang vom Lusitanischen Popanz; Germany; 1972; O1316569	Resolve new object-feature senses and review the lawful source or visual object record.	LAWFUL_SOURCE_OR_VISUAL_REVIEW; RIGHTS; HUMAN_POLICY_REVIEW; COUNTEREVIDENCE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_CONDITIONAL_REVIEW_NOT_ASSOCIATION	false	false	false	NO_PRODUCT_UNTIL_REVIEW	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""no cross-object association"",""no pair manufacture"",""metadata classification is not historical evidence"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	a59856e07dd422b279081d03d3d4f02afc10094649efb67fa00ce73058092865
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-009	R16B-TRANCHE-B-QUEUE:64bedfd46f055a6bb3a7b43de3570ea5d0e139ecbda4f0e4ac49833ab19fd3f8	CONDITIONAL_SCOPED_CHILD_REVIEW	R16B-LOCAL-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	13	CREATE_OBJECT_INCIDENCE_REVIEW	SURF-VAM20K-00867	[]	OBJECT_INCIDENCE_VAM20K-00867	Amerika Hurra; Germany; 1986-1987; O1316562	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	OBJECT_FEATURE_INCIDENCE_REVIEW_NOT_ASSOCIATION	OBJECT_FEATURE_INCIDENCE_NOT_ASSOCIATION	"[""R16B-TRIGGER-OCC:f8f0eb5992f8f8e610f3a56f7b8129799b05136c50700c27fd80351eba1cb0ac""]"	SURF-VAM20K-00867; frozen V&A object metadata locus.	"[""R16A-PAIR:0c8c2331a9ba240c16d983a310a9cb7e83f44710cb57828cca8860aaf7799937""]"	Amerika Hurra; Germany; 1986-1987; O1316562	Resolve new object-feature senses and review the lawful source or visual object record.	LAWFUL_SOURCE_OR_VISUAL_REVIEW; RIGHTS; HUMAN_POLICY_REVIEW; COUNTEREVIDENCE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_NO_GATE_PASSED_BY_QUEUE	OPEN_CONDITIONAL_REVIEW_NOT_ASSOCIATION	false	false	false	NO_PRODUCT_UNTIL_REVIEW	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""no cross-object association"",""no pair manufacture"",""metadata classification is not historical evidence"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	3b12050c449236c61d20ea9f7bf943d64e381657d7cd26ecb979a2e7b2ddf302
adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	CHECKPOINT-006-EVIDENCE-TRANCHE-B	TBQ-010	R16B-TRANCHE-B-QUEUE:aa8584d9ef25e9bf79bbc89facd3477774d8c0ed56e4c79ac42d3ba11bdaa9af	PARENT_CLOSE_CONTROL	R16B-LOCAL-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	13	CLOSE_UNSPLIT_PARENT	R16B-LOCAL-FAMILY:0e719db5	[]	SEVEN_DISTINCT_VA_OBJECTS	seven distinct V&A objects under current scholarly senses	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	UNSPLIT_PARENT_CONTROL	BOUNDED_SENSE_OR_SCOPE_CONFLICT	"[""R16B-TRIGGER-OCC:13f8bfba9384b419c6b2f916123e160b30193951c781c34337f9877c0c429e4c"",""R16B-TRIGGER-OCC:31bb942b9d716318c09c644d4ea153dec9eede52f81fb5930f3205f705cf5d0e"",""R16B-TRIGGER-OCC:3761e1065c6e0ddfce1761ef18c1c126c20b0fc7b71dac13a521b3737deca87a"",""R16B-TRIGGER-OCC:558e8cd312ff625c35d9261c8bb93fc8743fd49c29c02c377dc4094eff9bcf5c"",""R16B-TRIGGER-OCC:ba22c60b72952ae060209bf73709e397d04e75f29d77fbbaa6aa7982c03f790b"",""R16B-TRIGGER-OCC:f3e727d8ab1c3645d976dd2262bed82196d311b3aa88868160dcb942d748bc1e"",""R16B-TRIGGER-OCC:f8f0eb5992f8f8e610f3a56f7b8129799b05136c50700c27fd80351eba1cb0ac""]"	R16B-DB-FAMILY:0e719db5; seven frozen database loci.	"[""R16A-PAIR:0c8c2331a9ba240c16d983a310a9cb7e83f44710cb57828cca8860aaf7799937""]"	Seven different objects, dates, and object-feature/category metadata roles.	Keep the object reviews separate and close the current-sense unsplit parent.	FINAL_GOVERNED_PARENT_RECORD	NOT_APPLICABLE_FINAL_PARENT_NON_SUPPORT	NOT_APPLICABLE_FINAL_PARENT_NON_SUPPORT	NOT_APPLICABLE_FINAL_PARENT_NON_SUPPORT	NOT_APPLICABLE_FINAL_PARENT_NON_SUPPORT	CLOSED_PARENT_CONTROL_NOT_ASSOCIATION	false	false	false	INELIGIBLE	INELIGIBLE_REVIEW_OR_RECONCILIATION_QUEUE_NOT_ASSOCIATION	"[""metadata classifications are not historical group evidence"",""the seven objects are not merged"",""queue membership is not a governed association disposition"",""no association identity, activation, pair projection, or product eligibility is created""]"	5f017f007a3dfb4c2e559fa5626bf62131635e7cf8076ed372e145edda7afae1
