surface_id	round	path	record_selector	record_count	bytes	sha256	evidence_authority	candidate_trigger_ids	use_boundary
SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	tsv_rows	50	16747	8aae0e6d73f30061cc09a3bc7d72c4eb10aea1ca92513a5d0bc16bf29aa4943f	BIBLIOGRAPHIC_IDENTITY	TRG-002;TRG-003;TRG-006	Discovery identity; a source row alone is not association evidence.
SURF-R09-002	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv	tsv_rows	33	14815	983b73a5f24ad512adc43b7dad47bb572b6f2563e3755760f7f14d26c014a371	GOVERNED_VOCABULARY_DISCOVERY	TRG-006;TRG-012	Candidate terms require bounded-sense and disposition reconciliation.
SURF-R09-003	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/05_TERM_ATTESTATION_REGISTRY.tsv	tsv_rows	55	21069	f2f8ff68c9263ee360aa84f73bc3adb55e5b18b41f86f03faa18522645193240	LOCATOR_BEARING_CONCEPT_EVIDENCE	TRG-002;TRG-003;TRG-005;TRG-006	Concept attestation can trigger a group review but cannot alone validate a group.
SURF-R09-004	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/07_SEMANTIC_GLOSS_REGISTRY.tsv	tsv_rows	16	16332	707478647d2dfde3fdef258148026b6d9b6b080d23c923dabfff22d7a174ef09	GOVERNED_BOUNDED_SENSE	TRG-002;TRG-003;TRG-005;TRG-006	Exact sense identity governs matching; labels alone are insufficient.
SURF-R09-005	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/12_REJECTED_AND_DEFERRED_TERMS.tsv	tsv_rows	17	4359	b2ef0cec7cd888432c3382b6f14c364ba0bac4b29f7042b12cecca59bc751ad2	NEGATIVE_AND_DEFERRED_CONTROL	TRG-006;TRG-007;TRG-012	Rejected or deferred senses cannot become active without a new governed decision.
SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	tsv_rows	28	10758	9db7d8eaf85b1e104b40cc9412dca274a20b0c5b5715941ec6f234f46c21bd3d	BIBLIOGRAPHIC_IDENTITY	TRG-001;TRG-002;TRG-003	Source identity only until locator-bearing grammar evidence is reviewed.
SURF-R10-002	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	tsv_rows	16	10020	7e0997ea0a6c0f87990ae711be3af57ac9d8d53de8ff26a42c4a107df3302427	GOVERNED_ROLE_AND_ARITY_DISCOVERY	TRG-001;TRG-012	Arity and role language trigger participant review; they do not create a hyperedge.
SURF-R10-003	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/07_GRAMMAR_ATTESTATION_REGISTRY.tsv	tsv_rows	30	17282	62b56052829d23cd2cf820a232479f74cbf663d64465cdc242900e71220df2a8	LOCATOR_BEARING_GRAMMAR_EVIDENCE	TRG-001;TRG-002;TRG-003	Review exact senses, roles, parties, case, and qualifications as a whole.
SURF-R10-004	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/08_ORDERED_PAIR_COMPATIBILITY_MATRIX.tsv	tsv_rows	256	75213	8e39b2c8f133f885a65b9d2d4a38b903ba5ff4768c4612e7017be0d094e71a2d	PAIRWISE_NEGATIVE_CONTROL	TRG-007;TRG-011	Pair decisions cannot decide a higher-order group, but they constrain pair projection.
SURF-R10-005	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/14_CLUSTER_EVIDENCE_HANDOFF.tsv	tsv_rows	2	908	0fca1a4995577ddb3e33e1a12bebb18ccd14e74684755c26749029722dfb2ccd	EXPLICIT_GROUP_NEAR_MISS	TRG-001;TRG-007	Deferred clusters are mandatory negative or inquiry candidates.
