participant_sense_id	vocabulary_candidate_id	vocabulary_id	canonical_label	normalized_label	bounded_sense	scope_note	disposition	status	merge_target_vocabulary_id	canonical_resolution_sense_id	source_system	source_concept_ids_json	source_sense_ids_json	upstream_authority_refs_json	authority_path	authority_record_id	source_sha	crosswalk_status	crosswalk_reason	record_sha256
R16B-SENSE:38190c44d1a3e3ca6e4d9c840fc255beb30dab9c812f1031e28e2f90bde7a1be	R16A-VOCAB-CAND:a0561fd649cdb6baa784055f051bad796ea0afef17fca38219549deeba4e8c1a		access	access			RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY		R16B-SENSE:38190c44d1a3e3ca6e4d9c840fc255beb30dab9c812f1031e28e2f90bde7a1be	ROUND16A_VOCABULARY_CENSUS_V2	"[""REL-CAND-0015""]"	[]	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0015""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:a0561fd649cdb6baa784055f051bad796ea0afef17fca38219549deeba4e8c1a	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CANONICAL	The stable sense identity is derived only from the frozen Round 16A vocabulary-candidate identity.	d153ac77a2c0d574c3f51e8b2196a93d25e19037a77c745dbd5f1405fe12fb60
R16B-SENSE:698710ef66f0d551cde028b8e54bdbf6051b96902a736be6b9ab45d1ad91f848	R16A-VOCAB-CAND:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	adaptation	adaptation	In governed Round 14 design-history evidence, adaptation is used on this bounded basis: A domain-aligned study explicitly presents adaptation and rejection as situated responses.; Two studies explicitly place adaptation within negotiated contact and resistance.. Adaptation is situated agency, not passive transfer.; Alternatives within one contact-zone model, not successive stages.	Adaptation is situated agency, not passive transfer. Alternatives within one contact-zone model, not successive stages.	ACTIVE	ACTIVE_USER_VISIBLE		R16B-SENSE:698710ef66f0d551cde028b8e54bdbf6051b96902a736be6b9ab45d1ad91f848	ROUND16A_VOCABULARY_CENSUS_V2	[]	[]	"[""R14-ASSOC-013"",""R14-ASSOC-014"",""R14-EVID-013-01"",""R14-EVID-013-02"",""R14-EVID-014-01"",""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:2fe1d615f7fb24b99fb828c5ceadcf06635e7fb6f47910f32d2daf1f6bd763f0	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CANONICAL	The stable sense identity is derived only from the frozen Round 16A vocabulary-candidate identity.	76c5af65bd7e32ed361f001fc53ae7eb42ff18a5198875d5c6422d608edf1920
R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a	R16A-VOCAB-CAND:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	advertising	advertising	In the governed Round 16 sources, advertising is bounded as follows: Historical study explicitly situating graphic design and advertising in consumer culture; vocabulary support only.; Scholarly analysis of graphic design and advertising around First Things First; vocabulary support only.	Historical study explicitly situating graphic design and advertising in consumer culture; vocabulary support only. Scholarly analysis of graphic design and advertising around First Things First; vocabulary support only.	ACTIVE	ACTIVE_USER_VISIBLE		R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a	ROUND16A_VOCABULARY_CENSUS_V2	[]	[]	"[""R14-ASSOC-019"",""R16-SRC-003"",""R16-SRC-003:attestation:advertising"",""R16-SRC-004"",""R16-SRC-004:attestation:advertising"",""docs/audits/v49-exploration-real-database-round1/raw/active-vocabulary-audit.tsv#TRV:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:d27a4a1080657098835b014b8f47529c5be746cb60b043fb2400fec1a6948185	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CANONICAL	The stable sense identity is derived only from the frozen Round 16A vocabulary-candidate identity.	d822b7abdf62414fdf4f3dac2249c786b408cdc49bb91627303f295f00690786
R16B-SENSE:558fbce86fd52c24f8d10f6d63fa017bd5356266e29792d4b3bd06a96ca7f67b	R16A-VOCAB-CAND:7f9d535b249b8d3bdd7b9cbde8795580a5dc1e82c55805a11ab9b356f338506d		appropriation	appropriation			RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY		R16B-SENSE:558fbce86fd52c24f8d10f6d63fa017bd5356266e29792d4b3bd06a96ca7f67b	ROUND16A_VOCABULARY_CENSUS_V2	"[""REL-CAND-0003""]"	"[""REL-CAND-0003#UNRESOLVED-SENSE""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0003""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:7f9d535b249b8d3bdd7b9cbde8795580a5dc1e82c55805a11ab9b356f338506d	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CANONICAL	The stable sense identity is derived only from the frozen Round 16A vocabulary-candidate identity.	5e8ec9113091d90ab53688c92ceb29599a925b09ee26167b54ef4baad58eddd3
R16B-SENSE:c73ec782faca3d72e6105bf118c92c2edf8b7a96293190326fc572ba962d0323	R16A-VOCAB-CAND:c6e4092bcfadce5ed0d0c7c393049131a625c6949b6666c30061e65fe0accb1d		Arts and Crafts	arts and crafts			REJECTED	GOVERNED_REJECTED		R16B-SENSE:c73ec782faca3d72e6105bf118c92c2edf8b7a96293190326fc572ba962d0323	ROUND16A_VOCABULARY_CENSUS_V2	[]	[]	"[""R14-ASSOC-030"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json#R14-ASSOC-030""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:c6e4092bcfadce5ed0d0c7c393049131a625c6949b6666c30061e65fe0accb1d	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CONTROL_ONLY	The rejected vocabulary candidate has a stable sense identity only for exclusion and adversarial reconciliation.	656976888f044dcf39aee7ebc37163e1bd8454b462d9cadfeacfdd76c4061582
R16B-SENSE:c0e153c5cf186e6a7ee6e1475c6308e43a26f61945cb9bf2c5d6d4a194c9316b	R16A-VOCAB-CAND:e4cb3b7ff5a4b3885230474eeeef7d8ac009169af23faa0f7b373933cb664f46		Bauhaus	bauhaus			REJECTED	GOVERNED_REJECTED		R16B-SENSE:c0e153c5cf186e6a7ee6e1475c6308e43a26f61945cb9bf2c5d6d4a194c9316b	ROUND16A_VOCABULARY_CENSUS_V2	[]	[]	"[""R14-ASSOC-029"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json#R14-ASSOC-029""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:e4cb3b7ff5a4b3885230474eeeef7d8ac009169af23faa0f7b373933cb664f46	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CONTROL_ONLY	The rejected vocabulary candidate has a stable sense identity only for exclusion and adversarial reconciliation.	730b8259ab5fa483b52aec217b38e9abff8c54746cbf0363e7011a82fa4dd0e5
R16B-SENSE:eaa21928082dae77f8ed71bcf1d7f7c5409020e0b599c7cb9621380f5a3ae42d	R16A-VOCAB-CAND:4c330148565c728f424bc0e41b03fb6b2e15b0bfe817d6c35978324965437e79		Brazilian exposition	brazilian exposition			REJECTED	GOVERNED_REJECTED		R16B-SENSE:eaa21928082dae77f8ed71bcf1d7f7c5409020e0b599c7cb9621380f5a3ae42d	ROUND16A_VOCABULARY_CENSUS_V2	[]	[]	"[""R14-ASSOC-031"",""scripts/trace-v49-exploration-association-calibration/fixtures/association-assessments-v1.json#R14-ASSOC-031""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:4c330148565c728f424bc0e41b03fb6b2e15b0bfe817d6c35978324965437e79	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CONTROL_ONLY	The rejected vocabulary candidate has a stable sense identity only for exclusion and adversarial reconciliation.	afa1f9823befe23b4d834f280c57b32867b451b250582e68e552c152a1a4c3a0
R16B-SENSE:94c4f5d3fe61b3ac4c6a1540f918207e423a9abe9823bb4ddb0466ce033cda4d	R16A-VOCAB-CAND:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	TRV:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	canonization	canonization	In design-history scholarship, canonization is used to describe the process by which selected work becomes established as historically exemplary or authoritative.	In scope: historical elevation and normative positioning. Out of scope: the canon as a mere list.	ACTIVE	ACTIVE_USER_VISIBLE		R16B-SENSE:94c4f5d3fe61b3ac4c6a1540f918207e423a9abe9823bb4ddb0466ce033cda4d	ROUND16A_VOCABULARY_CENSUS_V2	"[""REL-CAND-0004""]"	"[""REL-CAND-0004#SENSE-A""]"	"[""ATT-0007"",""ATT-0008"",""GRAM-ATT-003"",""docs/research/trace-v49-design-history-relation-grammar-round1/05_NODE_ROLE_DECISION_REGISTRY.tsv#REL-CAND-0004#SENSE-A""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:e581bd8a1b6363a295216bc7c9f8d958e26ef7406beab6becbf90ff8e2680bd5	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CANONICAL	The stable sense identity is derived only from the frozen Round 16A vocabulary-candidate identity.	a3c038abfefdabc727c3686b1eaa91caeba75a671d188ff89586879706c64722
R16B-SENSE:0d3892247391b7999ee173940675e8f27f62e0587c9e8494379948f627549ba6	R16A-VOCAB-CAND:70f1947047c98353bf96a2de497e42d63f247d0fcce230ed83d3c6f201040bc3		circulation	circulation			RESEARCH_ONLY	GOVERNED_RESEARCH_ONLY		R16B-SENSE:0d3892247391b7999ee173940675e8f27f62e0587c9e8494379948f627549ba6	ROUND16A_VOCABULARY_CENSUS_V2	"[""REL-CAND-0002""]"	"[""REL-CAND-0002#UNRESOLVED-SENSE""]"	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0002""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:70f1947047c98353bf96a2de497e42d63f247d0fcce230ed83d3c6f201040bc3	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CANONICAL	The stable sense identity is derived only from the frozen Round 16A vocabulary-candidate identity.	8648dabb6cbabac26b8adedec497426f4d83995e8a8e86520f09728de2a6ee0e
R16B-SENSE:7c3b75feacb48c10fbaded40c4ce7b58d2c5a97335903329fe79c2d2fca12ba9	R16A-VOCAB-CAND:0b3894bb73d6593d2652eaddfec09ecd74c9d66d3028f16f597019dfe2e677f7		collective process	collective process			REJECTED	GOVERNED_REJECTED		R16B-SENSE:7c3b75feacb48c10fbaded40c4ce7b58d2c5a97335903329fe79c2d2fca12ba9	ROUND16A_VOCABULARY_CENSUS_V2	"[""REL-CAND-0018""]"	[]	"[""docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv#REL-CAND-0018""]"	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	R16A-VOCAB-CAND:0b3894bb73d6593d2652eaddfec09ecd74c9d66d3028f16f597019dfe2e677f7	5419770959bdb8998b693fb2275b47e29b92367c	RESOLVED_CONTROL_ONLY	The rejected vocabulary candidate has a stable sense identity only for exclusion and adversarial reconciliation.	b84087f6cfabe58950c9a39ef5c427f751e75b003ed5f8d5b011c52bd7761a70
