event_id	timestamp_utc	phase	operation	observed_status	command_or_probe	error_or_result	filesystem_or_ref_effect	corrective_action	evidence_boundary
R16B-PARALLEL-DIAG-009-001	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-009-PUBLICATION-RECONCILIATION	SANDBOXED_REDUNDANT_LS_REMOTE	FAIL	post-publication read-only chained status/ref probe whose redundant git ls-remote segment followed successful local and receipt checks	The sandboxed remote query could not resolve github.com; the previously completed authorized publication script had already returned a PASS receipt with exact remote-ref inventory	NONE	Reran the branch and main query with read-only network permission, confirmed branch 5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3 and main 8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e, then queried the exact rollback-tag ref and received no result	Read-only sandbox/network diagnostic only; no file, index, ref, commit, tag, remote, or deployment changed
R16B-PARALLEL-DIAG-009-002	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-009-SOURCE-SCOPE-REVIEW	CROSSWALK_FIELD_NAME_PROBE	FAIL	read-only Python projection of selected concept-sense crosswalk rows using guessed governed_definition and scope_qualification columns	The committed crosswalk uses bounded_sense and scope_note; Python raised KeyError before emitting any projected record	NONE	Read the exact TSV header and reran the bounded projection with the canonical field names	Read-only query-shape failure only; no file, index, ref, commit, remote, source record, or semantic disposition changed
R16B-PARALLEL-DIAG-009-003	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-009-INPUT-PINNING	SHARD1_FILENAME_PROBE	PARTIAL_FAIL	read-only SHA-256 batch over exact inherited evidence inputs plus a guessed shard-1 review filename	Eight canonical inputs hashed successfully, while shasum reported adaptive-source-review-ledger-shard-1-v1.tsv absent because the governed filename omits ledger	NONE	Enumerated the exact shard-1 artifact names and hashed adaptive-source-review-shard-1-v1.tsv as 0ed85ac002eb27b6130639acb4ecb2c3ebc9fbe0224f67550dc853f098324ecb	Read-only path-resolution failure only; no file, index, ref, commit, remote, source record, or evidence disposition changed
R16B-PARALLEL-DIAG-009-004	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-009-SHARD2-BUILDER	INHERITED_EVIDENCE_FIELD_PROBE	FAIL	first direct shard-2 builder write attempt after input pins passed	The semantic identity check guessed the composition evidence column as term; the canonical field is exact_attested_terms, so the builder failed closed before writing outputs	NONE	Read the exact inherited TSV header, corrected the validation field name, and reran the deterministic builder	Builder source was the only corrective edit; no generated output, index, ref, commit, remote, legacy evidence row, or activation changed during the failed attempt
R16B-PARALLEL-DIAG-009-005	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-009-SHARD2-INSPECTION	COLUMN_WIDTH_RENDER_PROBE	PARTIAL_FAIL	read-only terminal column rendering of long hypothesis and correction TSV rows	The host column utility reported line too long for the wide governed hypothesis record; the underlying TSV files remained readable and their build hashes were already sealed	NONE	Switched to field-bounded CSV/JSON projections for inspection and independent verification	Read-only display limitation only; no file, index, ref, commit, remote, source record, rights decision, or evidence disposition changed
R16B-PARALLEL-DIAG-009-006	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-009-INDEPENDENT-VERIFIER-PINNING	MISTYPED_WORKTREE_PATH	FAIL	read-only SHA-256 probe for local-family and disposition-taxonomy inputs	The command used a nonexistent hyphenated higher-order-association-closure worktree path, so process creation failed before shasum ran	NONE	Reran the identical read-only hash probe from the verified association_closure worktree path	No process started and no file, index, ref, commit, remote, or governed artifact changed
R16B-PARALLEL-DIAG-009-007	2026-08-28T11:18:39Z	CHECKPOINT-009-SHARD2-BUILDER	LOCAL_CANDIDATE_FAMILY_FIELD_BINDING	FAIL	logged expanded shard-2 deterministic builder write attempt	The builder expected participant_labels_json in local-candidate-family-ledger-v2.tsv, whose canonical header instead provides canonical_labels_json; Python raised KeyError before any expanded output was written	EXECUTION_LOG_ONLY	Bound the validation to canonical_labels_json and reran the same logged deterministic build	The failure and correction are additive; no index, ref, commit, remote, legacy evidence row, activation, product path, projection, or closure state changed
R16B-PARALLEL-DIAG-009-008	NOT_CAPTURED_SUBAGENT	CHECKPOINT-009-INDEPENDENT-AUDIT	CANONICAL_TRIGGER_ID_NAME_MISMATCH	SEMANTIC_FAIL	read-only comparison of the regenerated trigger ledger with candidate-trigger-registry.tsv	The draft attached source-passage semantics to TRG-005 and isolated-term semantics to TRG-010, contradicting the governed trigger registry even though the builder itself completed	SUPERSEDED_UNSTAGED_GENERATED_OUTPUTS	Pinned the trigger registry, corrected exact ID-to-name bindings, expanded to seven applicable occurrences, added a 24-row applicability matrix, and required independent registry reconstruction	No draft output was staged or published; no index, ref, commit, remote, legacy evidence row, activation, product path, projection, or closure state changed
R16B-PARALLEL-DIAG-009-009	NOT_CAPTURED_SUBAGENT	CHECKPOINT-009-INDEPENDENT-VERIFIER-PINNING	ZSH_SPECIAL_PATH_VARIABLE_PROBE	FAIL	read-only subagent row-hash loop that assigned the zsh special variable path	The assignment replaced command lookup PATH, so rg and shasum were reported not found before any governed value was emitted	NONE	Reran the same read-only hashes with file_rel as the loop variable and confirmed all six inherited row hashes	Read-only shell-variable diagnostic only; no file, index, ref, commit, remote, source record, or semantic disposition changed
R16B-PARALLEL-DIAG-009-010	NOT_CAPTURED_SUBAGENT	CHECKPOINT-009-INDEPENDENT-VERIFIER-PINNING	SUBAGENT_MISTYPED_WORKTREE_PATH	FAIL	read-only subagent manifest and census rendering probe	The worktree path used association-closure instead of association_closure, so process creation failed	NONE	Reran the same read-only rendering from the verified association_closure worktree	Read-only path-resolution diagnostic only; no process, file, index, ref, commit, remote, or governed artifact changed
