prior_object_type	source_path	record_selector	record_count	unique_id_count	sorted_id_set_sha256	source_bytes	source_sha256	row_exact_reconciliation_ledger	coverage_status	next_action
ROUND15_FIXTURE	scripts/trace-v49-exploration-composition-engine/fixtures/composition-fixtures-v1.json	json:fixtures	25	25	128f3302ee7ffddce826273cc97e4af4f88f8c4db680f08446235d1031424b1a	17617	0322c715166f4ed8cb4603a5a1f10db69512ef3f41386cec6450c6d52813badb	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND15_SEMANTIC_IMAGE	docs/audits/v49-exploration-composition-engine-round1/raw/composition-decision-audit.json	json:images	25	25	ae85da77efeac5356621da8bb77ca20a2ccd9afb41ea1a8a764acc494ea7093b	219674	3fe07f1d8f39d83e54046fc1ab35a5fa86597360d6db990cba5346012b6e80d5	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND15_FIXTURE_RESULT	docs/audits/v49-exploration-composition-engine-round1/raw/composition-fixture-results.tsv	tsv_rows	25	25	128f3302ee7ffddce826273cc97e4af4f88f8c4db680f08446235d1031424b1a	5851	ea4199739530788a630f068635b4cccffd9c2f6885c3cd40b074741dc1ed63f1	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_LEGACY_COMPOSITION	scripts/trace-v49-exploration-real-database/real-composition-registry-v1.json	json:compositions	11	11	8715a3710e1bfe3c240132084b8b0fedbebb9d2c54e84eb25e37b156fb9091f0	7371	cad6669c93a52924a17d31d07a16b1e1e5b0ffa06917f3cd467a5f2db003393f	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_VOCABULARY_REPRESENTATION	frontend/generated/trace-exploration-v1/read-model.json	json:vocabulary	26	26	5558281f01a5b43aeeea8e2ef351448e06374f3d12529f689426ec427c9918ca	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_ASSOCIATION_REPRESENTATION	frontend/generated/trace-exploration-v1/read-model.json	json:associations	21	21	a877ae2220450dade055af0f3e1866d56e152019270b5430704fab1c90e617f7	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_CATEGORY_REPRESENTATION	frontend/generated/trace-exploration-v1/read-model.json	json:categories	4	4	1b91a31df1c85bce0107b13b98e6a92de7a77a5cfa44a3661fe486fff3a16238	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_SOURCE_INVENTORY_ENTRY	frontend/generated/trace-exploration-v1/read-model.json	json:source_inventory	10	10	709263e6ca987c2d7dd588c6cf1911bffd2713db11949cb2a0eff4c065d783ee	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_FAILED_ASSOCIATION_AUDIT	frontend/generated/trace-exploration-v1/read-model.json	json:failed_associations_audit_only	14	14	c34048829f3c64cd937bc19c17544aa0f9c23c4da000722f4a5be8612e6139e9	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_STATE_HASH_INDEX	frontend/generated/trace-exploration-v1/read-model.json	json:states_by_hash	52	52	ac01d3148625238a149851f96502b8874b34627dc87874619128b60625fd2aa2	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_CAPABILITY_FIELD	frontend/generated/trace-exploration-v1/read-model.json	json:capabilities	11	11	c7c79046c8548c722babda636798c516a81ba96f9c3e5db98b04840f2c6b1769	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_DATABASE_AUTHORITY_FIELD	frontend/generated/trace-exploration-v1/read-model.json	json:database	14	14	3359c3c6a6a596da6ff142e345dbee6e1ce6edf47b597ccf6875b2e735932826	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
ROUND16_EMBEDDED_SEMANTIC_IMAGE	frontend/generated/trace-exploration-v1/read-model.json	json:compositions	11	11	f9355a30295c7199c293d14058c57c1b6fd73fdf37aadba9645277df66f6a45a	1135751	797906908c2aadb1204fb3b3484cbdf54ba0995cfce6d28d0c3d6ec1ce2daf26	true	COMPLETE_SOURCE_SET_BOUND	Final disposition and v3 regeneration remain pending; no v2 object is silently accepted as higher-order-valid.
