control_id	control_class	object_refs_json	expected_result	assertions_json	production_activation_authorized	product_eligibility_authorized	closure_authorized
CTRL-V3-001	VALID_SPARSE_DISCONNECTED_HIGHER_ORDER_GROUP	"[""association-revision:v3:f02ac42a681d040c725235e9"",""association-revision:v3:b8f161fbbac6555150f57e25"",""association-revision:v3:c3f591227b24c2c4a59ac2e2""]"	PASS	"[""arity=5"",""internal_pair_count=2"",""internal_pair_components=3"",""all_internal_pairs=ACTIVE"",""pair_projection_policy=NONE"",""global_coherence=PASS""]"	false	false	false
CTRL-V3-002	INVALID_FULL_PAIR_CLIQUE	"[""association-revision:v3:6cfb7776e6897fbc4be11b17"",""association-revision:v3:1bd93793b578d5c0f1a99e34"",""association-revision:v3:1ffd0f31ceea92cbb34e6243"",""association-revision:v3:60c21603135df2df734033fa"",""association-revision:v3:645cc0a9f3f3b86a44cfd418"",""association-revision:v3:67f86187f34410332dd54d00"",""association-revision:v3:8f90ed47399286b813d99419""]"	INACTIVE	"[""arity=4"",""internal_pair_count=6"",""all_six_pair_revisions=ACTIVE"",""global_coherence=FAIL"",""lifecycle_state=INACTIVE""]"	false	false	false
CTRL-V3-003	BOUNDED_SENSE_CONFLICT	"[""association-revision:v3:9b401d71032d466b32ffa477""]"	REJECT	"[""bounded_senses_compatible=false"",""global_coherence=FAIL""]"	false	false	false
CTRL-V3-004	CROSS_CASE_SOURCE_BUNDLE	"[""association-revision:v3:53922f4a354f2180ea99fa86""]"	REJECT	"[""case_scope_compatible=false"",""historical_case_count=2"",""unsupported_bridge_count=2""]"	false	false	false
CTRL-V3-005	ISOLATED_ACTIVE_TERM_IN_VALID_HYPEREDGE	"[""association-revision:v3:f02ac42a681d040c725235e9"",""concept:sparse-valid-five:3"",""sense:sparse-valid-five:3""]"	PASS	"[""participant_has_internal_pair_degree=0"",""concept_lifecycle_state=ACTIVE"",""sense_lifecycle_state=ACTIVE"",""association_lifecycle_state=ACTIVE"",""realm=SYNTHETIC_CONTROL""]"	false	false	false
CTRL-V3-006	RENDERABLE_COMPOSITION_WITHOUT_VALID_GROUP	"[""composition-revision:v3:1c00e4a73619968b0812168c"",""association-revision:v3:6cfb7776e6897fbc4be11b17""]"	REJECT	"[""renderability=PASS"",""group_global_coherence=FAIL"",""product_eligible=false""]"	false	false	false
CTRL-V3-007	ILLEGAL_HYPEREDGE_PAIR_PROJECTION	"[""association-revision:v3:f02ac42a681d040c725235e9"",""attempt:v3:illegal-projection""]"	REJECT	"[""higher_order_projection_must_equal=NONE"",""implicit_pair_creation_count=0""]"	false	false	false
CTRL-V3-008	ACTIVE_WITH_PENDING_OR_NONFINAL_REVIEW	"[""association-revision:v3:d9a20f1ea96123094f1389c4"",""attempt:v3:pending-active""]"	REJECT	"[""review_state=PENDING"",""activation_decision=REJECT"",""lifecycle_state=INACTIVE""]"	false	false	false
CTRL-V3-009	ACTIVE_ARITY_FIVE_PROJECTION_NONE	"[""association-revision:v3:f02ac42a681d040c725235e9""]"	PASS	"[""lifecycle_state=ACTIVE"",""arity=5"",""pair_projection_policy=NONE"",""realm=SYNTHETIC_CONTROL""]"	false	false	false
CTRL-V3-010	ONE_WAY_V2_PAIR_ADAPTER	"[""adapter:v3:9e157a206a366de3a5ba0a31"",""association-revision:v3:f51eceaec1f9474e75199bb0""]"	PASS	"[""direction=V2_PAIR_TO_V3_PAIR_ONLY"",""reverse_conversion_allowed=false"",""higher_order_input_allowed=false""]"	false	false	false
